,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Fernando,Marçal,55,LCB,Olympique Lyonnais,201,-0.09,0.68,,Olympique Lyonnais
1,Fernando,Marçal,55,LCB,Olympique Lyonnais,202,-0.08,0.7,4460.0,Manchester City
2,Fernando,Marçal,55,LCB,Olympique Lyonnais,203,-0.03,0.67,4460.0,Manchester City
3,Fernando,Marçal,55,LCB,Olympique Lyonnais,204,-0.09,0.77,4460.0,Manchester City
4,Fernando,Marçal,55,LCB,Olympique Lyonnais,205,-0.19,0.92,4460.0,Manchester City
5,Fernando,Marçal,55,LCB,Olympique Lyonnais,206,-0.33,1.12,4460.0,Manchester City
6,Fernando,Marçal,55,LCB,Olympique Lyonnais,231,-16.17,-0.55,,Manchester City
7,Fernando,Marçal,55,LCB,Olympique Lyonnais,232,-16.23,-0.65,,Manchester City
8,Fernando,Marçal,55,LCB,Olympique Lyonnais,233,-16.28,-0.73,9202.0,Manchester City
9,Fernando,Marçal,55,LCB,Olympique Lyonnais,234,-16.44,-0.74,9202.0,Manchester City
10,Fernando,Marçal,55,LCB,Olympique Lyonnais,235,-16.48,-0.86,9202.0,Manchester City
11,Fernando,Marçal,55,LCB,Olympique Lyonnais,236,-16.32,-0.92,9202.0,Manchester City
12,Fernando,Marçal,55,LCB,Olympique Lyonnais,237,-15.78,-0.82,9202.0,Manchester City
13,Fernando,Marçal,55,LCB,Olympique Lyonnais,238,-14.71,-0.81,9202.0,Manchester City
14,Fernando,Marçal,55,LCB,Olympique Lyonnais,239,-13.21,-0.81,,Manchester City
15,Fernando,Marçal,55,LCB,Olympique Lyonnais,240,-11.25,-0.81,,Manchester City
16,Fernando,Marçal,55,LCB,Olympique Lyonnais,241,-9.48,-0.9,,Manchester City
17,Fernando,Marçal,55,LCB,Olympique Lyonnais,242,-7.62,-1.49,,Manchester City
18,Fernando,Marçal,55,LCB,Olympique Lyonnais,243,-5.8,-2.45,,Manchester City
19,Fernando,Marçal,55,LCB,Olympique Lyonnais,244,-3.98,-3.75,,Manchester City
20,Fernando,Marçal,55,LCB,Olympique Lyonnais,245,-2.17,-5.1,,Manchester City
21,Fernando,Marçal,55,LCB,Olympique Lyonnais,246,-0.47,-6.59,,Manchester City
22,Fernando,Marçal,55,LCB,Olympique Lyonnais,247,1.14,-7.76,,Manchester City
23,Fernando,Marçal,55,LCB,Olympique Lyonnais,248,2.71,-9.02,,Manchester City
24,Fernando,Marçal,55,LCB,Olympique Lyonnais,249,4.23,-10.35,,Manchester City
25,Fernando,Marçal,55,LCB,Olympique Lyonnais,250,5.7,-11.72,,Manchester City
26,Fernando,Marçal,55,LCB,Olympique Lyonnais,251,7.19,-12.32,,Manchester City
27,Fernando,Marçal,55,LCB,Olympique Lyonnais,252,8.63,-13.13,,Manchester City
28,Fernando,Marçal,55,LCB,Olympique Lyonnais,253,10.06,-13.9,,Manchester City
29,Fernando,Marçal,55,LCB,Olympique Lyonnais,254,11.4,-14.85,,Manchester City
30,Fernando,Marçal,55,LCB,Olympique Lyonnais,255,12.71,-15.89,,Manchester City
31,Fernando,Marçal,55,LCB,Olympique Lyonnais,256,14.01,-16.89,,Manchester City
32,Fernando,Marçal,55,LCB,Olympique Lyonnais,257,15.27,-17.89,,Manchester City
33,Fernando,Marçal,55,LCB,Olympique Lyonnais,258,16.63,-18.56,,Manchester City
34,Fernando,Marçal,55,LCB,Olympique Lyonnais,259,18.05,-19.02,,Manchester City
35,Fernando,Marçal,55,LCB,Olympique Lyonnais,260,19.52,-19.29,,Manchester City
36,Fernando,Marçal,55,LCB,Olympique Lyonnais,261,20.97,-19.59,,Manchester City
37,Fernando,Marçal,55,LCB,Olympique Lyonnais,262,22.18,-19.79,,Manchester City
38,Fernando,Marçal,55,LCB,Olympique Lyonnais,263,23.0,-19.99,,Manchester City
39,Fernando,Marçal,55,LCB,Olympique Lyonnais,264,23.4,-19.93,,Manchester City
40,Fernando,Marçal,55,LCB,Olympique Lyonnais,265,23.56,-19.58,,Manchester City
41,Fernando,Marçal,55,LCB,Olympique Lyonnais,266,23.46,-19.23,,Manchester City
42,Fernando,Marçal,55,LCB,Olympique Lyonnais,267,23.28,-19.01,,Manchester City
43,Fernando,Marçal,55,LCB,Olympique Lyonnais,268,23.15,-18.82,,Manchester City
44,Fernando,Marçal,55,LCB,Olympique Lyonnais,269,23.0,-18.69,,Manchester City
45,Fernando,Marçal,55,LCB,Olympique Lyonnais,270,22.83,-18.62,,Manchester City
46,Fernando,Marçal,55,LCB,Olympique Lyonnais,271,22.89,-18.1,,Manchester City
47,Fernando,Marçal,55,LCB,Olympique Lyonnais,272,22.86,-17.79,,Manchester City
48,Fernando,Marçal,55,LCB,Olympique Lyonnais,273,22.86,-17.48,,Manchester City
49,Fernando,Marçal,55,LCB,Olympique Lyonnais,274,22.88,-17.16,,Manchester City
50,Fernando,Marçal,55,LCB,Olympique Lyonnais,275,22.94,-16.74,,Manchester City
51,Fernando,Marçal,55,LCB,Olympique Lyonnais,276,22.99,-16.34,,Manchester City
52,Fernando,Marçal,55,LCB,Olympique Lyonnais,277,23.05,-15.93,,Manchester City
53,Fernando,Marçal,55,LCB,Olympique Lyonnais,278,23.07,-15.67,,Manchester City
54,Fernando,Marçal,55,LCB,Olympique Lyonnais,279,23.07,-15.5,,Manchester City
55,Fernando,Marçal,55,LCB,Olympique Lyonnais,280,23.04,-15.41,,Manchester City
56,Fernando,Marçal,55,LCB,Olympique Lyonnais,281,22.81,-15.36,,Manchester City
57,Fernando,Marçal,55,LCB,Olympique Lyonnais,282,22.39,-15.43,,Manchester City
58,Fernando,Marçal,55,LCB,Olympique Lyonnais,283,21.81,-15.67,,Manchester City
59,Fernando,Marçal,55,LCB,Olympique Lyonnais,284,21.2,-15.97,,Manchester City
60,Fernando,Marçal,55,LCB,Olympique Lyonnais,285,20.71,-16.28,,Manchester City
61,Fernando,Marçal,55,LCB,Olympique Lyonnais,286,20.27,-16.65,,Manchester City
62,Fernando,Marçal,55,LCB,Olympique Lyonnais,287,19.89,-17.01,,Manchester City
63,Fernando,Marçal,55,LCB,Olympique Lyonnais,288,19.46,-17.45,,Manchester City
64,Fernando,Marçal,55,LCB,Olympique Lyonnais,289,19.01,-17.95,,Manchester City
65,Fernando,Marçal,55,LCB,Olympique Lyonnais,290,18.56,-18.52,,Manchester City
66,Fernando,Marçal,55,LCB,Olympique Lyonnais,291,18.12,-19.06,,Manchester City
67,Fernando,Marçal,55,LCB,Olympique Lyonnais,292,17.69,-19.57,5821.0,Manchester City
