,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Gabriel,Jesus,11566,CF,Manchester City,231,8.23,-9.99,,Manchester City
1,Gabriel,Jesus,11566,CF,Manchester City,232,8.75,-10.04,,Manchester City
2,Gabriel,Jesus,11566,CF,Manchester City,233,9.34,-10.11,9202.0,Manchester City
3,Gabriel,Jesus,11566,CF,Manchester City,234,9.9,-10.09,9202.0,Manchester City
4,Gabriel,Jesus,11566,CF,Manchester City,235,10.41,-10.03,9202.0,Manchester City
5,Gabriel,Jesus,11566,CF,Manchester City,236,10.95,-10.04,9202.0,Manchester City
6,Gabriel,Jesus,11566,CF,Manchester City,237,11.5,-9.9,9202.0,Manchester City
7,Gabriel,Jesus,11566,CF,Manchester City,238,12.03,-9.83,9202.0,Manchester City
8,Gabriel,Jesus,11566,CF,Manchester City,239,12.58,-9.94,,Manchester City
9,Gabriel,Jesus,11566,CF,Manchester City,240,13.08,-10.05,,Manchester City
10,Gabriel,Jesus,11566,CF,Manchester City,241,13.6,-9.96,,Manchester City
11,Gabriel,Jesus,11566,CF,Manchester City,242,14.13,-10.03,,Manchester City
12,Gabriel,Jesus,11566,CF,Manchester City,243,14.64,-10.08,,Manchester City
13,Gabriel,Jesus,11566,CF,Manchester City,244,15.11,-10.0,,Manchester City
14,Gabriel,Jesus,11566,CF,Manchester City,245,15.57,-10.11,,Manchester City
15,Gabriel,Jesus,11566,CF,Manchester City,246,16.01,-10.21,,Manchester City
16,Gabriel,Jesus,11566,CF,Manchester City,247,16.47,-10.14,,Manchester City
17,Gabriel,Jesus,11566,CF,Manchester City,248,16.97,-10.17,,Manchester City
18,Gabriel,Jesus,11566,CF,Manchester City,249,17.51,-10.28,,Manchester City
19,Gabriel,Jesus,11566,CF,Manchester City,250,18.06,-10.19,,Manchester City
20,Gabriel,Jesus,11566,CF,Manchester City,251,18.63,-10.2,,Manchester City
21,Gabriel,Jesus,11566,CF,Manchester City,252,19.19,-10.32,,Manchester City
22,Gabriel,Jesus,11566,CF,Manchester City,253,19.7,-10.43,,Manchester City
23,Gabriel,Jesus,11566,CF,Manchester City,254,20.21,-10.52,,Manchester City
24,Gabriel,Jesus,11566,CF,Manchester City,255,20.76,-10.7,,Manchester City
25,Gabriel,Jesus,11566,CF,Manchester City,256,21.3,-10.72,,Manchester City
26,Gabriel,Jesus,11566,CF,Manchester City,257,21.84,-10.79,,Manchester City
27,Gabriel,Jesus,11566,CF,Manchester City,258,22.39,-10.99,,Manchester City
28,Gabriel,Jesus,11566,CF,Manchester City,259,22.9,-11.23,,Manchester City
29,Gabriel,Jesus,11566,CF,Manchester City,260,23.38,-11.58,,Manchester City
30,Gabriel,Jesus,11566,CF,Manchester City,261,23.86,-11.94,,Manchester City
31,Gabriel,Jesus,11566,CF,Manchester City,262,24.32,-12.27,,Manchester City
32,Gabriel,Jesus,11566,CF,Manchester City,263,24.8,-12.58,,Manchester City
33,Gabriel,Jesus,11566,CF,Manchester City,264,25.26,-12.87,,Manchester City
34,Gabriel,Jesus,11566,CF,Manchester City,265,25.61,-13.34,,Manchester City
35,Gabriel,Jesus,11566,CF,Manchester City,266,26.0,-13.97,,Manchester City
36,Gabriel,Jesus,11566,CF,Manchester City,267,26.44,-14.53,,Manchester City
37,Gabriel,Jesus,11566,CF,Manchester City,268,26.83,-15.02,,Manchester City
38,Gabriel,Jesus,11566,CF,Manchester City,269,27.19,-15.36,,Manchester City
39,Gabriel,Jesus,11566,CF,Manchester City,270,27.4,-15.62,,Manchester City
40,Gabriel,Jesus,11566,CF,Manchester City,271,27.48,-15.86,,Manchester City
41,Gabriel,Jesus,11566,CF,Manchester City,272,27.56,-16.04,,Manchester City
42,Gabriel,Jesus,11566,CF,Manchester City,273,27.62,-16.13,,Manchester City
43,Gabriel,Jesus,11566,CF,Manchester City,274,27.61,-16.13,,Manchester City
44,Gabriel,Jesus,11566,CF,Manchester City,275,27.63,-15.99,,Manchester City
45,Gabriel,Jesus,11566,CF,Manchester City,276,27.62,-15.77,,Manchester City
46,Gabriel,Jesus,11566,CF,Manchester City,277,27.57,-15.53,,Manchester City
47,Gabriel,Jesus,11566,CF,Manchester City,278,27.44,-15.4,,Manchester City
48,Gabriel,Jesus,11566,CF,Manchester City,279,27.22,-15.37,,Manchester City
49,Gabriel,Jesus,11566,CF,Manchester City,280,26.97,-15.38,,Manchester City
50,Gabriel,Jesus,11566,CF,Manchester City,281,26.72,-15.34,,Manchester City
51,Gabriel,Jesus,11566,CF,Manchester City,282,26.43,-15.26,,Manchester City
52,Gabriel,Jesus,11566,CF,Manchester City,283,26.13,-15.19,,Manchester City
53,Gabriel,Jesus,11566,CF,Manchester City,284,25.81,-15.22,,Manchester City
