,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Houssem,Aouar,11312,LM,Olympique Lyonnais,183,0.76,-10.32,,Olympique Lyonnais
1,Houssem,Aouar,11312,LM,Olympique Lyonnais,184,0.74,-10.27,,Olympique Lyonnais
2,Houssem,Aouar,11312,LM,Olympique Lyonnais,185,0.73,-10.24,,Olympique Lyonnais
3,Houssem,Aouar,11312,LM,Olympique Lyonnais,186,0.73,-10.22,,Olympique Lyonnais
4,Houssem,Aouar,11312,LM,Olympique Lyonnais,187,0.75,-10.24,,Olympique Lyonnais
5,Houssem,Aouar,11312,LM,Olympique Lyonnais,188,0.75,-10.23,,Olympique Lyonnais
6,Houssem,Aouar,11312,LM,Olympique Lyonnais,189,0.74,-10.22,,Olympique Lyonnais
7,Houssem,Aouar,11312,LM,Olympique Lyonnais,190,0.73,-10.22,,Olympique Lyonnais
8,Houssem,Aouar,11312,LM,Olympique Lyonnais,191,0.74,-10.23,,Olympique Lyonnais
9,Houssem,Aouar,11312,LM,Olympique Lyonnais,192,0.74,-10.25,,Olympique Lyonnais
10,Houssem,Aouar,11312,LM,Olympique Lyonnais,193,0.75,-10.28,,Olympique Lyonnais
11,Houssem,Aouar,11312,LM,Olympique Lyonnais,194,0.76,-10.29,,Olympique Lyonnais
12,Houssem,Aouar,11312,LM,Olympique Lyonnais,195,0.75,-10.3,,Olympique Lyonnais
13,Houssem,Aouar,11312,LM,Olympique Lyonnais,196,0.76,-10.31,,Olympique Lyonnais
14,Houssem,Aouar,11312,LM,Olympique Lyonnais,197,0.75,-10.31,,Olympique Lyonnais
15,Houssem,Aouar,11312,LM,Olympique Lyonnais,198,0.75,-10.33,,Olympique Lyonnais
16,Houssem,Aouar,11312,LM,Olympique Lyonnais,199,0.74,-10.29,,Olympique Lyonnais
17,Houssem,Aouar,11312,LM,Olympique Lyonnais,200,0.72,-10.26,,Olympique Lyonnais
18,Houssem,Aouar,11312,LM,Olympique Lyonnais,201,0.71,-10.23,,Olympique Lyonnais
19,Houssem,Aouar,11312,LM,Olympique Lyonnais,202,0.7,-10.22,4460.0,Manchester City
20,Houssem,Aouar,11312,LM,Olympique Lyonnais,203,0.68,-10.27,4460.0,Manchester City
21,Houssem,Aouar,11312,LM,Olympique Lyonnais,204,0.66,-10.35,4460.0,Manchester City
22,Houssem,Aouar,11312,LM,Olympique Lyonnais,205,0.65,-10.29,4460.0,Manchester City
23,Houssem,Aouar,11312,LM,Olympique Lyonnais,206,0.66,-10.21,4460.0,Manchester City
24,Houssem,Aouar,11312,LM,Olympique Lyonnais,207,0.66,-10.06,4460.0,Manchester City
25,Houssem,Aouar,11312,LM,Olympique Lyonnais,208,0.65,-9.89,4460.0,Manchester City
26,Houssem,Aouar,11312,LM,Olympique Lyonnais,209,0.62,-9.78,4460.0,Manchester City
27,Houssem,Aouar,11312,LM,Olympique Lyonnais,210,0.69,-9.74,4460.0,Manchester City
28,Houssem,Aouar,11312,LM,Olympique Lyonnais,211,0.54,-9.55,4460.0,Manchester City
29,Houssem,Aouar,11312,LM,Olympique Lyonnais,212,0.24,-9.41,,Manchester City
30,Houssem,Aouar,11312,LM,Olympique Lyonnais,213,-0.2,-9.1,,Manchester City
31,Houssem,Aouar,11312,LM,Olympique Lyonnais,214,-0.71,-8.74,,Manchester City
32,Houssem,Aouar,11312,LM,Olympique Lyonnais,215,-1.19,-8.45,,Manchester City
33,Houssem,Aouar,11312,LM,Olympique Lyonnais,216,-1.49,-8.3,,Manchester City
34,Houssem,Aouar,11312,LM,Olympique Lyonnais,217,-1.89,-8.06,,Manchester City
35,Houssem,Aouar,11312,LM,Olympique Lyonnais,218,-2.26,-7.91,,Manchester City
36,Houssem,Aouar,11312,LM,Olympique Lyonnais,219,-2.65,-7.72,,Manchester City
37,Houssem,Aouar,11312,LM,Olympique Lyonnais,220,-3.05,-7.55,,Manchester City
38,Houssem,Aouar,11312,LM,Olympique Lyonnais,221,-3.47,-7.57,,Manchester City
39,Houssem,Aouar,11312,LM,Olympique Lyonnais,222,-3.9,-7.68,,Manchester City
40,Houssem,Aouar,11312,LM,Olympique Lyonnais,223,-4.33,-7.71,,Manchester City
41,Houssem,Aouar,11312,LM,Olympique Lyonnais,224,-4.76,-7.73,,Manchester City
42,Houssem,Aouar,11312,LM,Olympique Lyonnais,225,-5.17,-7.89,,Manchester City
43,Houssem,Aouar,11312,LM,Olympique Lyonnais,226,-5.55,-8.01,,Manchester City
44,Houssem,Aouar,11312,LM,Olympique Lyonnais,227,-5.94,-8.23,,Manchester City
45,Houssem,Aouar,11312,LM,Olympique Lyonnais,228,-6.34,-8.31,,Manchester City
46,Houssem,Aouar,11312,LM,Olympique Lyonnais,229,-6.74,-8.34,,Manchester City
47,Houssem,Aouar,11312,LM,Olympique Lyonnais,230,-7.14,-8.31,,Manchester City
48,Houssem,Aouar,11312,LM,Olympique Lyonnais,233,-8.14,-8.39,9202.0,Manchester City
49,Houssem,Aouar,11312,LM,Olympique Lyonnais,234,-8.28,-8.37,9202.0,Manchester City
50,Houssem,Aouar,11312,LM,Olympique Lyonnais,235,-8.44,-8.38,9202.0,Manchester City
51,Houssem,Aouar,11312,LM,Olympique Lyonnais,236,-8.64,-8.43,9202.0,Manchester City
52,Houssem,Aouar,11312,LM,Olympique Lyonnais,237,-8.86,-8.51,9202.0,Manchester City
53,Houssem,Aouar,11312,LM,Olympique Lyonnais,238,-9.13,-8.63,9202.0,Manchester City
54,Houssem,Aouar,11312,LM,Olympique Lyonnais,239,-9.38,-8.91,,Manchester City
55,Houssem,Aouar,11312,LM,Olympique Lyonnais,240,-9.62,-9.16,,Manchester City
56,Houssem,Aouar,11312,LM,Olympique Lyonnais,241,8.84,-11.51,,Manchester City
57,Houssem,Aouar,11312,LM,Olympique Lyonnais,242,8.97,-11.81,,Manchester City
58,Houssem,Aouar,11312,LM,Olympique Lyonnais,243,9.12,-11.9,,Manchester City
59,Houssem,Aouar,11312,LM,Olympique Lyonnais,244,9.27,-11.96,,Manchester City
60,Houssem,Aouar,11312,LM,Olympique Lyonnais,245,9.44,-12.21,,Manchester City
61,Houssem,Aouar,11312,LM,Olympique Lyonnais,246,9.61,-12.5,,Manchester City
62,Houssem,Aouar,11312,LM,Olympique Lyonnais,247,9.78,-12.79,,Manchester City
63,Houssem,Aouar,11312,LM,Olympique Lyonnais,248,9.97,-13.09,,Manchester City
64,Houssem,Aouar,11312,LM,Olympique Lyonnais,249,10.2,-13.31,,Manchester City
65,Houssem,Aouar,11312,LM,Olympique Lyonnais,250,10.44,-13.53,,Manchester City
66,Houssem,Aouar,11312,LM,Olympique Lyonnais,251,10.67,-13.89,,Manchester City
67,Houssem,Aouar,11312,LM,Olympique Lyonnais,252,10.91,-14.24,,Manchester City
68,Houssem,Aouar,11312,LM,Olympique Lyonnais,253,11.19,-14.48,,Manchester City
69,Houssem,Aouar,11312,LM,Olympique Lyonnais,254,11.47,-14.68,,Manchester City
