,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Jason,Denayer,4774,RCB,Olympique Lyonnais,183,18.48,10.03,,Olympique Lyonnais
1,Jason,Denayer,4774,RCB,Olympique Lyonnais,184,18.42,10.09,,Olympique Lyonnais
2,Jason,Denayer,4774,RCB,Olympique Lyonnais,185,18.38,10.12,,Olympique Lyonnais
3,Jason,Denayer,4774,RCB,Olympique Lyonnais,186,18.35,10.11,,Olympique Lyonnais
4,Jason,Denayer,4774,RCB,Olympique Lyonnais,187,18.38,10.09,,Olympique Lyonnais
5,Jason,Denayer,4774,RCB,Olympique Lyonnais,188,18.34,9.92,,Olympique Lyonnais
6,Jason,Denayer,4774,RCB,Olympique Lyonnais,189,18.31,9.75,,Olympique Lyonnais
7,Jason,Denayer,4774,RCB,Olympique Lyonnais,190,18.3,9.66,,Olympique Lyonnais
8,Jason,Denayer,4774,RCB,Olympique Lyonnais,191,18.31,9.58,,Olympique Lyonnais
9,Jason,Denayer,4774,RCB,Olympique Lyonnais,192,18.34,9.59,,Olympique Lyonnais
10,Jason,Denayer,4774,RCB,Olympique Lyonnais,193,18.41,9.73,,Olympique Lyonnais
11,Jason,Denayer,4774,RCB,Olympique Lyonnais,194,18.43,9.7,,Olympique Lyonnais
12,Jason,Denayer,4774,RCB,Olympique Lyonnais,195,18.45,9.7,,Olympique Lyonnais
13,Jason,Denayer,4774,RCB,Olympique Lyonnais,196,18.46,9.68,,Olympique Lyonnais
14,Jason,Denayer,4774,RCB,Olympique Lyonnais,197,18.46,9.67,,Olympique Lyonnais
15,Jason,Denayer,4774,RCB,Olympique Lyonnais,198,18.44,9.64,,Olympique Lyonnais
16,Jason,Denayer,4774,RCB,Olympique Lyonnais,199,18.43,9.69,,Olympique Lyonnais
17,Jason,Denayer,4774,RCB,Olympique Lyonnais,200,18.41,9.71,,Olympique Lyonnais
18,Jason,Denayer,4774,RCB,Olympique Lyonnais,201,18.39,9.65,,Olympique Lyonnais
19,Jason,Denayer,4774,RCB,Olympique Lyonnais,202,18.37,9.63,4460.0,Manchester City
20,Jason,Denayer,4774,RCB,Olympique Lyonnais,203,18.38,9.69,4460.0,Manchester City
21,Jason,Denayer,4774,RCB,Olympique Lyonnais,204,18.38,9.71,4460.0,Manchester City
22,Jason,Denayer,4774,RCB,Olympique Lyonnais,205,18.37,9.66,4460.0,Manchester City
23,Jason,Denayer,4774,RCB,Olympique Lyonnais,206,18.38,9.74,4460.0,Manchester City
24,Jason,Denayer,4774,RCB,Olympique Lyonnais,207,18.39,9.77,4460.0,Manchester City
25,Jason,Denayer,4774,RCB,Olympique Lyonnais,208,18.39,9.85,4460.0,Manchester City
26,Jason,Denayer,4774,RCB,Olympique Lyonnais,209,18.4,9.93,4460.0,Manchester City
27,Jason,Denayer,4774,RCB,Olympique Lyonnais,210,18.43,9.94,4460.0,Manchester City
28,Jason,Denayer,4774,RCB,Olympique Lyonnais,211,18.41,9.74,4460.0,Manchester City
29,Jason,Denayer,4774,RCB,Olympique Lyonnais,212,18.4,9.74,,Manchester City
30,Jason,Denayer,4774,RCB,Olympique Lyonnais,213,18.39,9.81,,Manchester City
31,Jason,Denayer,4774,RCB,Olympique Lyonnais,214,18.33,9.78,,Manchester City
32,Jason,Denayer,4774,RCB,Olympique Lyonnais,215,18.28,9.74,,Manchester City
33,Jason,Denayer,4774,RCB,Olympique Lyonnais,216,18.24,9.71,,Manchester City
34,Jason,Denayer,4774,RCB,Olympique Lyonnais,217,18.21,9.77,,Manchester City
35,Jason,Denayer,4774,RCB,Olympique Lyonnais,218,18.2,10.03,,Manchester City
36,Jason,Denayer,4774,RCB,Olympique Lyonnais,219,18.16,10.08,,Manchester City
37,Jason,Denayer,4774,RCB,Olympique Lyonnais,220,18.15,10.13,,Manchester City
38,Jason,Denayer,4774,RCB,Olympique Lyonnais,221,18.11,10.07,,Manchester City
39,Jason,Denayer,4774,RCB,Olympique Lyonnais,222,18.06,9.93,,Manchester City
40,Jason,Denayer,4774,RCB,Olympique Lyonnais,223,18.06,9.94,,Manchester City
41,Jason,Denayer,4774,RCB,Olympique Lyonnais,224,18.04,9.97,,Manchester City
42,Jason,Denayer,4774,RCB,Olympique Lyonnais,225,17.99,9.81,,Manchester City
43,Jason,Denayer,4774,RCB,Olympique Lyonnais,226,17.95,9.68,,Manchester City
44,Jason,Denayer,4774,RCB,Olympique Lyonnais,227,17.88,9.36,,Manchester City
45,Jason,Denayer,4774,RCB,Olympique Lyonnais,228,17.85,9.07,,Manchester City
46,Jason,Denayer,4774,RCB,Olympique Lyonnais,229,17.85,8.89,,Manchester City
47,Jason,Denayer,4774,RCB,Olympique Lyonnais,230,17.87,8.78,,Manchester City
48,Jason,Denayer,4774,RCB,Olympique Lyonnais,231,17.91,8.68,,Manchester City
49,Jason,Denayer,4774,RCB,Olympique Lyonnais,232,17.9,8.44,,Manchester City
50,Jason,Denayer,4774,RCB,Olympique Lyonnais,233,17.88,8.16,9202.0,Manchester City
51,Jason,Denayer,4774,RCB,Olympique Lyonnais,234,17.88,7.8,9202.0,Manchester City
52,Jason,Denayer,4774,RCB,Olympique Lyonnais,235,17.92,7.57,9202.0,Manchester City
53,Jason,Denayer,4774,RCB,Olympique Lyonnais,236,18.0,7.48,9202.0,Manchester City
54,Jason,Denayer,4774,RCB,Olympique Lyonnais,237,18.11,7.2,9202.0,Manchester City
55,Jason,Denayer,4774,RCB,Olympique Lyonnais,238,18.24,6.92,9202.0,Manchester City
56,Jason,Denayer,4774,RCB,Olympique Lyonnais,239,18.47,6.76,,Manchester City
57,Jason,Denayer,4774,RCB,Olympique Lyonnais,240,18.79,6.65,,Manchester City
58,Jason,Denayer,4774,RCB,Olympique Lyonnais,241,19.05,6.43,,Manchester City
59,Jason,Denayer,4774,RCB,Olympique Lyonnais,242,19.26,6.16,,Manchester City
