,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Kevin,de Bruyne,5821,RW,Manchester City,183,-0.24,-10.51,,Olympique Lyonnais
1,Kevin,de Bruyne,5821,RW,Manchester City,184,-0.25,-10.49,,Olympique Lyonnais
2,Kevin,de Bruyne,5821,RW,Manchester City,185,-0.25,-10.48,,Olympique Lyonnais
3,Kevin,de Bruyne,5821,RW,Manchester City,186,-0.24,-10.48,,Olympique Lyonnais
4,Kevin,de Bruyne,5821,RW,Manchester City,187,-0.22,-10.5,,Olympique Lyonnais
5,Kevin,de Bruyne,5821,RW,Manchester City,188,-0.21,-10.5,,Olympique Lyonnais
6,Kevin,de Bruyne,5821,RW,Manchester City,189,-0.2,-10.47,,Olympique Lyonnais
7,Kevin,de Bruyne,5821,RW,Manchester City,190,-0.18,-10.45,,Olympique Lyonnais
8,Kevin,de Bruyne,5821,RW,Manchester City,191,-0.15,-10.47,,Olympique Lyonnais
9,Kevin,de Bruyne,5821,RW,Manchester City,192,-0.13,-10.52,,Olympique Lyonnais
10,Kevin,de Bruyne,5821,RW,Manchester City,193,-0.12,-10.62,,Olympique Lyonnais
11,Kevin,de Bruyne,5821,RW,Manchester City,194,-0.11,-10.8,,Olympique Lyonnais
12,Kevin,de Bruyne,5821,RW,Manchester City,195,-0.12,-11.0,,Olympique Lyonnais
13,Kevin,de Bruyne,5821,RW,Manchester City,196,-0.13,-11.19,,Olympique Lyonnais
14,Kevin,de Bruyne,5821,RW,Manchester City,197,-0.14,-11.31,,Olympique Lyonnais
15,Kevin,de Bruyne,5821,RW,Manchester City,198,-0.16,-11.32,,Olympique Lyonnais
16,Kevin,de Bruyne,5821,RW,Manchester City,199,-0.17,-11.31,,Olympique Lyonnais
17,Kevin,de Bruyne,5821,RW,Manchester City,200,-0.19,-11.33,,Olympique Lyonnais
18,Kevin,de Bruyne,5821,RW,Manchester City,201,-0.19,-11.39,,Olympique Lyonnais
19,Kevin,de Bruyne,5821,RW,Manchester City,202,-0.18,-11.49,4460.0,Manchester City
20,Kevin,de Bruyne,5821,RW,Manchester City,203,-0.17,-11.62,4460.0,Manchester City
21,Kevin,de Bruyne,5821,RW,Manchester City,204,-0.18,-11.64,4460.0,Manchester City
22,Kevin,de Bruyne,5821,RW,Manchester City,205,-0.19,-11.73,4460.0,Manchester City
23,Kevin,de Bruyne,5821,RW,Manchester City,206,-0.21,-11.83,4460.0,Manchester City
24,Kevin,de Bruyne,5821,RW,Manchester City,207,-0.2,-11.95,4460.0,Manchester City
25,Kevin,de Bruyne,5821,RW,Manchester City,208,-0.19,-11.98,4460.0,Manchester City
26,Kevin,de Bruyne,5821,RW,Manchester City,209,-0.17,-12.18,4460.0,Manchester City
27,Kevin,de Bruyne,5821,RW,Manchester City,210,-0.16,-12.47,4460.0,Manchester City
28,Kevin,de Bruyne,5821,RW,Manchester City,211,-0.1,-12.84,4460.0,Manchester City
29,Kevin,de Bruyne,5821,RW,Manchester City,212,-0.03,-13.12,,Manchester City
30,Kevin,de Bruyne,5821,RW,Manchester City,213,0.15,-13.3,,Manchester City
31,Kevin,de Bruyne,5821,RW,Manchester City,214,0.4,-13.34,,Manchester City
32,Kevin,de Bruyne,5821,RW,Manchester City,215,0.62,-13.52,,Manchester City
33,Kevin,de Bruyne,5821,RW,Manchester City,216,0.76,-13.85,,Manchester City
34,Kevin,de Bruyne,5821,RW,Manchester City,217,0.89,-14.21,,Manchester City
35,Kevin,de Bruyne,5821,RW,Manchester City,218,1.04,-14.39,,Manchester City
36,Kevin,de Bruyne,5821,RW,Manchester City,219,1.32,-14.48,,Manchester City
37,Kevin,de Bruyne,5821,RW,Manchester City,220,1.66,-14.6,,Manchester City
