,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Leo,Dubois,6152,RW,Olympique Lyonnais,183,14.46,21.53,,Olympique Lyonnais
1,Leo,Dubois,6152,RW,Olympique Lyonnais,184,14.44,21.64,,Olympique Lyonnais
2,Leo,Dubois,6152,RW,Olympique Lyonnais,185,14.43,21.73,,Olympique Lyonnais
3,Leo,Dubois,6152,RW,Olympique Lyonnais,186,14.42,21.82,,Olympique Lyonnais
4,Leo,Dubois,6152,RW,Olympique Lyonnais,187,14.45,21.9,,Olympique Lyonnais
5,Leo,Dubois,6152,RW,Olympique Lyonnais,188,14.42,21.94,,Olympique Lyonnais
6,Leo,Dubois,6152,RW,Olympique Lyonnais,189,14.38,22.01,,Olympique Lyonnais
7,Leo,Dubois,6152,RW,Olympique Lyonnais,190,14.36,22.16,,Olympique Lyonnais
8,Leo,Dubois,6152,RW,Olympique Lyonnais,191,14.34,22.16,,Olympique Lyonnais
9,Leo,Dubois,6152,RW,Olympique Lyonnais,192,14.31,22.23,,Olympique Lyonnais
10,Leo,Dubois,6152,RW,Olympique Lyonnais,193,14.27,22.23,,Olympique Lyonnais
11,Leo,Dubois,6152,RW,Olympique Lyonnais,194,14.22,22.18,,Olympique Lyonnais
12,Leo,Dubois,6152,RW,Olympique Lyonnais,195,14.16,22.24,,Olympique Lyonnais
13,Leo,Dubois,6152,RW,Olympique Lyonnais,196,14.13,22.28,,Olympique Lyonnais
14,Leo,Dubois,6152,RW,Olympique Lyonnais,197,14.08,22.27,,Olympique Lyonnais
15,Leo,Dubois,6152,RW,Olympique Lyonnais,198,13.99,22.17,,Olympique Lyonnais
16,Leo,Dubois,6152,RW,Olympique Lyonnais,199,13.93,22.12,,Olympique Lyonnais
17,Leo,Dubois,6152,RW,Olympique Lyonnais,200,13.85,22.16,,Olympique Lyonnais
18,Leo,Dubois,6152,RW,Olympique Lyonnais,201,13.76,22.24,,Olympique Lyonnais
19,Leo,Dubois,6152,RW,Olympique Lyonnais,202,13.69,22.41,4460.0,Manchester City
20,Leo,Dubois,6152,RW,Olympique Lyonnais,203,13.64,22.61,4460.0,Manchester City
21,Leo,Dubois,6152,RW,Olympique Lyonnais,204,13.6,22.69,4460.0,Manchester City
22,Leo,Dubois,6152,RW,Olympique Lyonnais,205,13.56,22.65,4460.0,Manchester City
23,Leo,Dubois,6152,RW,Olympique Lyonnais,206,13.5,22.64,4460.0,Manchester City
24,Leo,Dubois,6152,RW,Olympique Lyonnais,207,13.42,22.49,4460.0,Manchester City
25,Leo,Dubois,6152,RW,Olympique Lyonnais,208,13.3,22.29,4460.0,Manchester City
26,Leo,Dubois,6152,RW,Olympique Lyonnais,209,13.22,22.25,4460.0,Manchester City
27,Leo,Dubois,6152,RW,Olympique Lyonnais,210,13.16,22.35,4460.0,Manchester City
28,Leo,Dubois,6152,RW,Olympique Lyonnais,211,13.13,22.38,4460.0,Manchester City
29,Leo,Dubois,6152,RW,Olympique Lyonnais,212,13.07,22.44,,Manchester City
30,Leo,Dubois,6152,RW,Olympique Lyonnais,213,12.96,22.26,,Manchester City
31,Leo,Dubois,6152,RW,Olympique Lyonnais,214,12.76,21.77,,Manchester City
32,Leo,Dubois,6152,RW,Olympique Lyonnais,215,12.62,21.62,,Manchester City
33,Leo,Dubois,6152,RW,Olympique Lyonnais,216,12.5,21.65,,Manchester City
34,Leo,Dubois,6152,RW,Olympique Lyonnais,217,12.43,21.7,,Manchester City
35,Leo,Dubois,6152,RW,Olympique Lyonnais,218,12.37,21.75,,Manchester City
36,Leo,Dubois,6152,RW,Olympique Lyonnais,219,12.29,21.75,,Manchester City
37,Leo,Dubois,6152,RW,Olympique Lyonnais,220,12.19,21.56,,Manchester City
38,Leo,Dubois,6152,RW,Olympique Lyonnais,221,12.11,21.55,,Manchester City
39,Leo,Dubois,6152,RW,Olympique Lyonnais,222,12.06,21.58,,Manchester City
40,Leo,Dubois,6152,RW,Olympique Lyonnais,223,12.0,21.51,,Manchester City
41,Leo,Dubois,6152,RW,Olympique Lyonnais,224,11.94,21.36,,Manchester City
42,Leo,Dubois,6152,RW,Olympique Lyonnais,225,11.88,21.31,,Manchester City
43,Leo,Dubois,6152,RW,Olympique Lyonnais,226,11.75,21.27,,Manchester City
44,Leo,Dubois,6152,RW,Olympique Lyonnais,227,11.58,21.24,,Manchester City
45,Leo,Dubois,6152,RW,Olympique Lyonnais,228,11.46,21.28,,Manchester City
46,Leo,Dubois,6152,RW,Olympique Lyonnais,229,11.35,21.31,,Manchester City
47,Leo,Dubois,6152,RW,Olympique Lyonnais,230,11.31,21.2,,Manchester City
48,Leo,Dubois,6152,RW,Olympique Lyonnais,231,11.32,21.16,,Manchester City
49,Leo,Dubois,6152,RW,Olympique Lyonnais,232,11.29,21.0,,Manchester City
50,Leo,Dubois,6152,RW,Olympique Lyonnais,233,11.26,20.8,9202.0,Manchester City
51,Leo,Dubois,6152,RW,Olympique Lyonnais,234,11.26,20.67,9202.0,Manchester City
52,Leo,Dubois,6152,RW,Olympique Lyonnais,235,11.34,20.73,9202.0,Manchester City
53,Leo,Dubois,6152,RW,Olympique Lyonnais,236,11.44,20.75,9202.0,Manchester City
54,Leo,Dubois,6152,RW,Olympique Lyonnais,237,11.55,20.73,9202.0,Manchester City
55,Leo,Dubois,6152,RW,Olympique Lyonnais,238,11.64,20.56,9202.0,Manchester City
56,Leo,Dubois,6152,RW,Olympique Lyonnais,239,11.71,20.19,,Manchester City
57,Leo,Dubois,6152,RW,Olympique Lyonnais,240,11.8,19.92,,Manchester City
58,Leo,Dubois,6152,RW,Olympique Lyonnais,241,11.97,19.82,,Manchester City
59,Leo,Dubois,6152,RW,Olympique Lyonnais,242,12.2,19.92,,Manchester City
60,Leo,Dubois,6152,RW,Olympique Lyonnais,243,12.41,19.99,,Manchester City
61,Leo,Dubois,6152,RW,Olympique Lyonnais,244,12.63,19.7,,Manchester City
62,Leo,Dubois,6152,RW,Olympique Lyonnais,245,12.87,19.31,,Manchester City
63,Leo,Dubois,6152,RW,Olympique Lyonnais,246,13.09,19.03,,Manchester City
64,Leo,Dubois,6152,RW,Olympique Lyonnais,247,13.3,18.6,,Manchester City
65,Leo,Dubois,6152,RW,Olympique Lyonnais,248,13.57,18.57,,Manchester City
66,Leo,Dubois,6152,RW,Olympique Lyonnais,249,13.82,18.5,,Manchester City
67,Leo,Dubois,6152,RW,Olympique Lyonnais,250,14.08,18.17,,Manchester City
68,Leo,Dubois,6152,RW,Olympique Lyonnais,251,14.42,17.98,,Manchester City
69,Leo,Dubois,6152,RW,Olympique Lyonnais,252,14.77,17.89,,Manchester City
70,Leo,Dubois,6152,RW,Olympique Lyonnais,253,15.09,17.62,,Manchester City
71,Leo,Dubois,6152,RW,Olympique Lyonnais,254,15.43,17.44,,Manchester City
72,Leo,Dubois,6152,RW,Olympique Lyonnais,255,15.77,17.26,,Manchester City
73,Leo,Dubois,6152,RW,Olympique Lyonnais,256,16.09,16.96,,Manchester City
