,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Marcelo,Guedes,6734,CB,Olympique Lyonnais,251,25.29,-12.76,,Manchester City
1,Marcelo,Guedes,6734,CB,Olympique Lyonnais,252,25.52,-12.99,,Manchester City
2,Marcelo,Guedes,6734,CB,Olympique Lyonnais,253,25.7,-13.21,,Manchester City
3,Marcelo,Guedes,6734,CB,Olympique Lyonnais,254,25.89,-13.36,,Manchester City
4,Marcelo,Guedes,6734,CB,Olympique Lyonnais,255,26.15,-13.45,,Manchester City
5,Marcelo,Guedes,6734,CB,Olympique Lyonnais,256,26.44,-13.54,,Manchester City
6,Marcelo,Guedes,6734,CB,Olympique Lyonnais,257,26.75,-13.68,,Manchester City
7,Marcelo,Guedes,6734,CB,Olympique Lyonnais,258,27.07,-13.85,,Manchester City
8,Marcelo,Guedes,6734,CB,Olympique Lyonnais,259,27.4,-13.95,,Manchester City
9,Marcelo,Guedes,6734,CB,Olympique Lyonnais,260,27.72,-13.97,,Manchester City
10,Marcelo,Guedes,6734,CB,Olympique Lyonnais,261,28.08,-13.94,,Manchester City
11,Marcelo,Guedes,6734,CB,Olympique Lyonnais,262,28.47,-13.85,,Manchester City
12,Marcelo,Guedes,6734,CB,Olympique Lyonnais,263,28.85,-13.83,,Manchester City
13,Marcelo,Guedes,6734,CB,Olympique Lyonnais,264,29.19,-13.9,,Manchester City
14,Marcelo,Guedes,6734,CB,Olympique Lyonnais,265,29.56,-13.95,,Manchester City
15,Marcelo,Guedes,6734,CB,Olympique Lyonnais,266,29.82,-14.13,,Manchester City
16,Marcelo,Guedes,6734,CB,Olympique Lyonnais,267,30.04,-14.44,,Manchester City
17,Marcelo,Guedes,6734,CB,Olympique Lyonnais,268,30.26,-14.74,,Manchester City
18,Marcelo,Guedes,6734,CB,Olympique Lyonnais,269,30.44,-15.01,,Manchester City
19,Marcelo,Guedes,6734,CB,Olympique Lyonnais,270,30.57,-15.14,,Manchester City
20,Marcelo,Guedes,6734,CB,Olympique Lyonnais,271,30.7,-15.04,,Manchester City
21,Marcelo,Guedes,6734,CB,Olympique Lyonnais,272,30.72,-14.92,,Manchester City
22,Marcelo,Guedes,6734,CB,Olympique Lyonnais,273,30.74,-14.76,,Manchester City
23,Marcelo,Guedes,6734,CB,Olympique Lyonnais,274,30.77,-14.57,,Manchester City
24,Marcelo,Guedes,6734,CB,Olympique Lyonnais,275,30.79,-14.39,,Manchester City
25,Marcelo,Guedes,6734,CB,Olympique Lyonnais,276,30.8,-14.16,,Manchester City
26,Marcelo,Guedes,6734,CB,Olympique Lyonnais,277,30.78,-13.84,,Manchester City
27,Marcelo,Guedes,6734,CB,Olympique Lyonnais,278,30.76,-13.56,,Manchester City
28,Marcelo,Guedes,6734,CB,Olympique Lyonnais,279,30.69,-13.4,,Manchester City
29,Marcelo,Guedes,6734,CB,Olympique Lyonnais,280,30.63,-13.29,,Manchester City
30,Marcelo,Guedes,6734,CB,Olympique Lyonnais,281,30.57,-13.17,,Manchester City
31,Marcelo,Guedes,6734,CB,Olympique Lyonnais,282,30.54,-12.93,,Manchester City
32,Marcelo,Guedes,6734,CB,Olympique Lyonnais,283,30.51,-12.63,,Manchester City
33,Marcelo,Guedes,6734,CB,Olympique Lyonnais,284,30.47,-12.37,,Manchester City
34,Marcelo,Guedes,6734,CB,Olympique Lyonnais,285,30.41,-12.17,,Manchester City
35,Marcelo,Guedes,6734,CB,Olympique Lyonnais,286,30.29,-12.03,,Manchester City
36,Marcelo,Guedes,6734,CB,Olympique Lyonnais,287,30.16,-11.89,,Manchester City
37,Marcelo,Guedes,6734,CB,Olympique Lyonnais,288,30.0,-11.74,,Manchester City
38,Marcelo,Guedes,6734,CB,Olympique Lyonnais,289,29.81,-11.64,,Manchester City
39,Marcelo,Guedes,6734,CB,Olympique Lyonnais,290,29.64,-11.58,,Manchester City
40,Marcelo,Guedes,6734,CB,Olympique Lyonnais,291,29.49,-11.53,,Manchester City
41,Marcelo,Guedes,6734,CB,Olympique Lyonnais,292,29.3,-11.52,5821.0,Manchester City
42,Marcelo,Guedes,6734,CB,Olympique Lyonnais,293,29.11,-11.54,5821.0,Manchester City
43,Marcelo,Guedes,6734,CB,Olympique Lyonnais,294,28.91,-11.56,,Manchester City
44,Marcelo,Guedes,6734,CB,Olympique Lyonnais,295,28.7,-11.6,,Manchester City
45,Marcelo,Guedes,6734,CB,Olympique Lyonnais,296,28.52,-11.64,,Manchester City
46,Marcelo,Guedes,6734,CB,Olympique Lyonnais,297,28.37,-11.67,,Manchester City
47,Marcelo,Guedes,6734,CB,Olympique Lyonnais,298,28.19,-11.69,,Manchester City
48,Marcelo,Guedes,6734,CB,Olympique Lyonnais,299,27.99,-11.74,,Manchester City
49,Marcelo,Guedes,6734,CB,Olympique Lyonnais,300,27.84,-11.75,,Manchester City
50,Marcelo,Guedes,6734,CB,Olympique Lyonnais,301,27.75,-11.7,,Manchester City
51,Marcelo,Guedes,6734,CB,Olympique Lyonnais,302,27.65,-11.74,,Manchester City
52,Marcelo,Guedes,6734,CB,Olympique Lyonnais,303,27.54,-11.87,,Manchester City
53,Marcelo,Guedes,6734,CB,Olympique Lyonnais,304,27.4,-12.08,,Manchester City
54,Marcelo,Guedes,6734,CB,Olympique Lyonnais,305,27.28,-12.3,,Manchester City
