,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Riyad,Mahrez,9077,RM,Manchester City,44554,-32.63,5.71,,Manchester City
1,Riyad,Mahrez,9077,RM,Manchester City,44555,-32.72,5.54,,Manchester City
2,Riyad,Mahrez,9077,RM,Manchester City,44556,-32.84,5.47,,Manchester City
3,Riyad,Mahrez,9077,RM,Manchester City,44557,-33.0,5.49,,Manchester City
4,Riyad,Mahrez,9077,RM,Manchester City,44558,-33.23,5.7,,Manchester City
5,Riyad,Mahrez,9077,RM,Manchester City,44559,-33.47,5.92,,Manchester City
6,Riyad,Mahrez,9077,RM,Manchester City,44560,-33.62,5.96,,Manchester City
7,Riyad,Mahrez,9077,RM,Manchester City,44561,-33.75,5.95,,Manchester City
8,Riyad,Mahrez,9077,RM,Manchester City,44562,-33.86,5.97,,Manchester City
9,Riyad,Mahrez,9077,RM,Manchester City,44563,-33.97,6.02,,Manchester City
10,Riyad,Mahrez,9077,RM,Manchester City,44564,-34.1,6.08,,Manchester City
11,Riyad,Mahrez,9077,RM,Manchester City,44565,-34.28,6.21,,Manchester City
12,Riyad,Mahrez,9077,RM,Manchester City,44566,-34.45,6.26,,Manchester City
13,Riyad,Mahrez,9077,RM,Manchester City,44567,-34.7,6.44,,Manchester City
14,Riyad,Mahrez,9077,RM,Manchester City,44568,-34.91,6.56,,Manchester City
15,Riyad,Mahrez,9077,RM,Manchester City,44569,-35.09,6.6,,Manchester City
16,Riyad,Mahrez,9077,RM,Manchester City,44570,-35.25,6.6,,Manchester City
17,Riyad,Mahrez,9077,RM,Manchester City,44571,-35.38,6.56,,Manchester City
18,Riyad,Mahrez,9077,RM,Manchester City,44572,-35.53,6.49,,Manchester City
19,Riyad,Mahrez,9077,RM,Manchester City,44573,-35.82,6.57,,Manchester City
20,Riyad,Mahrez,9077,RM,Manchester City,44574,-36.23,6.82,,Manchester City
21,Riyad,Mahrez,9077,RM,Manchester City,44575,-36.72,7.21,,Manchester City
22,Riyad,Mahrez,9077,RM,Manchester City,44576,-37.21,7.49,,Manchester City
23,Riyad,Mahrez,9077,RM,Manchester City,44577,-37.63,7.68,,Manchester City
24,Riyad,Mahrez,9077,RM,Manchester City,44578,-38.13,7.96,5821.0,Manchester City
25,Riyad,Mahrez,9077,RM,Manchester City,44579,-38.69,8.25,5821.0,Manchester City
26,Riyad,Mahrez,9077,RM,Manchester City,44580,-39.31,8.6,,Manchester City
27,Riyad,Mahrez,9077,RM,Manchester City,44581,-39.79,8.69,,Manchester City
28,Riyad,Mahrez,9077,RM,Manchester City,44582,-40.07,8.4,,Manchester City
29,Riyad,Mahrez,9077,RM,Manchester City,44583,-40.33,8.15,,Manchester City
30,Riyad,Mahrez,9077,RM,Manchester City,44584,-40.64,8.06,,Manchester City
31,Riyad,Mahrez,9077,RM,Manchester City,44585,-41.03,8.1,,Manchester City
32,Riyad,Mahrez,9077,RM,Manchester City,44586,-41.54,8.32,,Manchester City
33,Riyad,Mahrez,9077,RM,Manchester City,44587,-41.99,8.5,,Manchester City
34,Riyad,Mahrez,9077,RM,Manchester City,44588,-42.32,8.54,,Manchester City
35,Riyad,Mahrez,9077,RM,Manchester City,44589,-42.63,8.65,,Manchester City
36,Riyad,Mahrez,9077,RM,Manchester City,44590,-42.8,8.64,,Manchester City
37,Riyad,Mahrez,9077,RM,Manchester City,44591,-42.97,8.73,,Manchester City
38,Riyad,Mahrez,9077,RM,Manchester City,44592,-43.19,9.0,,Manchester City
39,Riyad,Mahrez,9077,RM,Manchester City,44593,-43.42,9.35,,Manchester City
40,Riyad,Mahrez,9077,RM,Manchester City,44594,-43.57,9.62,,Manchester City
41,Riyad,Mahrez,9077,RM,Manchester City,44595,-43.68,9.82,,Manchester City
42,Riyad,Mahrez,9077,RM,Manchester City,44596,-43.68,9.92,,Manchester City
43,Riyad,Mahrez,9077,RM,Manchester City,44597,-43.58,10.01,4001.0,Olympique Lyonnais
44,Riyad,Mahrez,9077,RM,Manchester City,44598,-43.43,10.12,4001.0,Olympique Lyonnais
45,Riyad,Mahrez,9077,RM,Manchester City,44599,-43.25,10.21,4001.0,Olympique Lyonnais
46,Riyad,Mahrez,9077,RM,Manchester City,44600,-43.06,10.28,,Olympique Lyonnais
47,Riyad,Mahrez,9077,RM,Manchester City,44601,-42.93,10.32,,Olympique Lyonnais
48,Riyad,Mahrez,9077,RM,Manchester City,44602,-42.84,10.36,,Olympique Lyonnais
49,Riyad,Mahrez,9077,RM,Manchester City,44603,-42.66,10.38,,Olympique Lyonnais
50,Riyad,Mahrez,9077,RM,Manchester City,44604,-42.47,10.44,,Olympique Lyonnais
51,Riyad,Mahrez,9077,RM,Manchester City,44605,-42.25,10.5,,Olympique Lyonnais
52,Riyad,Mahrez,9077,RM,Manchester City,44606,-41.99,10.57,,Olympique Lyonnais
53,Riyad,Mahrez,9077,RM,Manchester City,44607,-41.77,10.58,,Olympique Lyonnais
54,Riyad,Mahrez,9077,RM,Manchester City,44608,-41.58,10.53,,Olympique Lyonnais
55,Riyad,Mahrez,9077,RM,Manchester City,44609,-41.37,10.42,,Olympique Lyonnais
56,Riyad,Mahrez,9077,RM,Manchester City,44610,-41.2,10.46,,Olympique Lyonnais
57,Riyad,Mahrez,9077,RM,Manchester City,44611,-40.99,10.44,,Olympique Lyonnais
58,Riyad,Mahrez,9077,RM,Manchester City,44612,-40.81,10.49,,Olympique Lyonnais
59,Riyad,Mahrez,9077,RM,Manchester City,44613,-40.63,10.55,,Olympique Lyonnais
60,Riyad,Mahrez,9077,RM,Manchester City,44614,-40.45,10.49,,Olympique Lyonnais
61,Riyad,Mahrez,9077,RM,Manchester City,44615,-40.26,10.31,,Olympique Lyonnais
62,Riyad,Mahrez,9077,RM,Manchester City,44616,-40.09,10.34,,Olympique Lyonnais
63,Riyad,Mahrez,9077,RM,Manchester City,44617,-39.8,10.2,,Olympique Lyonnais
64,Riyad,Mahrez,9077,RM,Manchester City,44618,-39.54,10.18,,Olympique Lyonnais
65,Riyad,Mahrez,9077,RM,Manchester City,44619,-39.27,10.22,,Olympique Lyonnais
66,Riyad,Mahrez,9077,RM,Manchester City,44620,-38.99,10.17,,Olympique Lyonnais
67,Riyad,Mahrez,9077,RM,Manchester City,44621,-38.67,9.99,,Olympique Lyonnais
68,Riyad,Mahrez,9077,RM,Manchester City,44622,-38.34,9.91,,Olympique Lyonnais
69,Riyad,Mahrez,9077,RM,Manchester City,44623,-37.97,9.8,,Olympique Lyonnais
70,Riyad,Mahrez,9077,RM,Manchester City,44624,-37.6,9.66,,Olympique Lyonnais
71,Riyad,Mahrez,9077,RM,Manchester City,44625,-37.19,9.58,,Olympique Lyonnais
72,Riyad,Mahrez,9077,RM,Manchester City,44626,-36.78,9.55,,Olympique Lyonnais
73,Riyad,Mahrez,9077,RM,Manchester City,44627,-36.4,9.48,,Olympique Lyonnais
74,Riyad,Mahrez,9077,RM,Manchester City,44628,-36.02,9.43,,Olympique Lyonnais
75,Riyad,Mahrez,9077,RM,Manchester City,44629,-35.66,9.46,,Olympique Lyonnais
76,Riyad,Mahrez,9077,RM,Manchester City,44630,-35.29,9.38,,Olympique Lyonnais
77,Riyad,Mahrez,9077,RM,Manchester City,44631,-34.9,9.21,,Olympique Lyonnais
78,Riyad,Mahrez,9077,RM,Manchester City,44632,-34.48,9.05,,Olympique Lyonnais
79,Riyad,Mahrez,9077,RM,Manchester City,44633,-34.12,9.0,,Olympique Lyonnais
80,Riyad,Mahrez,9077,RM,Manchester City,44634,-33.77,8.9,,Olympique Lyonnais
81,Riyad,Mahrez,9077,RM,Manchester City,44635,-33.39,8.86,,Olympique Lyonnais
82,Riyad,Mahrez,9077,RM,Manchester City,44636,-33.07,8.93,,Olympique Lyonnais
83,Riyad,Mahrez,9077,RM,Manchester City,44637,-32.72,8.85,,Olympique Lyonnais
84,Riyad,Mahrez,9077,RM,Manchester City,44638,-32.32,8.66,,Olympique Lyonnais
85,Riyad,Mahrez,9077,RM,Manchester City,44639,-31.91,8.52,,Olympique Lyonnais
86,Riyad,Mahrez,9077,RM,Manchester City,44640,-31.55,8.36,,Olympique Lyonnais
87,Riyad,Mahrez,9077,RM,Manchester City,44641,-31.17,8.16,,Olympique Lyonnais
88,Riyad,Mahrez,9077,RM,Manchester City,44642,-30.83,8.08,,Olympique Lyonnais
89,Riyad,Mahrez,9077,RM,Manchester City,44643,-30.51,8.04,,Olympique Lyonnais
90,Riyad,Mahrez,9077,RM,Manchester City,44644,-30.16,7.95,,Olympique Lyonnais
91,Riyad,Mahrez,9077,RM,Manchester City,44645,-29.75,7.77,,Olympique Lyonnais
92,Riyad,Mahrez,9077,RM,Manchester City,44646,-29.38,7.7,,Olympique Lyonnais
93,Riyad,Mahrez,9077,RM,Manchester City,44647,-29.01,7.6,,Olympique Lyonnais
94,Riyad,Mahrez,9077,RM,Manchester City,44648,-28.67,7.49,,Olympique Lyonnais
95,Riyad,Mahrez,9077,RM,Manchester City,44649,-28.36,7.49,,Olympique Lyonnais
96,Riyad,Mahrez,9077,RM,Manchester City,44650,-28.05,7.52,,Olympique Lyonnais
97,Riyad,Mahrez,9077,RM,Manchester City,44651,-27.71,7.47,,Olympique Lyonnais
98,Riyad,Mahrez,9077,RM,Manchester City,44652,-27.36,7.44,,Olympique Lyonnais
99,Riyad,Mahrez,9077,RM,Manchester City,44653,-27.0,7.4,,Olympique Lyonnais
100,Riyad,Mahrez,9077,RM,Manchester City,44654,-26.62,7.38,,Olympique Lyonnais
101,Riyad,Mahrez,9077,RM,Manchester City,44846,-9.14,13.3,,Olympique Lyonnais
102,Riyad,Mahrez,9077,RM,Manchester City,44847,-9.08,13.52,,Olympique Lyonnais
103,Riyad,Mahrez,9077,RM,Manchester City,44848,-9.0,13.67,,Olympique Lyonnais
104,Riyad,Mahrez,9077,RM,Manchester City,44849,-8.88,13.77,,Olympique Lyonnais
105,Riyad,Mahrez,9077,RM,Manchester City,44850,-8.7,13.83,,Olympique Lyonnais
106,Riyad,Mahrez,9077,RM,Manchester City,44851,1.03,-6.83,,Olympique Lyonnais
107,Riyad,Mahrez,9077,RM,Manchester City,44852,1.11,-6.69,,Olympique Lyonnais
108,Riyad,Mahrez,9077,RM,Manchester City,44853,1.15,-6.55,,Olympique Lyonnais
109,Riyad,Mahrez,9077,RM,Manchester City,44854,1.17,-6.43,,Olympique Lyonnais
110,Riyad,Mahrez,9077,RM,Manchester City,44855,1.19,-6.34,,Olympique Lyonnais
111,Riyad,Mahrez,9077,RM,Manchester City,44856,1.21,-6.22,,Olympique Lyonnais
112,Riyad,Mahrez,9077,RM,Manchester City,44857,1.22,-6.11,,Olympique Lyonnais
113,Riyad,Mahrez,9077,RM,Manchester City,44858,1.24,-6.01,,Olympique Lyonnais
114,Riyad,Mahrez,9077,RM,Manchester City,44859,1.25,-5.94,,Olympique Lyonnais
115,Riyad,Mahrez,9077,RM,Manchester City,44860,1.28,-5.84,,Olympique Lyonnais
116,Riyad,Mahrez,9077,RM,Manchester City,44861,1.32,-5.72,,Olympique Lyonnais
117,Riyad,Mahrez,9077,RM,Manchester City,44862,1.36,-5.51,,Olympique Lyonnais
118,Riyad,Mahrez,9077,RM,Manchester City,44863,1.39,-5.35,,Olympique Lyonnais
