,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Thiago,Mendes,11506,CM,Olympique Lyonnais,53891,-38.9,1.86,,Olympique Lyonnais
1,Thiago,Mendes,11506,CM,Olympique Lyonnais,53892,-38.33,3.38,,Olympique Lyonnais
2,Thiago,Mendes,11506,CM,Olympique Lyonnais,53893,-37.95,4.52,,Olympique Lyonnais
3,Thiago,Mendes,11506,CM,Olympique Lyonnais,53894,-37.76,5.28,,Olympique Lyonnais
4,Thiago,Mendes,11506,CM,Olympique Lyonnais,53895,-38.01,5.33,,Olympique Lyonnais
5,Thiago,Mendes,11506,CM,Olympique Lyonnais,53896,-38.11,5.59,,Olympique Lyonnais
6,Thiago,Mendes,11506,CM,Olympique Lyonnais,53897,-38.12,5.54,,Olympique Lyonnais
7,Thiago,Mendes,11506,CM,Olympique Lyonnais,53898,-38.1,5.46,,Olympique Lyonnais
8,Thiago,Mendes,11506,CM,Olympique Lyonnais,53899,-38.08,5.38,,Olympique Lyonnais
9,Thiago,Mendes,11506,CM,Olympique Lyonnais,53900,-38.05,5.34,,Olympique Lyonnais
10,Thiago,Mendes,11506,CM,Olympique Lyonnais,53901,-38.03,5.3,,Olympique Lyonnais
11,Thiago,Mendes,11506,CM,Olympique Lyonnais,53902,-38.08,5.41,,Olympique Lyonnais
12,Thiago,Mendes,11506,CM,Olympique Lyonnais,53903,-38.15,5.56,,Olympique Lyonnais
13,Thiago,Mendes,11506,CM,Olympique Lyonnais,53904,-38.21,5.64,,Olympique Lyonnais
14,Thiago,Mendes,11506,CM,Olympique Lyonnais,53905,-38.22,5.61,,Olympique Lyonnais
15,Thiago,Mendes,11506,CM,Olympique Lyonnais,53906,-38.19,5.56,,Olympique Lyonnais
16,Thiago,Mendes,11506,CM,Olympique Lyonnais,53907,-38.13,5.42,,Olympique Lyonnais
17,Thiago,Mendes,11506,CM,Olympique Lyonnais,53908,-38.09,5.38,,Olympique Lyonnais
18,Thiago,Mendes,11506,CM,Olympique Lyonnais,53909,-38.1,5.4,,Olympique Lyonnais
19,Thiago,Mendes,11506,CM,Olympique Lyonnais,53910,-38.15,5.49,,Olympique Lyonnais
20,Thiago,Mendes,11506,CM,Olympique Lyonnais,53911,-38.14,5.44,,Olympique Lyonnais
21,Thiago,Mendes,11506,CM,Olympique Lyonnais,53912,-38.1,5.4,,Olympique Lyonnais
22,Thiago,Mendes,11506,CM,Olympique Lyonnais,53913,-37.99,5.22,,Olympique Lyonnais
23,Thiago,Mendes,11506,CM,Olympique Lyonnais,53914,-37.87,5.03,,Olympique Lyonnais
