,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,David,Silva,2501,LW,Manchester City,60461,-25.58,-15.59,11566.0,Manchester City
1,David,Silva,2501,LW,Manchester City,60462,-25.8,-16.0,11566.0,Manchester City
2,David,Silva,2501,LW,Manchester City,60463,-26.0,-16.41,11566.0,Manchester City
3,David,Silva,2501,LW,Manchester City,60464,-26.13,-16.88,11566.0,Manchester City
4,David,Silva,2501,LW,Manchester City,60465,-26.19,-17.44,11566.0,Manchester City
5,David,Silva,2501,LW,Manchester City,60466,-26.26,-17.94,11566.0,Manchester City
6,David,Silva,2501,LW,Manchester City,60467,-26.32,-18.46,11566.0,Manchester City
7,David,Silva,2501,LW,Manchester City,60468,-26.34,-19.01,11566.0,Manchester City
8,David,Silva,2501,LW,Manchester City,60469,-26.42,-19.45,11566.0,Manchester City
9,David,Silva,2501,LW,Manchester City,60470,-26.4,-20.0,11566.0,Manchester City
10,David,Silva,2501,LW,Manchester City,60471,-26.38,-20.55,11566.0,Manchester City
11,David,Silva,2501,LW,Manchester City,60472,-26.43,-20.97,,Manchester City
12,David,Silva,2501,LW,Manchester City,60473,-26.46,-21.45,,Manchester City
13,David,Silva,2501,LW,Manchester City,60474,-26.5,-21.9,,Manchester City
14,David,Silva,2501,LW,Manchester City,60475,-26.47,-22.39,,Manchester City
15,David,Silva,2501,LW,Manchester City,60476,-26.35,-22.92,,Manchester City
16,David,Silva,2501,LW,Manchester City,60477,-26.23,-23.35,,Manchester City
17,David,Silva,2501,LW,Manchester City,60478,-26.11,-23.67,,Manchester City
18,David,Silva,2501,LW,Manchester City,60479,-26.04,-23.95,,Manchester City
19,David,Silva,2501,LW,Manchester City,60480,-25.99,-24.15,,Manchester City
20,David,Silva,2501,LW,Manchester City,60481,-25.92,-24.37,,Manchester City
21,David,Silva,2501,LW,Manchester City,60482,-25.92,-24.49,,Manchester City
22,David,Silva,2501,LW,Manchester City,60483,-26.04,-24.56,,Manchester City
23,David,Silva,2501,LW,Manchester City,60484,-26.16,-24.67,,Manchester City
24,David,Silva,2501,LW,Manchester City,60485,-26.38,-24.73,4460.0,Manchester City
25,David,Silva,2501,LW,Manchester City,60486,-26.73,-24.7,4460.0,Manchester City
26,David,Silva,2501,LW,Manchester City,60487,-27.09,-24.66,4460.0,Manchester City
27,David,Silva,2501,LW,Manchester City,60488,-27.51,-24.53,4460.0,Manchester City
28,David,Silva,2501,LW,Manchester City,60489,-27.99,-24.39,4460.0,Manchester City
29,David,Silva,2501,LW,Manchester City,60490,-28.39,-24.42,4460.0,Manchester City
30,David,Silva,2501,LW,Manchester City,60491,-28.76,-24.54,4460.0,Manchester City
31,David,Silva,2501,LW,Manchester City,60492,-29.22,-24.57,4460.0,Manchester City
32,David,Silva,2501,LW,Manchester City,60493,-29.71,-24.63,4460.0,Manchester City
33,David,Silva,2501,LW,Manchester City,60494,-30.23,-24.63,,Manchester City
34,David,Silva,2501,LW,Manchester City,60495,-30.75,-24.74,,Manchester City
35,David,Silva,2501,LW,Manchester City,60496,-31.22,-25.02,,Manchester City
36,David,Silva,2501,LW,Manchester City,60497,-31.72,-25.32,,Manchester City
37,David,Silva,2501,LW,Manchester City,60498,-32.26,-25.54,,Manchester City
38,David,Silva,2501,LW,Manchester City,60499,-32.95,-25.63,,Manchester City
39,David,Silva,2501,LW,Manchester City,60500,-33.69,-25.65,,Manchester City
40,David,Silva,2501,LW,Manchester City,60501,-34.4,-25.74,,Manchester City
41,David,Silva,2501,LW,Manchester City,60502,-35.04,-25.94,,Manchester City
42,David,Silva,2501,LW,Manchester City,60503,-35.71,-26.1,,Manchester City
43,David,Silva,2501,LW,Manchester City,60504,-36.29,-26.4,,Manchester City
44,David,Silva,2501,LW,Manchester City,60505,-36.98,-26.57,,Manchester City
45,David,Silva,2501,LW,Manchester City,60506,-37.71,-26.72,,Manchester City
46,David,Silva,2501,LW,Manchester City,60507,-38.45,-26.83,,Manchester City
47,David,Silva,2501,LW,Manchester City,60508,-39.23,-26.89,,Manchester City
48,David,Silva,2501,LW,Manchester City,60509,-40.04,-26.92,,Manchester City
49,David,Silva,2501,LW,Manchester City,60510,-40.89,-26.91,,Manchester City
50,David,Silva,2501,LW,Manchester City,60675,-44.39,-23.37,,Manchester City
51,David,Silva,2501,LW,Manchester City,60676,-44.47,-23.29,,Manchester City
