,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Federico,Valverde,12395,LM,Real Madrid CF,61852,-18.0,2.71,,Real Madrid CF
1,Federico,Valverde,12395,LM,Real Madrid CF,61853,-18.33,3.1,,Real Madrid CF
2,Federico,Valverde,12395,LM,Real Madrid CF,61854,-18.66,3.48,,Real Madrid CF
3,Federico,Valverde,12395,LM,Real Madrid CF,61855,-18.97,3.83,,Real Madrid CF
4,Federico,Valverde,12395,LM,Real Madrid CF,61856,-19.51,4.48,,Real Madrid CF
5,Federico,Valverde,12395,LM,Real Madrid CF,61857,-19.78,4.71,,Real Madrid CF
6,Federico,Valverde,12395,LM,Real Madrid CF,61858,-19.67,4.44,,Real Madrid CF
7,Federico,Valverde,12395,LM,Real Madrid CF,61859,-19.71,4.41,,Real Madrid CF
8,Federico,Valverde,12395,LM,Real Madrid CF,61860,-19.76,4.37,,Real Madrid CF
9,Federico,Valverde,12395,LM,Real Madrid CF,61861,-19.81,4.33,,Real Madrid CF
10,Federico,Valverde,12395,LM,Real Madrid CF,61862,-19.85,4.31,,Real Madrid CF
11,Federico,Valverde,12395,LM,Real Madrid CF,61863,-19.87,4.24,,Manchester City
12,Federico,Valverde,12395,LM,Real Madrid CF,61864,-19.86,4.15,,Manchester City
13,Federico,Valverde,12395,LM,Real Madrid CF,61865,-19.84,4.08,,Manchester City
14,Federico,Valverde,12395,LM,Real Madrid CF,61866,-19.84,3.96,,Manchester City
15,Federico,Valverde,12395,LM,Real Madrid CF,61867,-19.76,3.86,,Manchester City
16,Federico,Valverde,12395,LM,Real Madrid CF,61868,-19.61,3.75,,Manchester City
17,Federico,Valverde,12395,LM,Real Madrid CF,61869,-19.45,3.77,,Manchester City
18,Federico,Valverde,12395,LM,Real Madrid CF,61870,-19.31,4.01,,Manchester City
19,Federico,Valverde,12395,LM,Real Madrid CF,61871,-19.16,4.29,,Manchester City
20,Federico,Valverde,12395,LM,Real Madrid CF,61872,-19.03,4.44,,Manchester City
21,Federico,Valverde,12395,LM,Real Madrid CF,61873,-18.81,4.4,1684.0,Real Madrid CF
22,Federico,Valverde,12395,LM,Real Madrid CF,61874,-18.54,4.2,1684.0,Real Madrid CF
23,Federico,Valverde,12395,LM,Real Madrid CF,61875,-18.3,4.03,1684.0,Real Madrid CF
24,Federico,Valverde,12395,LM,Real Madrid CF,61876,-18.08,4.04,1684.0,Real Madrid CF
25,Federico,Valverde,12395,LM,Real Madrid CF,61877,-17.82,4.13,1684.0,Real Madrid CF
26,Federico,Valverde,12395,LM,Real Madrid CF,61878,-17.52,4.16,1684.0,Real Madrid CF
27,Federico,Valverde,12395,LM,Real Madrid CF,61879,-17.19,4.07,1684.0,Real Madrid CF
28,Federico,Valverde,12395,LM,Real Madrid CF,61880,-16.84,3.92,1684.0,Real Madrid CF
29,Federico,Valverde,12395,LM,Real Madrid CF,61881,-16.52,3.81,1684.0,Real Madrid CF
30,Federico,Valverde,12395,LM,Real Madrid CF,61882,-16.23,3.7,,Real Madrid CF
31,Federico,Valverde,12395,LM,Real Madrid CF,61883,-15.85,3.61,,Real Madrid CF
32,Federico,Valverde,12395,LM,Real Madrid CF,61884,-15.43,3.5,,Real Madrid CF
33,Federico,Valverde,12395,LM,Real Madrid CF,61885,-14.97,3.34,,Real Madrid CF
34,Federico,Valverde,12395,LM,Real Madrid CF,61886,-14.51,3.13,,Real Madrid CF
35,Federico,Valverde,12395,LM,Real Madrid CF,61887,-14.14,2.96,,Real Madrid CF
36,Federico,Valverde,12395,LM,Real Madrid CF,61888,-13.84,2.83,,Real Madrid CF
37,Federico,Valverde,12395,LM,Real Madrid CF,61889,-13.57,2.61,1684.0,Real Madrid CF
38,Federico,Valverde,12395,LM,Real Madrid CF,61890,-13.31,2.4,,Real Madrid CF
39,Federico,Valverde,12395,LM,Real Madrid CF,61891,-13.06,2.31,,Real Madrid CF
40,Federico,Valverde,12395,LM,Real Madrid CF,61892,-12.8,2.15,,Real Madrid CF
41,Federico,Valverde,12395,LM,Real Madrid CF,61893,-12.48,1.85,,Real Madrid CF
42,Federico,Valverde,12395,LM,Real Madrid CF,61894,-12.15,1.64,,Real Madrid CF
43,Federico,Valverde,12395,LM,Real Madrid CF,61895,-11.85,1.34,,Real Madrid CF
44,Federico,Valverde,12395,LM,Real Madrid CF,61896,-11.57,1.04,,Real Madrid CF
45,Federico,Valverde,12395,LM,Real Madrid CF,61897,-11.37,0.9,,Real Madrid CF
46,Federico,Valverde,12395,LM,Real Madrid CF,61898,-11.17,0.67,,Real Madrid CF
47,Federico,Valverde,12395,LM,Real Madrid CF,61899,-10.84,0.3,,Real Madrid CF
48,Federico,Valverde,12395,LM,Real Madrid CF,61900,-10.54,0.01,,Real Madrid CF
49,Federico,Valverde,12395,LM,Real Madrid CF,61901,-10.31,-0.17,,Real Madrid CF
50,Federico,Valverde,12395,LM,Real Madrid CF,61902,-10.1,-0.33,,Real Madrid CF
51,Federico,Valverde,12395,LM,Real Madrid CF,61903,-9.94,-0.49,,Real Madrid CF
52,Federico,Valverde,12395,LM,Real Madrid CF,61904,-9.78,-0.75,,Real Madrid CF
53,Federico,Valverde,12395,LM,Real Madrid CF,61905,-9.54,-1.02,,Real Madrid CF
54,Federico,Valverde,12395,LM,Real Madrid CF,61906,-9.28,-1.49,,Real Madrid CF
55,Federico,Valverde,12395,LM,Real Madrid CF,61907,-9.04,-1.92,,Real Madrid CF
56,Federico,Valverde,12395,LM,Real Madrid CF,61908,-8.77,-2.32,,Real Madrid CF
57,Federico,Valverde,12395,LM,Real Madrid CF,61909,-8.49,-2.65,,Real Madrid CF
58,Federico,Valverde,12395,LM,Real Madrid CF,61910,-8.21,-2.82,,Real Madrid CF
59,Federico,Valverde,12395,LM,Real Madrid CF,61911,-7.92,-2.82,,Real Madrid CF
60,Federico,Valverde,12395,LM,Real Madrid CF,61912,-7.59,-2.96,,Real Madrid CF
61,Federico,Valverde,12395,LM,Real Madrid CF,61913,-7.23,-3.13,,Real Madrid CF
62,Federico,Valverde,12395,LM,Real Madrid CF,61914,-6.84,-3.3,,Real Madrid CF
63,Federico,Valverde,12395,LM,Real Madrid CF,61915,-6.5,-3.43,,Real Madrid CF
64,Federico,Valverde,12395,LM,Real Madrid CF,61916,-6.19,-3.46,,Real Madrid CF
65,Federico,Valverde,12395,LM,Real Madrid CF,61917,-5.92,-3.46,,Real Madrid CF
66,Federico,Valverde,12395,LM,Real Madrid CF,61918,-5.68,-3.45,,Real Madrid CF
67,Federico,Valverde,12395,LM,Real Madrid CF,61919,-5.39,-3.53,,Real Madrid CF
68,Federico,Valverde,12395,LM,Real Madrid CF,61920,-5.09,-3.66,,Real Madrid CF
69,Federico,Valverde,12395,LM,Real Madrid CF,61921,-4.77,-3.83,,Real Madrid CF
70,Federico,Valverde,12395,LM,Real Madrid CF,62067,0.6,-11.86,,Manchester City
71,Federico,Valverde,12395,LM,Real Madrid CF,62068,0.53,-11.93,,Manchester City
72,Federico,Valverde,12395,LM,Real Madrid CF,62069,0.42,-12.01,,Manchester City
73,Federico,Valverde,12395,LM,Real Madrid CF,62070,0.28,-12.1,,Manchester City
74,Federico,Valverde,12395,LM,Real Madrid CF,62071,0.11,-12.18,,Manchester City
75,Federico,Valverde,12395,LM,Real Madrid CF,62072,-0.12,-12.28,,Manchester City
76,Federico,Valverde,12395,LM,Real Madrid CF,62073,-0.33,-12.44,,Manchester City
77,Federico,Valverde,12395,LM,Real Madrid CF,62074,-0.49,-12.62,,Manchester City
78,Federico,Valverde,12395,LM,Real Madrid CF,62075,-0.69,-12.68,,Manchester City
79,Federico,Valverde,12395,LM,Real Madrid CF,62076,-0.96,-12.74,,Manchester City
80,Federico,Valverde,12395,LM,Real Madrid CF,62077,-1.27,-12.75,,Manchester City
81,Federico,Valverde,12395,LM,Real Madrid CF,62078,-1.64,-12.74,,Manchester City
82,Federico,Valverde,12395,LM,Real Madrid CF,62079,-2.03,-12.74,,Manchester City
83,Federico,Valverde,12395,LM,Real Madrid CF,62080,-2.41,-12.76,,Manchester City
84,Federico,Valverde,12395,LM,Real Madrid CF,62081,-2.78,-12.68,,Manchester City
85,Federico,Valverde,12395,LM,Real Madrid CF,62082,-3.19,-12.63,,Manchester City
86,Federico,Valverde,12395,LM,Real Madrid CF,62083,-3.57,-12.67,,Manchester City
87,Federico,Valverde,12395,LM,Real Madrid CF,62084,-3.93,-12.7,,Manchester City
88,Federico,Valverde,12395,LM,Real Madrid CF,62085,-4.33,-12.71,,Manchester City
89,Federico,Valverde,12395,LM,Real Madrid CF,62086,-4.8,-12.73,,Manchester City
90,Federico,Valverde,12395,LM,Real Madrid CF,62087,-5.27,-12.69,,Manchester City
91,Federico,Valverde,12395,LM,Real Madrid CF,62088,-5.76,-12.62,,Manchester City
92,Federico,Valverde,12395,LM,Real Madrid CF,62089,-6.26,-12.62,,Manchester City
93,Federico,Valverde,12395,LM,Real Madrid CF,62090,-6.78,-12.65,,Manchester City
94,Federico,Valverde,12395,LM,Real Madrid CF,62091,-7.25,-12.6,,Manchester City
95,Federico,Valverde,12395,LM,Real Madrid CF,62092,-7.74,-12.61,,Manchester City
96,Federico,Valverde,12395,LM,Real Madrid CF,62093,-8.2,-12.75,,Manchester City
97,Federico,Valverde,12395,LM,Real Madrid CF,62094,-8.68,-12.8,,Manchester City
98,Federico,Valverde,12395,LM,Real Madrid CF,62095,-9.21,-12.77,,Manchester City
99,Federico,Valverde,12395,LM,Real Madrid CF,62096,-9.81,-12.8,,Manchester City
100,Federico,Valverde,12395,LM,Real Madrid CF,62097,-10.34,-12.85,,Manchester City
101,Federico,Valverde,12395,LM,Real Madrid CF,62098,-10.88,-12.83,,Manchester City
102,Federico,Valverde,12395,LM,Real Madrid CF,62099,-11.39,-12.9,,Manchester City
103,Federico,Valverde,12395,LM,Real Madrid CF,62100,-11.89,-12.97,,Manchester City
