,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Ferland,Mendy,11311,LWB,Real Madrid CF,1052,14.13,-18.58,,Real Madrid CF
1,Ferland,Mendy,11311,LWB,Real Madrid CF,1053,14.22,-18.56,,Real Madrid CF
2,Ferland,Mendy,11311,LWB,Real Madrid CF,1054,14.28,-18.61,,Real Madrid CF
3,Ferland,Mendy,11311,LWB,Real Madrid CF,1055,14.33,-18.7,,Real Madrid CF
4,Ferland,Mendy,11311,LWB,Real Madrid CF,1056,14.36,-18.88,,Real Madrid CF
5,Ferland,Mendy,11311,LWB,Real Madrid CF,1057,14.37,-19.12,,Real Madrid CF
6,Ferland,Mendy,11311,LWB,Real Madrid CF,1058,14.39,-19.28,,Real Madrid CF
7,Ferland,Mendy,11311,LWB,Real Madrid CF,1059,14.41,-19.35,,Real Madrid CF
8,Ferland,Mendy,11311,LWB,Real Madrid CF,1060,14.47,-19.39,,Real Madrid CF
9,Ferland,Mendy,11311,LWB,Real Madrid CF,1061,14.52,-19.42,5720.0,Real Madrid CF
10,Ferland,Mendy,11311,LWB,Real Madrid CF,1062,14.53,-19.49,5720.0,Real Madrid CF
11,Ferland,Mendy,11311,LWB,Real Madrid CF,1063,14.53,-19.61,5720.0,Real Madrid CF
12,Ferland,Mendy,11311,LWB,Real Madrid CF,1064,14.53,-19.7,5720.0,Real Madrid CF
13,Ferland,Mendy,11311,LWB,Real Madrid CF,1065,14.58,-19.71,5720.0,Real Madrid CF
14,Ferland,Mendy,11311,LWB,Real Madrid CF,1066,14.64,-19.75,5720.0,Real Madrid CF
15,Ferland,Mendy,11311,LWB,Real Madrid CF,1067,14.68,-19.86,5720.0,Real Madrid CF
16,Ferland,Mendy,11311,LWB,Real Madrid CF,1068,14.71,-20.02,5720.0,Real Madrid CF
17,Ferland,Mendy,11311,LWB,Real Madrid CF,1069,14.7,-20.21,5720.0,Real Madrid CF
18,Ferland,Mendy,11311,LWB,Real Madrid CF,1070,14.69,-20.35,5720.0,Real Madrid CF
