,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Joao,Cancelo,5066,LWB,Manchester City,1052,-13.32,13.94,,Real Madrid CF
1,Joao,Cancelo,5066,LWB,Manchester City,1053,-13.31,14.06,,Real Madrid CF
2,Joao,Cancelo,5066,LWB,Manchester City,1054,-13.3,14.12,,Real Madrid CF
3,Joao,Cancelo,5066,LWB,Manchester City,1055,-13.29,14.14,,Real Madrid CF
4,Joao,Cancelo,5066,LWB,Manchester City,1056,-13.27,14.05,,Real Madrid CF
5,Joao,Cancelo,5066,LWB,Manchester City,1057,-13.27,13.99,,Real Madrid CF
6,Joao,Cancelo,5066,LWB,Manchester City,1058,-13.28,13.93,,Real Madrid CF
7,Joao,Cancelo,5066,LWB,Manchester City,1059,-13.3,13.91,,Real Madrid CF
8,Joao,Cancelo,5066,LWB,Manchester City,1060,-13.3,13.9,,Real Madrid CF
9,Joao,Cancelo,5066,LWB,Manchester City,1061,-13.29,13.85,5720.0,Real Madrid CF
10,Joao,Cancelo,5066,LWB,Manchester City,1062,-13.27,13.82,5720.0,Real Madrid CF
11,Joao,Cancelo,5066,LWB,Manchester City,1063,-13.25,13.8,5720.0,Real Madrid CF
12,Joao,Cancelo,5066,LWB,Manchester City,1064,-13.25,13.9,5720.0,Real Madrid CF
13,Joao,Cancelo,5066,LWB,Manchester City,1065,-13.25,14.05,5720.0,Real Madrid CF
14,Joao,Cancelo,5066,LWB,Manchester City,1066,-13.25,14.24,5720.0,Real Madrid CF
15,Joao,Cancelo,5066,LWB,Manchester City,1067,-13.23,14.37,5720.0,Real Madrid CF
16,Joao,Cancelo,5066,LWB,Manchester City,1068,-13.2,14.44,5720.0,Real Madrid CF
17,Joao,Cancelo,5066,LWB,Manchester City,1069,-13.17,14.44,5720.0,Real Madrid CF
18,Joao,Cancelo,5066,LWB,Manchester City,1070,-13.16,14.58,5720.0,Real Madrid CF
19,Joao,Cancelo,5066,LWB,Manchester City,1071,-13.15,14.78,5720.0,Real Madrid CF
20,Joao,Cancelo,5066,LWB,Manchester City,1072,-13.14,14.9,5720.0,Real Madrid CF
21,Joao,Cancelo,5066,LWB,Manchester City,1073,-13.1,14.94,5720.0,Real Madrid CF
22,Joao,Cancelo,5066,LWB,Manchester City,1074,-13.05,14.93,5720.0,Real Madrid CF
23,Joao,Cancelo,5066,LWB,Manchester City,1075,-12.99,14.9,5720.0,Real Madrid CF
24,Joao,Cancelo,5066,LWB,Manchester City,1076,-12.95,14.92,5720.0,Real Madrid CF
25,Joao,Cancelo,5066,LWB,Manchester City,1077,-12.92,15.07,5720.0,Real Madrid CF
26,Joao,Cancelo,5066,LWB,Manchester City,1078,-12.91,15.28,5720.0,Real Madrid CF
27,Joao,Cancelo,5066,LWB,Manchester City,1079,-12.9,15.49,5720.0,Real Madrid CF
28,Joao,Cancelo,5066,LWB,Manchester City,1080,-12.88,15.65,5720.0,Real Madrid CF
29,Joao,Cancelo,5066,LWB,Manchester City,1081,-12.84,15.81,5720.0,Real Madrid CF
30,Joao,Cancelo,5066,LWB,Manchester City,1082,-12.77,15.86,5720.0,Real Madrid CF
31,Joao,Cancelo,5066,LWB,Manchester City,1083,-12.71,15.93,5720.0,Real Madrid CF
32,Joao,Cancelo,5066,LWB,Manchester City,1084,-12.67,16.03,5720.0,Real Madrid CF
33,Joao,Cancelo,5066,LWB,Manchester City,1085,-12.64,16.03,5720.0,Real Madrid CF
34,Joao,Cancelo,5066,LWB,Manchester City,1086,-12.63,16.04,5720.0,Real Madrid CF
35,Joao,Cancelo,5066,LWB,Manchester City,1087,-12.59,16.03,5720.0,Real Madrid CF
36,Joao,Cancelo,5066,LWB,Manchester City,1088,-12.51,16.03,5720.0,Real Madrid CF
37,Joao,Cancelo,5066,LWB,Manchester City,1089,-12.45,16.1,5720.0,Real Madrid CF
38,Joao,Cancelo,5066,LWB,Manchester City,1090,-12.38,16.19,5720.0,Real Madrid CF
39,Joao,Cancelo,5066,LWB,Manchester City,1091,-12.34,16.25,5720.0,Real Madrid CF
40,Joao,Cancelo,5066,LWB,Manchester City,1092,-12.35,16.37,5720.0,Real Madrid CF
41,Joao,Cancelo,5066,LWB,Manchester City,1093,-12.35,16.4,5720.0,Real Madrid CF
42,Joao,Cancelo,5066,LWB,Manchester City,1094,-12.36,16.41,5720.0,Real Madrid CF
43,Joao,Cancelo,5066,LWB,Manchester City,1095,-12.36,16.43,5720.0,Real Madrid CF
44,Joao,Cancelo,5066,LWB,Manchester City,1096,-12.36,16.45,5720.0,Real Madrid CF
45,Joao,Cancelo,5066,LWB,Manchester City,1097,-12.34,16.39,5720.0,Real Madrid CF
46,Joao,Cancelo,5066,LWB,Manchester City,1098,-12.33,16.32,5720.0,Real Madrid CF
47,Joao,Cancelo,5066,LWB,Manchester City,1099,-12.32,16.23,5720.0,Real Madrid CF
48,Joao,Cancelo,5066,LWB,Manchester City,1100,-12.33,16.16,5720.0,Real Madrid CF
49,Joao,Cancelo,5066,LWB,Manchester City,1101,-12.33,16.08,5720.0,Real Madrid CF
50,Joao,Cancelo,5066,LWB,Manchester City,1102,-12.36,16.05,5720.0,Real Madrid CF
51,Joao,Cancelo,5066,LWB,Manchester City,1103,-12.37,16.04,5720.0,Real Madrid CF
52,Joao,Cancelo,5066,LWB,Manchester City,1104,-12.39,16.03,5720.0,Real Madrid CF
53,Joao,Cancelo,5066,LWB,Manchester City,1105,-12.42,16.04,5720.0,Real Madrid CF
54,Joao,Cancelo,5066,LWB,Manchester City,1106,-12.44,16.04,5720.0,Real Madrid CF
55,Joao,Cancelo,5066,LWB,Manchester City,1107,-12.45,15.92,5720.0,Real Madrid CF
56,Joao,Cancelo,5066,LWB,Manchester City,1108,-12.47,15.84,5720.0,Real Madrid CF
57,Joao,Cancelo,5066,LWB,Manchester City,1109,-12.52,15.85,5720.0,Real Madrid CF
58,Joao,Cancelo,5066,LWB,Manchester City,1110,-12.59,16.02,5720.0,Real Madrid CF
59,Joao,Cancelo,5066,LWB,Manchester City,1111,-12.66,16.2,5720.0,Real Madrid CF
60,Joao,Cancelo,5066,LWB,Manchester City,1112,-12.67,16.19,5720.0,Real Madrid CF
61,Joao,Cancelo,5066,LWB,Manchester City,1113,-12.67,16.1,5720.0,Real Madrid CF
62,Joao,Cancelo,5066,LWB,Manchester City,1114,-12.66,15.91,5720.0,Real Madrid CF
63,Joao,Cancelo,5066,LWB,Manchester City,1115,-12.68,15.73,5720.0,Real Madrid CF
64,Joao,Cancelo,5066,LWB,Manchester City,1116,-12.71,15.66,5720.0,Real Madrid CF
65,Joao,Cancelo,5066,LWB,Manchester City,1117,-12.77,15.59,5720.0,Real Madrid CF
66,Joao,Cancelo,5066,LWB,Manchester City,1118,-12.81,15.43,5720.0,Real Madrid CF
67,Joao,Cancelo,5066,LWB,Manchester City,1119,-12.83,15.32,5720.0,Real Madrid CF
68,Joao,Cancelo,5066,LWB,Manchester City,1120,-12.87,15.31,5720.0,Real Madrid CF
69,Joao,Cancelo,5066,LWB,Manchester City,1121,-12.91,15.26,5720.0,Real Madrid CF
70,Joao,Cancelo,5066,LWB,Manchester City,1122,-12.96,15.22,5720.0,Real Madrid CF
71,Joao,Cancelo,5066,LWB,Manchester City,1123,-13.03,15.16,5720.0,Real Madrid CF
72,Joao,Cancelo,5066,LWB,Manchester City,1124,-13.08,14.96,5720.0,Real Madrid CF
73,Joao,Cancelo,5066,LWB,Manchester City,1125,-13.09,14.73,5720.0,Real Madrid CF
74,Joao,Cancelo,5066,LWB,Manchester City,1126,-13.14,14.78,5720.0,Real Madrid CF
75,Joao,Cancelo,5066,LWB,Manchester City,1127,-13.17,14.75,5720.0,Real Madrid CF
76,Joao,Cancelo,5066,LWB,Manchester City,1128,-13.21,14.85,5720.0,Real Madrid CF
77,Joao,Cancelo,5066,LWB,Manchester City,1129,-13.21,14.9,5720.0,Real Madrid CF
