,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Raphael,Varane,8886,LCB,Real Madrid CF,1052,19.15,2.21,,Real Madrid CF
1,Raphael,Varane,8886,LCB,Real Madrid CF,1053,19.05,1.77,,Real Madrid CF
2,Raphael,Varane,8886,LCB,Real Madrid CF,1054,18.97,1.41,,Real Madrid CF
3,Raphael,Varane,8886,LCB,Real Madrid CF,1055,18.92,1.11,,Real Madrid CF
4,Raphael,Varane,8886,LCB,Real Madrid CF,1056,18.88,0.85,,Real Madrid CF
5,Raphael,Varane,8886,LCB,Real Madrid CF,1057,18.88,0.77,,Real Madrid CF
6,Raphael,Varane,8886,LCB,Real Madrid CF,1058,18.91,0.72,,Real Madrid CF
7,Raphael,Varane,8886,LCB,Real Madrid CF,1059,18.9,0.65,,Real Madrid CF
8,Raphael,Varane,8886,LCB,Real Madrid CF,1060,18.91,0.55,,Real Madrid CF
9,Raphael,Varane,8886,LCB,Real Madrid CF,1061,18.92,0.43,5720.0,Real Madrid CF
10,Raphael,Varane,8886,LCB,Real Madrid CF,1062,18.91,0.28,5720.0,Real Madrid CF
11,Raphael,Varane,8886,LCB,Real Madrid CF,1063,18.92,0.16,5720.0,Real Madrid CF
12,Raphael,Varane,8886,LCB,Real Madrid CF,1064,18.91,-0.03,5720.0,Real Madrid CF
13,Raphael,Varane,8886,LCB,Real Madrid CF,1065,18.88,-0.27,5720.0,Real Madrid CF
14,Raphael,Varane,8886,LCB,Real Madrid CF,1066,18.86,-0.46,5720.0,Real Madrid CF
15,Raphael,Varane,8886,LCB,Real Madrid CF,1067,18.87,-0.59,5720.0,Real Madrid CF
16,Raphael,Varane,8886,LCB,Real Madrid CF,1068,18.88,-0.65,5720.0,Real Madrid CF
17,Raphael,Varane,8886,LCB,Real Madrid CF,1069,18.88,-0.72,5720.0,Real Madrid CF
18,Raphael,Varane,8886,LCB,Real Madrid CF,1070,18.87,-0.85,5720.0,Real Madrid CF
19,Raphael,Varane,8886,LCB,Real Madrid CF,1071,18.85,-1.04,5720.0,Real Madrid CF
20,Raphael,Varane,8886,LCB,Real Madrid CF,1072,18.84,-1.2,5720.0,Real Madrid CF
21,Raphael,Varane,8886,LCB,Real Madrid CF,1073,18.84,-1.32,5720.0,Real Madrid CF
