,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Thibaut,Courtois,10271,GK,Real Madrid CF,1428,45.71,0.03,,Real Madrid CF
1,Thibaut,Courtois,10271,GK,Real Madrid CF,1429,45.58,-0.16,,Real Madrid CF
2,Thibaut,Courtois,10271,GK,Real Madrid CF,1430,45.47,-0.35,,Real Madrid CF
3,Thibaut,Courtois,10271,GK,Real Madrid CF,1431,45.38,-0.53,,Real Madrid CF
4,Thibaut,Courtois,10271,GK,Real Madrid CF,1432,45.32,-0.71,,Real Madrid CF
5,Thibaut,Courtois,10271,GK,Real Madrid CF,1433,45.22,-0.95,,Real Madrid CF
6,Thibaut,Courtois,10271,GK,Real Madrid CF,1434,45.12,-1.22,,Real Madrid CF
7,Thibaut,Courtois,10271,GK,Real Madrid CF,1435,45.07,-1.5,,Real Madrid CF
8,Thibaut,Courtois,10271,GK,Real Madrid CF,1436,44.91,-1.89,,Real Madrid CF
9,Thibaut,Courtois,10271,GK,Real Madrid CF,1437,44.82,-2.19,,Real Madrid CF
10,Thibaut,Courtois,10271,GK,Real Madrid CF,1438,44.79,-2.46,,Real Madrid CF
11,Thibaut,Courtois,10271,GK,Real Madrid CF,1439,44.79,-2.69,,Real Madrid CF
12,Thibaut,Courtois,10271,GK,Real Madrid CF,1440,44.76,-2.96,,Real Madrid CF
13,Thibaut,Courtois,10271,GK,Real Madrid CF,1441,44.67,-3.32,,Real Madrid CF
14,Thibaut,Courtois,10271,GK,Real Madrid CF,1442,44.55,-3.7,,Real Madrid CF
15,Thibaut,Courtois,10271,GK,Real Madrid CF,1443,44.47,-3.96,,Real Madrid CF
16,Thibaut,Courtois,10271,GK,Real Madrid CF,1444,44.29,-4.39,,Real Madrid CF
17,Thibaut,Courtois,10271,GK,Real Madrid CF,1445,44.23,-4.64,,Real Madrid CF
18,Thibaut,Courtois,10271,GK,Real Madrid CF,1446,44.14,-4.93,,Real Madrid CF
19,Thibaut,Courtois,10271,GK,Real Madrid CF,1447,43.91,-5.38,10271.0,Real Madrid CF
20,Thibaut,Courtois,10271,GK,Real Madrid CF,1448,43.67,-5.81,10271.0,Real Madrid CF
21,Thibaut,Courtois,10271,GK,Real Madrid CF,1449,43.52,-6.13,10271.0,Real Madrid CF
22,Thibaut,Courtois,10271,GK,Real Madrid CF,1450,43.35,-6.56,10271.0,Real Madrid CF
23,Thibaut,Courtois,10271,GK,Real Madrid CF,1451,43.34,-6.88,10271.0,Real Madrid CF
24,Thibaut,Courtois,10271,GK,Real Madrid CF,1452,43.43,-7.15,10271.0,Real Madrid CF
25,Thibaut,Courtois,10271,GK,Real Madrid CF,1453,43.51,-7.42,,Real Madrid CF
26,Thibaut,Courtois,10271,GK,Real Madrid CF,1454,43.64,-7.66,,Real Madrid CF
27,Thibaut,Courtois,10271,GK,Real Madrid CF,1455,43.86,-7.8,,Real Madrid CF
28,Thibaut,Courtois,10271,GK,Real Madrid CF,1456,44.13,-7.9,,Real Madrid CF
29,Thibaut,Courtois,10271,GK,Real Madrid CF,1457,44.43,-7.95,,Real Madrid CF
30,Thibaut,Courtois,10271,GK,Real Madrid CF,1458,44.71,-7.99,,Real Madrid CF
31,Thibaut,Courtois,10271,GK,Real Madrid CF,1459,44.94,-8.07,,Real Madrid CF
32,Thibaut,Courtois,10271,GK,Real Madrid CF,1460,45.16,-8.19,,Real Madrid CF
33,Thibaut,Courtois,10271,GK,Real Madrid CF,1461,45.42,-8.26,,Real Madrid CF
34,Thibaut,Courtois,10271,GK,Real Madrid CF,1462,45.77,-8.19,,Real Madrid CF
35,Thibaut,Courtois,10271,GK,Real Madrid CF,1463,46.14,-8.12,,Real Madrid CF
36,Thibaut,Courtois,10271,GK,Real Madrid CF,1464,46.52,-8.02,,Real Madrid CF
37,Thibaut,Courtois,10271,GK,Real Madrid CF,1465,46.86,-7.96,,Real Madrid CF
38,Thibaut,Courtois,10271,GK,Real Madrid CF,1466,47.15,-7.95,,Real Madrid CF
39,Thibaut,Courtois,10271,GK,Real Madrid CF,1467,47.45,-7.88,,Real Madrid CF
40,Thibaut,Courtois,10271,GK,Real Madrid CF,1468,47.76,-7.73,,Real Madrid CF
41,Thibaut,Courtois,10271,GK,Real Madrid CF,1469,48.02,-7.65,,Real Madrid CF
42,Thibaut,Courtois,10271,GK,Real Madrid CF,1470,48.24,-7.61,,Real Madrid CF
43,Thibaut,Courtois,10271,GK,Real Madrid CF,1471,48.36,-7.64,,Real Madrid CF
44,Thibaut,Courtois,10271,GK,Real Madrid CF,1472,48.4,-7.73,,Real Madrid CF
45,Thibaut,Courtois,10271,GK,Real Madrid CF,1473,48.4,-7.85,,Real Madrid CF
46,Thibaut,Courtois,10271,GK,Real Madrid CF,1474,48.42,-7.91,,Real Madrid CF
47,Thibaut,Courtois,10271,GK,Real Madrid CF,1475,48.4,-8.02,,Real Madrid CF
48,Thibaut,Courtois,10271,GK,Real Madrid CF,1476,48.39,-7.99,,Real Madrid CF
49,Thibaut,Courtois,10271,GK,Real Madrid CF,1477,48.39,-7.87,10271.0,Real Madrid CF
50,Thibaut,Courtois,10271,GK,Real Madrid CF,1478,48.46,-7.62,10271.0,Real Madrid CF
51,Thibaut,Courtois,10271,GK,Real Madrid CF,1479,48.55,-7.27,10271.0,Real Madrid CF
52,Thibaut,Courtois,10271,GK,Real Madrid CF,1480,48.59,-6.95,10271.0,Real Madrid CF
53,Thibaut,Courtois,10271,GK,Real Madrid CF,1481,48.58,-6.67,10271.0,Real Madrid CF
54,Thibaut,Courtois,10271,GK,Real Madrid CF,1482,48.54,-6.3,10271.0,Real Madrid CF
55,Thibaut,Courtois,10271,GK,Real Madrid CF,1483,48.43,-5.98,10271.0,Real Madrid CF
56,Thibaut,Courtois,10271,GK,Real Madrid CF,1484,48.34,-5.66,10271.0,Real Madrid CF
57,Thibaut,Courtois,10271,GK,Real Madrid CF,1485,48.3,-5.27,10271.0,Real Madrid CF
