,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Toni,Kroos,10530,RM,Real Madrid CF,1052,12.43,-1.26,,Real Madrid CF
1,Toni,Kroos,10530,RM,Real Madrid CF,1053,12.48,-1.16,,Real Madrid CF
2,Toni,Kroos,10530,RM,Real Madrid CF,1054,12.51,-1.12,,Real Madrid CF
3,Toni,Kroos,10530,RM,Real Madrid CF,1055,12.52,-1.11,,Real Madrid CF
4,Toni,Kroos,10530,RM,Real Madrid CF,1056,12.48,-1.22,,Real Madrid CF
5,Toni,Kroos,10530,RM,Real Madrid CF,1057,12.44,-1.26,,Real Madrid CF
6,Toni,Kroos,10530,RM,Real Madrid CF,1058,12.4,-1.22,,Real Madrid CF
7,Toni,Kroos,10530,RM,Real Madrid CF,1059,12.37,-1.17,,Real Madrid CF
8,Toni,Kroos,10530,RM,Real Madrid CF,1060,12.36,-1.16,,Real Madrid CF
9,Toni,Kroos,10530,RM,Real Madrid CF,1061,12.39,-1.17,5720.0,Real Madrid CF
10,Toni,Kroos,10530,RM,Real Madrid CF,1062,12.42,-1.19,5720.0,Real Madrid CF
11,Toni,Kroos,10530,RM,Real Madrid CF,1063,12.45,-1.25,5720.0,Real Madrid CF
12,Toni,Kroos,10530,RM,Real Madrid CF,1064,12.46,-1.34,5720.0,Real Madrid CF
13,Toni,Kroos,10530,RM,Real Madrid CF,1065,12.47,-1.48,5720.0,Real Madrid CF
14,Toni,Kroos,10530,RM,Real Madrid CF,1066,12.46,-1.58,5720.0,Real Madrid CF
15,Toni,Kroos,10530,RM,Real Madrid CF,1067,12.45,-1.62,5720.0,Real Madrid CF
16,Toni,Kroos,10530,RM,Real Madrid CF,1068,12.45,-1.53,5720.0,Real Madrid CF
17,Toni,Kroos,10530,RM,Real Madrid CF,1069,12.43,-1.53,5720.0,Real Madrid CF
18,Toni,Kroos,10530,RM,Real Madrid CF,1070,12.4,-1.65,5720.0,Real Madrid CF
19,Toni,Kroos,10530,RM,Real Madrid CF,1071,12.37,-1.82,5720.0,Real Madrid CF
20,Toni,Kroos,10530,RM,Real Madrid CF,1072,12.32,-1.96,5720.0,Real Madrid CF
21,Toni,Kroos,10530,RM,Real Madrid CF,1073,12.26,-2.11,5720.0,Real Madrid CF
22,Toni,Kroos,10530,RM,Real Madrid CF,1074,12.21,-2.23,5720.0,Real Madrid CF
23,Toni,Kroos,10530,RM,Real Madrid CF,1075,12.15,-2.35,5720.0,Real Madrid CF
24,Toni,Kroos,10530,RM,Real Madrid CF,1076,12.09,-2.49,5720.0,Real Madrid CF
25,Toni,Kroos,10530,RM,Real Madrid CF,1077,12.02,-2.63,5720.0,Real Madrid CF
26,Toni,Kroos,10530,RM,Real Madrid CF,1078,11.97,-2.68,5720.0,Real Madrid CF
27,Toni,Kroos,10530,RM,Real Madrid CF,1079,11.9,-2.74,5720.0,Real Madrid CF
28,Toni,Kroos,10530,RM,Real Madrid CF,1080,11.83,-2.77,5720.0,Real Madrid CF
29,Toni,Kroos,10530,RM,Real Madrid CF,1081,11.76,-2.83,5720.0,Real Madrid CF
30,Toni,Kroos,10530,RM,Real Madrid CF,1082,11.68,-2.93,5720.0,Real Madrid CF
31,Toni,Kroos,10530,RM,Real Madrid CF,1083,11.61,-3.02,5720.0,Real Madrid CF
32,Toni,Kroos,10530,RM,Real Madrid CF,1084,11.54,-3.07,5720.0,Real Madrid CF
33,Toni,Kroos,10530,RM,Real Madrid CF,1085,11.46,-3.15,5720.0,Real Madrid CF
34,Toni,Kroos,10530,RM,Real Madrid CF,1086,11.39,-3.23,5720.0,Real Madrid CF
35,Toni,Kroos,10530,RM,Real Madrid CF,1087,11.26,-3.41,5720.0,Real Madrid CF
36,Toni,Kroos,10530,RM,Real Madrid CF,1088,11.16,-3.58,5720.0,Real Madrid CF
37,Toni,Kroos,10530,RM,Real Madrid CF,1089,11.08,-3.63,5720.0,Real Madrid CF
38,Toni,Kroos,10530,RM,Real Madrid CF,1090,11.01,-3.65,5720.0,Real Madrid CF
39,Toni,Kroos,10530,RM,Real Madrid CF,1091,10.94,-3.66,5720.0,Real Madrid CF
40,Toni,Kroos,10530,RM,Real Madrid CF,1092,10.88,-3.76,5720.0,Real Madrid CF
41,Toni,Kroos,10530,RM,Real Madrid CF,1093,10.77,-3.92,5720.0,Real Madrid CF
42,Toni,Kroos,10530,RM,Real Madrid CF,1094,10.68,-4.05,5720.0,Real Madrid CF
43,Toni,Kroos,10530,RM,Real Madrid CF,1095,10.62,-4.05,5720.0,Real Madrid CF
44,Toni,Kroos,10530,RM,Real Madrid CF,1096,10.57,-4.06,5720.0,Real Madrid CF
45,Toni,Kroos,10530,RM,Real Madrid CF,1097,10.48,-4.08,5720.0,Real Madrid CF
46,Toni,Kroos,10530,RM,Real Madrid CF,1098,10.4,-4.15,5720.0,Real Madrid CF
47,Toni,Kroos,10530,RM,Real Madrid CF,1099,10.31,-4.26,5720.0,Real Madrid CF
48,Toni,Kroos,10530,RM,Real Madrid CF,1100,10.19,-4.36,5720.0,Real Madrid CF
49,Toni,Kroos,10530,RM,Real Madrid CF,1101,10.11,-4.32,5720.0,Real Madrid CF
50,Toni,Kroos,10530,RM,Real Madrid CF,1102,10.02,-4.31,5720.0,Real Madrid CF
51,Toni,Kroos,10530,RM,Real Madrid CF,1103,9.93,-4.32,5720.0,Real Madrid CF
52,Toni,Kroos,10530,RM,Real Madrid CF,1104,9.84,-4.37,5720.0,Real Madrid CF
53,Toni,Kroos,10530,RM,Real Madrid CF,1105,9.77,-4.45,5720.0,Real Madrid CF
54,Toni,Kroos,10530,RM,Real Madrid CF,1106,9.71,-4.51,5720.0,Real Madrid CF
55,Toni,Kroos,10530,RM,Real Madrid CF,1107,9.68,-4.52,5720.0,Real Madrid CF
56,Toni,Kroos,10530,RM,Real Madrid CF,1108,9.62,-4.53,5720.0,Real Madrid CF
57,Toni,Kroos,10530,RM,Real Madrid CF,1109,9.55,-4.55,5720.0,Real Madrid CF
58,Toni,Kroos,10530,RM,Real Madrid CF,1110,9.47,-4.59,5720.0,Real Madrid CF
59,Toni,Kroos,10530,RM,Real Madrid CF,1111,9.42,-4.57,5720.0,Real Madrid CF
60,Toni,Kroos,10530,RM,Real Madrid CF,1112,9.4,-4.52,5720.0,Real Madrid CF
61,Toni,Kroos,10530,RM,Real Madrid CF,1113,9.39,-4.53,5720.0,Real Madrid CF
62,Toni,Kroos,10530,RM,Real Madrid CF,1114,9.38,-4.53,5720.0,Real Madrid CF
63,Toni,Kroos,10530,RM,Real Madrid CF,1115,9.39,-4.51,5720.0,Real Madrid CF
64,Toni,Kroos,10530,RM,Real Madrid CF,1116,9.41,-4.5,5720.0,Real Madrid CF
65,Toni,Kroos,10530,RM,Real Madrid CF,1117,9.43,-4.48,5720.0,Real Madrid CF
66,Toni,Kroos,10530,RM,Real Madrid CF,1118,9.45,-4.49,5720.0,Real Madrid CF
67,Toni,Kroos,10530,RM,Real Madrid CF,1119,9.47,-4.51,5720.0,Real Madrid CF
68,Toni,Kroos,10530,RM,Real Madrid CF,1120,9.48,-4.53,5720.0,Real Madrid CF
69,Toni,Kroos,10530,RM,Real Madrid CF,1121,9.51,-4.52,5720.0,Real Madrid CF
70,Toni,Kroos,10530,RM,Real Madrid CF,1122,9.55,-4.52,5720.0,Real Madrid CF
71,Toni,Kroos,10530,RM,Real Madrid CF,1123,9.6,-4.52,5720.0,Real Madrid CF
