,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Aaron,Wan-Bissaka,12452,RW,Manchester United,254,-8.0,-21.64,,Manchester City
1,Aaron,Wan-Bissaka,12452,RW,Manchester United,255,-8.02,-21.66,,Manchester City
2,Aaron,Wan-Bissaka,12452,RW,Manchester United,256,-8.02,-21.66,,Manchester City
3,Aaron,Wan-Bissaka,12452,RW,Manchester United,257,-8.02,-21.65,,Manchester City
4,Aaron,Wan-Bissaka,12452,RW,Manchester United,258,-8.0,-21.63,,Manchester City
5,Aaron,Wan-Bissaka,12452,RW,Manchester United,259,-8.0,-21.61,,Manchester City
6,Aaron,Wan-Bissaka,12452,RW,Manchester United,260,-7.98,-21.58,,Manchester City
7,Aaron,Wan-Bissaka,12452,RW,Manchester United,261,-7.99,-21.64,,Manchester City
8,Aaron,Wan-Bissaka,12452,RW,Manchester United,262,-8.0,-21.69,,Manchester City
9,Aaron,Wan-Bissaka,12452,RW,Manchester United,263,-8.01,-21.73,,Manchester City
10,Aaron,Wan-Bissaka,12452,RW,Manchester United,264,-8.01,-21.75,,Manchester City
11,Aaron,Wan-Bissaka,12452,RW,Manchester United,265,-8.02,-21.74,,Manchester City
12,Aaron,Wan-Bissaka,12452,RW,Manchester United,266,-8.04,-21.76,,Manchester City
13,Aaron,Wan-Bissaka,12452,RW,Manchester United,267,-8.06,-21.77,,Manchester City
14,Aaron,Wan-Bissaka,12452,RW,Manchester United,268,-8.08,-21.77,,Manchester City
15,Aaron,Wan-Bissaka,12452,RW,Manchester United,269,-8.1,-21.76,,Manchester City
16,Aaron,Wan-Bissaka,12452,RW,Manchester United,270,-8.11,-21.76,,Manchester City
17,Aaron,Wan-Bissaka,12452,RW,Manchester United,271,-8.1,-21.74,,Manchester City
18,Aaron,Wan-Bissaka,12452,RW,Manchester United,272,-8.1,-21.77,,Manchester City
19,Aaron,Wan-Bissaka,12452,RW,Manchester United,273,-8.09,-21.77,,Manchester City
20,Aaron,Wan-Bissaka,12452,RW,Manchester United,274,-8.08,-21.77,,Manchester City
21,Aaron,Wan-Bissaka,12452,RW,Manchester United,275,-8.09,-21.77,,Manchester City
22,Aaron,Wan-Bissaka,12452,RW,Manchester United,276,-8.11,-21.81,,Manchester City
23,Aaron,Wan-Bissaka,12452,RW,Manchester United,277,-8.1,-21.8,,Manchester City
24,Aaron,Wan-Bissaka,12452,RW,Manchester United,278,-8.09,-21.8,,Manchester City
25,Aaron,Wan-Bissaka,12452,RW,Manchester United,279,-8.08,-21.8,,Manchester City
26,Aaron,Wan-Bissaka,12452,RW,Manchester United,280,-8.07,-21.8,,Manchester City
27,Aaron,Wan-Bissaka,12452,RW,Manchester United,281,-8.07,-21.79,,Manchester City
28,Aaron,Wan-Bissaka,12452,RW,Manchester United,282,-8.08,-21.82,,Manchester City
29,Aaron,Wan-Bissaka,12452,RW,Manchester United,283,-8.08,-21.81,,Manchester City
30,Aaron,Wan-Bissaka,12452,RW,Manchester United,284,-8.1,-21.81,,Manchester City
31,Aaron,Wan-Bissaka,12452,RW,Manchester United,285,-8.13,-21.83,,Manchester City
32,Aaron,Wan-Bissaka,12452,RW,Manchester United,286,-8.14,-21.8,,Manchester City
33,Aaron,Wan-Bissaka,12452,RW,Manchester United,287,-8.14,-21.77,,Manchester City
34,Aaron,Wan-Bissaka,12452,RW,Manchester United,288,-8.13,-21.74,,Manchester City
35,Aaron,Wan-Bissaka,12452,RW,Manchester United,289,-8.11,-21.67,,Manchester City
36,Aaron,Wan-Bissaka,12452,RW,Manchester United,290,-8.09,-21.64,,Manchester City
37,Aaron,Wan-Bissaka,12452,RW,Manchester United,291,-8.06,-21.59,,Manchester City
38,Aaron,Wan-Bissaka,12452,RW,Manchester United,292,-8.04,-21.55,,Manchester City
39,Aaron,Wan-Bissaka,12452,RW,Manchester United,293,-8.03,-21.56,,Manchester City
40,Aaron,Wan-Bissaka,12452,RW,Manchester United,294,-8.03,-21.57,,Manchester City
41,Aaron,Wan-Bissaka,12452,RW,Manchester United,295,-8.03,-21.57,,Manchester City
42,Aaron,Wan-Bissaka,12452,RW,Manchester United,296,-8.02,-21.56,,Manchester City
43,Aaron,Wan-Bissaka,12452,RW,Manchester United,297,-8.02,-21.54,,Manchester City
44,Aaron,Wan-Bissaka,12452,RW,Manchester United,298,-8.02,-21.52,,Manchester City
45,Aaron,Wan-Bissaka,12452,RW,Manchester United,299,-8.02,-21.52,,Manchester City
46,Aaron,Wan-Bissaka,12452,RW,Manchester United,300,-8.02,-21.52,,Manchester City
47,Aaron,Wan-Bissaka,12452,RW,Manchester United,301,-8.01,-21.56,11900.0,Manchester City
48,Aaron,Wan-Bissaka,12452,RW,Manchester United,302,-8.0,-21.57,11900.0,Manchester City
49,Aaron,Wan-Bissaka,12452,RW,Manchester United,303,-7.98,-21.57,11900.0,Manchester City
50,Aaron,Wan-Bissaka,12452,RW,Manchester United,304,-7.97,-21.56,11900.0,Manchester City
51,Aaron,Wan-Bissaka,12452,RW,Manchester United,305,-7.98,-21.55,11900.0,Manchester City
52,Aaron,Wan-Bissaka,12452,RW,Manchester United,306,-7.99,-21.55,11900.0,Manchester City
53,Aaron,Wan-Bissaka,12452,RW,Manchester United,307,-8.01,-21.58,11900.0,Manchester City
54,Aaron,Wan-Bissaka,12452,RW,Manchester United,308,-8.02,-21.59,11900.0,Manchester City
55,Aaron,Wan-Bissaka,12452,RW,Manchester United,309,-8.02,-21.58,11900.0,Manchester City
56,Aaron,Wan-Bissaka,12452,RW,Manchester United,310,-8.01,-21.57,11900.0,Manchester City
57,Aaron,Wan-Bissaka,12452,RW,Manchester United,311,-8.01,-21.57,11900.0,Manchester City
58,Aaron,Wan-Bissaka,12452,RW,Manchester United,312,-8.01,-21.59,11900.0,Manchester City
59,Aaron,Wan-Bissaka,12452,RW,Manchester United,313,-8.03,-21.63,11900.0,Manchester City
60,Aaron,Wan-Bissaka,12452,RW,Manchester United,314,-8.04,-21.67,11900.0,Manchester City
61,Aaron,Wan-Bissaka,12452,RW,Manchester United,315,-8.05,-21.71,11900.0,Manchester City
62,Aaron,Wan-Bissaka,12452,RW,Manchester United,316,-8.04,-21.7,11900.0,Manchester City
63,Aaron,Wan-Bissaka,12452,RW,Manchester United,317,-8.04,-21.67,11900.0,Manchester City
64,Aaron,Wan-Bissaka,12452,RW,Manchester United,318,-8.05,-21.67,11900.0,Manchester City
65,Aaron,Wan-Bissaka,12452,RW,Manchester United,319,-8.04,-21.64,11900.0,Manchester City
66,Aaron,Wan-Bissaka,12452,RW,Manchester United,320,-8.02,-21.61,11900.0,Manchester City
67,Aaron,Wan-Bissaka,12452,RW,Manchester United,321,-8.0,-21.61,11900.0,Manchester City
68,Aaron,Wan-Bissaka,12452,RW,Manchester United,322,-7.97,-21.58,11900.0,Manchester City
69,Aaron,Wan-Bissaka,12452,RW,Manchester United,323,-7.95,-21.55,11900.0,Manchester City
70,Aaron,Wan-Bissaka,12452,RW,Manchester United,324,-7.92,-21.55,11900.0,Manchester City
71,Aaron,Wan-Bissaka,12452,RW,Manchester United,325,-7.87,-21.51,11900.0,Manchester City
72,Aaron,Wan-Bissaka,12452,RW,Manchester United,326,-7.81,-21.48,11900.0,Manchester City
73,Aaron,Wan-Bissaka,12452,RW,Manchester United,327,-7.77,-21.48,11900.0,Manchester City
74,Aaron,Wan-Bissaka,12452,RW,Manchester United,328,-7.73,-21.46,11900.0,Manchester City
75,Aaron,Wan-Bissaka,12452,RW,Manchester United,329,-7.7,-21.44,11900.0,Manchester City
76,Aaron,Wan-Bissaka,12452,RW,Manchester United,330,-7.67,-21.45,11900.0,Manchester City
77,Aaron,Wan-Bissaka,12452,RW,Manchester United,331,-7.63,-21.41,11900.0,Manchester City
78,Aaron,Wan-Bissaka,12452,RW,Manchester United,332,-7.61,-21.33,11900.0,Manchester City
79,Aaron,Wan-Bissaka,12452,RW,Manchester United,333,-7.61,-21.27,11900.0,Manchester City
80,Aaron,Wan-Bissaka,12452,RW,Manchester United,334,-7.59,-21.17,11900.0,Manchester City
81,Aaron,Wan-Bissaka,12452,RW,Manchester United,335,-7.57,-21.09,11900.0,Manchester City
82,Aaron,Wan-Bissaka,12452,RW,Manchester United,336,-7.54,-21.07,11900.0,Manchester City
83,Aaron,Wan-Bissaka,12452,RW,Manchester United,337,-7.53,-21.08,11900.0,Manchester City
84,Aaron,Wan-Bissaka,12452,RW,Manchester United,338,-7.52,-21.08,11900.0,Manchester City
85,Aaron,Wan-Bissaka,12452,RW,Manchester United,339,-7.52,-21.04,11900.0,Manchester City
86,Aaron,Wan-Bissaka,12452,RW,Manchester United,340,-7.5,-21.0,11900.0,Manchester City
87,Aaron,Wan-Bissaka,12452,RW,Manchester United,341,-7.47,-20.98,11900.0,Manchester City
88,Aaron,Wan-Bissaka,12452,RW,Manchester United,342,-7.45,-20.98,11900.0,Manchester City
89,Aaron,Wan-Bissaka,12452,RW,Manchester United,343,-7.44,-20.95,11900.0,Manchester City
90,Aaron,Wan-Bissaka,12452,RW,Manchester United,344,-7.43,-20.93,11900.0,Manchester City
91,Aaron,Wan-Bissaka,12452,RW,Manchester United,345,-7.43,-20.89,11900.0,Manchester City
92,Aaron,Wan-Bissaka,12452,RW,Manchester United,346,-7.42,-20.92,11900.0,Manchester City
93,Aaron,Wan-Bissaka,12452,RW,Manchester United,347,-7.4,-20.98,11900.0,Manchester City
94,Aaron,Wan-Bissaka,12452,RW,Manchester United,348,-7.39,-21.04,11900.0,Manchester City
95,Aaron,Wan-Bissaka,12452,RW,Manchester United,349,-7.4,-21.04,11900.0,Manchester City
96,Aaron,Wan-Bissaka,12452,RW,Manchester United,350,-7.39,-21.06,11900.0,Manchester City
97,Aaron,Wan-Bissaka,12452,RW,Manchester United,351,-7.39,-21.07,11900.0,Manchester City
98,Aaron,Wan-Bissaka,12452,RW,Manchester United,352,-7.39,-21.08,11900.0,Manchester City
99,Aaron,Wan-Bissaka,12452,RW,Manchester United,353,-7.39,-21.16,11900.0,Manchester City
100,Aaron,Wan-Bissaka,12452,RW,Manchester United,354,-7.4,-21.18,11900.0,Manchester City
101,Aaron,Wan-Bissaka,12452,RW,Manchester United,355,-7.41,-21.18,11900.0,Manchester City
102,Aaron,Wan-Bissaka,12452,RW,Manchester United,356,-7.42,-21.18,11900.0,Manchester City
103,Aaron,Wan-Bissaka,12452,RW,Manchester United,357,-7.42,-21.16,11900.0,Manchester City
104,Aaron,Wan-Bissaka,12452,RW,Manchester United,358,-7.41,-21.12,11900.0,Manchester City
105,Aaron,Wan-Bissaka,12452,RW,Manchester United,359,-7.43,-21.12,11900.0,Manchester City
106,Aaron,Wan-Bissaka,12452,RW,Manchester United,360,-7.44,-21.11,11900.0,Manchester City
107,Aaron,Wan-Bissaka,12452,RW,Manchester United,361,-7.44,-21.08,11900.0,Manchester City
108,Aaron,Wan-Bissaka,12452,RW,Manchester United,362,-7.45,-21.1,11900.0,Manchester City
109,Aaron,Wan-Bissaka,12452,RW,Manchester United,363,-7.45,-21.11,11900.0,Manchester City
110,Aaron,Wan-Bissaka,12452,RW,Manchester United,364,-7.44,-21.1,11900.0,Manchester City
111,Aaron,Wan-Bissaka,12452,RW,Manchester United,365,-7.42,-21.07,11900.0,Manchester City
112,Aaron,Wan-Bissaka,12452,RW,Manchester United,366,-7.4,-21.05,11900.0,Manchester City
113,Aaron,Wan-Bissaka,12452,RW,Manchester United,367,-7.38,-21.03,11900.0,Manchester City
114,Aaron,Wan-Bissaka,12452,RW,Manchester United,368,-7.36,-21.05,11900.0,Manchester City
115,Aaron,Wan-Bissaka,12452,RW,Manchester United,369,-7.34,-21.07,11900.0,Manchester City
116,Aaron,Wan-Bissaka,12452,RW,Manchester United,370,-7.33,-21.1,11900.0,Manchester City
117,Aaron,Wan-Bissaka,12452,RW,Manchester United,371,-7.32,-21.1,11900.0,Manchester City
118,Aaron,Wan-Bissaka,12452,RW,Manchester United,372,-7.31,-21.13,11900.0,Manchester City
119,Aaron,Wan-Bissaka,12452,RW,Manchester United,373,-7.32,-21.19,11900.0,Manchester City
120,Aaron,Wan-Bissaka,12452,RW,Manchester United,374,-7.31,-21.26,11900.0,Manchester City
121,Aaron,Wan-Bissaka,12452,RW,Manchester United,375,-7.32,-21.35,11900.0,Manchester City
122,Aaron,Wan-Bissaka,12452,RW,Manchester United,376,-7.34,-21.45,11900.0,Manchester City
123,Aaron,Wan-Bissaka,12452,RW,Manchester United,377,-7.34,-21.51,11900.0,Manchester City
124,Aaron,Wan-Bissaka,12452,RW,Manchester United,378,-7.34,-21.53,11900.0,Manchester City
125,Aaron,Wan-Bissaka,12452,RW,Manchester United,379,-7.35,-21.52,11900.0,Manchester City
126,Aaron,Wan-Bissaka,12452,RW,Manchester United,380,-7.35,-21.5,11900.0,Manchester City
127,Aaron,Wan-Bissaka,12452,RW,Manchester United,381,-7.34,-21.49,11900.0,Manchester City
128,Aaron,Wan-Bissaka,12452,RW,Manchester United,382,-7.33,-21.49,11900.0,Manchester City
129,Aaron,Wan-Bissaka,12452,RW,Manchester United,383,-7.31,-21.5,11900.0,Manchester City
130,Aaron,Wan-Bissaka,12452,RW,Manchester United,384,-7.31,-21.51,11900.0,Manchester City
131,Aaron,Wan-Bissaka,12452,RW,Manchester United,385,-7.31,-21.5,11900.0,Manchester City
132,Aaron,Wan-Bissaka,12452,RW,Manchester United,386,-7.31,-21.5,11900.0,Manchester City
133,Aaron,Wan-Bissaka,12452,RW,Manchester United,387,-7.3,-21.47,11900.0,Manchester City
134,Aaron,Wan-Bissaka,12452,RW,Manchester United,388,-7.29,-21.46,11900.0,Manchester City
135,Aaron,Wan-Bissaka,12452,RW,Manchester United,389,-7.3,-21.47,11900.0,Manchester City
136,Aaron,Wan-Bissaka,12452,RW,Manchester United,390,-7.31,-21.51,11900.0,Manchester City
137,Aaron,Wan-Bissaka,12452,RW,Manchester United,391,-7.31,-21.52,11900.0,Manchester City
138,Aaron,Wan-Bissaka,12452,RW,Manchester United,392,-7.31,-21.51,11900.0,Manchester City
139,Aaron,Wan-Bissaka,12452,RW,Manchester United,393,-7.29,-21.47,11900.0,Manchester City
140,Aaron,Wan-Bissaka,12452,RW,Manchester United,394,-7.28,-21.45,11900.0,Manchester City
141,Aaron,Wan-Bissaka,12452,RW,Manchester United,395,-7.28,-21.45,11900.0,Manchester City
142,Aaron,Wan-Bissaka,12452,RW,Manchester United,396,-7.29,-21.48,11900.0,Manchester City
143,Aaron,Wan-Bissaka,12452,RW,Manchester United,397,-7.3,-21.52,11900.0,Manchester City
144,Aaron,Wan-Bissaka,12452,RW,Manchester United,398,-7.3,-21.52,11900.0,Manchester City
145,Aaron,Wan-Bissaka,12452,RW,Manchester United,399,-7.3,-21.51,11900.0,Manchester City
146,Aaron,Wan-Bissaka,12452,RW,Manchester United,400,-7.28,-21.48,11900.0,Manchester City
147,Aaron,Wan-Bissaka,12452,RW,Manchester United,401,-7.27,-21.47,11900.0,Manchester City
148,Aaron,Wan-Bissaka,12452,RW,Manchester United,402,-7.27,-21.47,11900.0,Manchester City
