,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Anthony,Martial,931,LF,Manchester United,1081,34.32,5.43,,Manchester City
1,Anthony,Martial,931,LF,Manchester United,1082,34.11,5.3,,Manchester City
2,Anthony,Martial,931,LF,Manchester United,1083,33.9,5.2,,Manchester City
3,Anthony,Martial,931,LF,Manchester United,1084,33.71,5.13,,Manchester City
4,Anthony,Martial,931,LF,Manchester United,1085,33.54,5.07,,Manchester City
5,Anthony,Martial,931,LF,Manchester United,1086,33.32,5.0,,Manchester City
6,Anthony,Martial,931,LF,Manchester United,1087,33.15,4.99,,Manchester City
7,Anthony,Martial,931,LF,Manchester United,1088,32.94,4.96,,Manchester City
8,Anthony,Martial,931,LF,Manchester United,1089,32.72,4.96,,Manchester City
9,Anthony,Martial,931,LF,Manchester United,1090,32.56,5.0,,Manchester City
10,Anthony,Martial,931,LF,Manchester United,1091,32.42,5.02,,Manchester City
11,Anthony,Martial,931,LF,Manchester United,1092,32.27,5.02,,Manchester City
12,Anthony,Martial,931,LF,Manchester United,1093,32.09,4.98,,Manchester City
13,Anthony,Martial,931,LF,Manchester United,1094,31.84,4.89,,Manchester City
14,Anthony,Martial,931,LF,Manchester United,1095,31.53,4.74,,Manchester City
15,Anthony,Martial,931,LF,Manchester United,1096,31.27,4.72,,Manchester City
16,Anthony,Martial,931,LF,Manchester United,1097,31.01,4.82,,Manchester City
17,Anthony,Martial,931,LF,Manchester United,1098,30.76,4.83,,Manchester City
18,Anthony,Martial,931,LF,Manchester United,1099,30.48,4.72,,Manchester City
19,Anthony,Martial,931,LF,Manchester United,1100,30.33,4.37,,Manchester City
20,Anthony,Martial,931,LF,Manchester United,1101,30.21,4.13,,Manchester City
21,Anthony,Martial,931,LF,Manchester United,1102,30.14,3.87,11671.0,Manchester City
22,Anthony,Martial,931,LF,Manchester United,1103,30.12,3.57,11671.0,Manchester City
23,Anthony,Martial,931,LF,Manchester United,1303,6.52,1.98,11430.0,Manchester United
24,Anthony,Martial,931,LF,Manchester United,1304,6.56,2.33,11430.0,Manchester United
25,Anthony,Martial,931,LF,Manchester United,1305,6.6,2.66,11430.0,Manchester United
26,Anthony,Martial,931,LF,Manchester United,1306,6.64,2.98,11430.0,Manchester United
27,Anthony,Martial,931,LF,Manchester United,1307,6.66,3.33,11430.0,Manchester United
28,Anthony,Martial,931,LF,Manchester United,1308,6.7,3.62,11430.0,Manchester United
29,Anthony,Martial,931,LF,Manchester United,1309,6.72,3.79,11430.0,Manchester United
30,Anthony,Martial,931,LF,Manchester United,1310,6.75,4.13,11430.0,Manchester United
31,Anthony,Martial,931,LF,Manchester United,1311,6.77,4.47,11430.0,Manchester United
32,Anthony,Martial,931,LF,Manchester United,1312,6.78,4.82,11430.0,Manchester United
33,Anthony,Martial,931,LF,Manchester United,1313,6.79,5.14,11430.0,Manchester United
34,Anthony,Martial,931,LF,Manchester United,1314,6.79,5.49,11430.0,Manchester United
35,Anthony,Martial,931,LF,Manchester United,1315,6.74,5.69,11430.0,Manchester United
36,Anthony,Martial,931,LF,Manchester United,1316,6.66,5.99,11430.0,Manchester United
37,Anthony,Martial,931,LF,Manchester United,1317,6.57,6.44,11430.0,Manchester United
38,Anthony,Martial,931,LF,Manchester United,1318,6.44,6.8,11430.0,Manchester United
