,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Bernardo,Silva,1336,RM,Manchester City,1341,-3.09,10.3,,Manchester United
1,Bernardo,Silva,1336,RM,Manchester City,1342,-2.92,10.62,,Manchester United
2,Bernardo,Silva,1336,RM,Manchester City,1343,-2.78,11.07,,Manchester United
3,Bernardo,Silva,1336,RM,Manchester City,1344,-2.61,11.54,,Manchester United
4,Bernardo,Silva,1336,RM,Manchester City,1345,-2.44,11.77,,Manchester United
5,Bernardo,Silva,1336,RM,Manchester City,1346,-2.29,12.17,,Manchester United
6,Bernardo,Silva,1336,RM,Manchester City,1347,-2.15,12.51,,Manchester United
7,Bernardo,Silva,1336,RM,Manchester City,1348,-1.99,12.8,,Manchester United
8,Bernardo,Silva,1336,RM,Manchester City,1349,-1.87,13.0,,Manchester United
9,Bernardo,Silva,1336,RM,Manchester City,1350,-1.75,13.29,,Manchester United
10,Bernardo,Silva,1336,RM,Manchester City,1351,-1.65,13.54,,Manchester United
11,Bernardo,Silva,1336,RM,Manchester City,1352,-1.57,13.72,,Manchester United
12,Bernardo,Silva,1336,RM,Manchester City,1353,-1.52,13.9,,Manchester United
13,Bernardo,Silva,1336,RM,Manchester City,1354,-1.52,14.2,,Manchester United
14,Bernardo,Silva,1336,RM,Manchester City,1355,-1.54,14.33,,Manchester United
15,Bernardo,Silva,1336,RM,Manchester City,1356,-1.57,14.37,,Manchester United
16,Bernardo,Silva,1336,RM,Manchester City,1357,-1.62,14.46,,Manchester United
17,Bernardo,Silva,1336,RM,Manchester City,1358,-1.67,14.52,,Manchester United
18,Bernardo,Silva,1336,RM,Manchester City,1359,-1.73,14.73,,Manchester United
19,Bernardo,Silva,1336,RM,Manchester City,1360,-1.79,14.96,,Manchester United
20,Bernardo,Silva,1336,RM,Manchester City,1361,-1.86,14.97,,Manchester United
21,Bernardo,Silva,1336,RM,Manchester City,1362,-1.94,14.84,,Manchester United
22,Bernardo,Silva,1336,RM,Manchester City,1363,-2.02,14.59,,Manchester United
