,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Brandon,Williams,25073,LW,Manchester United,5271,-38.98,13.65,,Manchester City
1,Brandon,Williams,25073,LW,Manchester United,5272,-38.89,14.08,,Manchester City
2,Brandon,Williams,25073,LW,Manchester United,5273,-38.82,14.57,,Manchester City
3,Brandon,Williams,25073,LW,Manchester United,5274,-38.7,14.95,,Manchester City
4,Brandon,Williams,25073,LW,Manchester United,5275,-38.52,15.08,,Manchester City
5,Brandon,Williams,25073,LW,Manchester United,5276,-38.27,15.14,,Manchester City
6,Brandon,Williams,25073,LW,Manchester United,5277,-38.06,15.21,,Manchester City
7,Brandon,Williams,25073,LW,Manchester United,5278,-37.88,15.34,,Manchester City
8,Brandon,Williams,25073,LW,Manchester United,5279,-37.78,15.6,,Manchester City
9,Brandon,Williams,25073,LW,Manchester United,5280,-37.62,15.75,,Manchester City
10,Brandon,Williams,25073,LW,Manchester United,5281,-37.48,15.8,,Manchester City
11,Brandon,Williams,25073,LW,Manchester United,5282,-37.33,15.92,,Manchester City
12,Brandon,Williams,25073,LW,Manchester United,5283,-37.2,16.02,,Manchester City
13,Brandon,Williams,25073,LW,Manchester United,5284,-37.07,16.21,,Manchester City
14,Brandon,Williams,25073,LW,Manchester United,5285,-36.95,16.41,,Manchester City
15,Brandon,Williams,25073,LW,Manchester United,5286,-36.81,16.58,,Manchester City
16,Brandon,Williams,25073,LW,Manchester United,5287,-36.69,16.7,4460.0,Manchester City
17,Brandon,Williams,25073,LW,Manchester United,5288,-36.55,16.77,4460.0,Manchester City
18,Brandon,Williams,25073,LW,Manchester United,5289,-36.43,16.85,4460.0,Manchester City
19,Brandon,Williams,25073,LW,Manchester United,5290,-36.27,16.93,,Manchester City
20,Brandon,Williams,25073,LW,Manchester United,5291,-36.08,16.92,,Manchester City
21,Brandon,Williams,25073,LW,Manchester United,5292,-36.15,17.43,,Manchester City
22,Brandon,Williams,25073,LW,Manchester United,5293,-36.36,18.2,,Manchester City
23,Brandon,Williams,25073,LW,Manchester United,5294,-36.7,19.25,,Manchester City
24,Brandon,Williams,25073,LW,Manchester United,5899,13.63,28.81,,Manchester United
25,Brandon,Williams,25073,LW,Manchester United,5900,13.52,28.61,,Manchester United
26,Brandon,Williams,25073,LW,Manchester United,5901,13.44,28.45,,Manchester United
27,Brandon,Williams,25073,LW,Manchester United,5902,13.4,28.32,,Manchester United
28,Brandon,Williams,25073,LW,Manchester United,5903,13.41,28.22,,Manchester United
29,Brandon,Williams,25073,LW,Manchester United,5904,13.43,28.22,,Manchester United
30,Brandon,Williams,25073,LW,Manchester United,5905,13.45,28.15,,Manchester United
31,Brandon,Williams,25073,LW,Manchester United,5906,13.49,28.07,,Manchester United
32,Brandon,Williams,25073,LW,Manchester United,5907,13.55,28.04,,Manchester United
33,Brandon,Williams,25073,LW,Manchester United,5908,13.62,27.88,,Manchester United
34,Brandon,Williams,25073,LW,Manchester United,5909,13.71,27.62,,Manchester United
35,Brandon,Williams,25073,LW,Manchester United,5910,13.77,27.38,,Manchester United
36,Brandon,Williams,25073,LW,Manchester United,5911,13.81,27.19,,Manchester United
37,Brandon,Williams,25073,LW,Manchester United,5912,13.88,27.05,,Manchester United
38,Brandon,Williams,25073,LW,Manchester United,5913,14.0,27.03,,Manchester United
39,Brandon,Williams,25073,LW,Manchester United,5914,14.16,27.06,,Manchester United
40,Brandon,Williams,25073,LW,Manchester United,5915,14.34,27.03,,Manchester United
41,Brandon,Williams,25073,LW,Manchester United,5916,14.51,26.89,,Manchester United
42,Brandon,Williams,25073,LW,Manchester United,5917,14.65,26.66,,Manchester United
43,Brandon,Williams,25073,LW,Manchester United,5918,14.8,26.49,,Manchester United
44,Brandon,Williams,25073,LW,Manchester United,5919,14.94,26.34,,Manchester United
45,Brandon,Williams,25073,LW,Manchester United,5920,15.08,26.27,,Manchester United
46,Brandon,Williams,25073,LW,Manchester United,5921,15.23,26.3,,Manchester United
47,Brandon,Williams,25073,LW,Manchester United,5922,15.38,26.28,,Manchester United
48,Brandon,Williams,25073,LW,Manchester United,5923,15.51,26.2,,Manchester United
49,Brandon,Williams,25073,LW,Manchester United,5924,15.63,26.12,,Manchester United
50,Brandon,Williams,25073,LW,Manchester United,5925,15.74,26.08,,Manchester United
51,Brandon,Williams,25073,LW,Manchester United,5926,15.85,26.05,,Manchester United
52,Brandon,Williams,25073,LW,Manchester United,5927,15.96,26.04,,Manchester United
53,Brandon,Williams,25073,LW,Manchester United,5928,16.08,26.03,,Manchester United
54,Brandon,Williams,25073,LW,Manchester United,5929,16.16,25.93,,Manchester United
55,Brandon,Williams,25073,LW,Manchester United,5930,16.22,25.87,,Manchester United
56,Brandon,Williams,25073,LW,Manchester United,5931,16.28,25.88,,Manchester United
57,Brandon,Williams,25073,LW,Manchester United,5932,16.34,25.84,1508.0,Manchester United
58,Brandon,Williams,25073,LW,Manchester United,5933,16.41,25.75,,Manchester United
59,Brandon,Williams,25073,LW,Manchester United,5934,16.48,25.67,,Manchester United
60,Brandon,Williams,25073,LW,Manchester United,5935,16.56,25.63,,Manchester United
