,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Bruno,Fernandes,1508,AM,Manchester United,591,6.51,5.99,11430.0,Manchester United
1,Bruno,Fernandes,1508,AM,Manchester United,592,6.5,5.78,11430.0,Manchester United
2,Bruno,Fernandes,1508,AM,Manchester United,593,6.45,5.61,11430.0,Manchester United
3,Bruno,Fernandes,1508,AM,Manchester United,594,6.45,5.44,11430.0,Manchester United
4,Bruno,Fernandes,1508,AM,Manchester United,595,6.43,5.21,11430.0,Manchester United
5,Bruno,Fernandes,1508,AM,Manchester United,596,6.41,4.95,11430.0,Manchester United
6,Bruno,Fernandes,1508,AM,Manchester United,597,6.38,4.76,11430.0,Manchester United
7,Bruno,Fernandes,1508,AM,Manchester United,598,6.35,4.54,11430.0,Manchester United
8,Bruno,Fernandes,1508,AM,Manchester United,599,6.3,4.35,11430.0,Manchester United
9,Bruno,Fernandes,1508,AM,Manchester United,600,6.24,4.17,11430.0,Manchester United
10,Bruno,Fernandes,1508,AM,Manchester United,601,6.19,3.99,11430.0,Manchester United
11,Bruno,Fernandes,1508,AM,Manchester United,602,6.12,3.69,11430.0,Manchester United
12,Bruno,Fernandes,1508,AM,Manchester United,603,6.05,3.34,11430.0,Manchester United
13,Bruno,Fernandes,1508,AM,Manchester United,604,5.98,3.07,,Manchester United
14,Bruno,Fernandes,1508,AM,Manchester United,605,5.88,2.85,,Manchester United
15,Bruno,Fernandes,1508,AM,Manchester United,606,5.76,2.67,,Manchester United
16,Bruno,Fernandes,1508,AM,Manchester United,607,5.64,2.53,,Manchester United
17,Bruno,Fernandes,1508,AM,Manchester United,608,-26.97,-13.11,,Manchester United
18,Bruno,Fernandes,1508,AM,Manchester United,609,-27.07,-13.25,,Manchester United
19,Bruno,Fernandes,1508,AM,Manchester United,610,-27.13,-13.39,,Manchester United
20,Bruno,Fernandes,1508,AM,Manchester United,611,-27.17,-13.53,,Manchester United
21,Bruno,Fernandes,1508,AM,Manchester United,612,-27.15,-13.67,,Manchester United
22,Bruno,Fernandes,1508,AM,Manchester United,613,-27.11,-13.83,,Manchester United
23,Bruno,Fernandes,1508,AM,Manchester United,614,-27.07,-14.01,1508.0,Manchester United
24,Bruno,Fernandes,1508,AM,Manchester United,615,-27.04,-14.14,1508.0,Manchester United
25,Bruno,Fernandes,1508,AM,Manchester United,616,-27.03,-14.24,1508.0,Manchester United
26,Bruno,Fernandes,1508,AM,Manchester United,617,-27.02,-14.37,1508.0,Manchester United
27,Bruno,Fernandes,1508,AM,Manchester United,618,-26.99,-14.56,1508.0,Manchester United
28,Bruno,Fernandes,1508,AM,Manchester United,619,-26.89,-14.8,1508.0,Manchester United
29,Bruno,Fernandes,1508,AM,Manchester United,620,-26.73,-15.06,1508.0,Manchester United
30,Bruno,Fernandes,1508,AM,Manchester United,621,-26.6,-15.25,1508.0,Manchester United
31,Bruno,Fernandes,1508,AM,Manchester United,622,-26.5,-15.49,1508.0,Manchester United
32,Bruno,Fernandes,1508,AM,Manchester United,623,-26.42,-15.74,1508.0,Manchester United
33,Bruno,Fernandes,1508,AM,Manchester United,624,-26.38,-15.92,1508.0,Manchester United
34,Bruno,Fernandes,1508,AM,Manchester United,625,-26.35,-16.05,1508.0,Manchester United
35,Bruno,Fernandes,1508,AM,Manchester United,626,-26.23,-16.19,1508.0,Manchester United
36,Bruno,Fernandes,1508,AM,Manchester United,627,-26.11,-16.29,1508.0,Manchester United
37,Bruno,Fernandes,1508,AM,Manchester United,628,-25.92,-16.44,1508.0,Manchester United
38,Bruno,Fernandes,1508,AM,Manchester United,629,-25.72,-16.61,1508.0,Manchester United
39,Bruno,Fernandes,1508,AM,Manchester United,630,-25.53,-16.76,1508.0,Manchester United
40,Bruno,Fernandes,1508,AM,Manchester United,631,-25.37,-16.88,1508.0,Manchester United
41,Bruno,Fernandes,1508,AM,Manchester United,632,-25.19,-17.01,1508.0,Manchester United
42,Bruno,Fernandes,1508,AM,Manchester United,633,-25.03,-17.09,1508.0,Manchester United
43,Bruno,Fernandes,1508,AM,Manchester United,634,-24.78,-17.17,1508.0,Manchester United
