,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,David,De Gea,2428,GK,Manchester United,1267,-41.71,-3.65,,Manchester City
1,David,De Gea,2428,GK,Manchester United,1268,-42.37,-3.04,11900.0,Manchester United
2,David,De Gea,2428,GK,Manchester United,1269,-42.96,-2.58,11900.0,Manchester United
3,David,De Gea,2428,GK,Manchester United,1270,-43.48,-2.28,,Manchester United
4,David,De Gea,2428,GK,Manchester United,1271,-44.27,-1.86,,Manchester United
5,David,De Gea,2428,GK,Manchester United,1272,-44.24,-2.26,,Manchester United
6,David,De Gea,2428,GK,Manchester United,1273,-43.87,-2.93,,Manchester United
7,David,De Gea,2428,GK,Manchester United,1274,-43.46,-3.57,,Manchester United
8,David,De Gea,2428,GK,Manchester United,1275,-42.98,-4.28,,Manchester United
9,David,De Gea,2428,GK,Manchester United,1276,-42.76,-4.65,,Manchester United
10,David,De Gea,2428,GK,Manchester United,1277,-42.77,-4.76,,Manchester United
11,David,De Gea,2428,GK,Manchester United,1278,-43.01,-4.59,,Manchester United
12,David,De Gea,2428,GK,Manchester United,1279,-43.48,-4.13,,Manchester United
13,David,De Gea,2428,GK,Manchester United,1853,-42.31,-5.13,,Manchester United
14,David,De Gea,2428,GK,Manchester United,1854,-42.63,-5.29,,Manchester United
15,David,De Gea,2428,GK,Manchester United,1855,-42.87,-5.46,,Manchester United
16,David,De Gea,2428,GK,Manchester United,1856,-43.02,-5.64,,Manchester United
17,David,De Gea,2428,GK,Manchester United,1857,-42.98,-5.98,11900.0,Manchester United
18,David,De Gea,2428,GK,Manchester United,1858,-43.1,-6.11,11900.0,Manchester United
19,David,De Gea,2428,GK,Manchester United,1859,-43.27,-6.04,11900.0,Manchester United
20,David,De Gea,2428,GK,Manchester United,1860,-43.51,-6.0,11900.0,Manchester United
21,David,De Gea,2428,GK,Manchester United,1861,-43.7,-6.14,11900.0,Manchester United
22,David,De Gea,2428,GK,Manchester United,1862,-43.83,-6.14,11900.0,Manchester United
23,David,De Gea,2428,GK,Manchester United,1863,-43.91,-6.29,11900.0,Manchester United
24,David,De Gea,2428,GK,Manchester United,1864,-44.19,-6.38,11900.0,Manchester United
25,David,De Gea,2428,GK,Manchester United,1865,-44.53,-6.58,11900.0,Manchester United
26,David,De Gea,2428,GK,Manchester United,1866,-44.86,-6.84,11900.0,Manchester United
27,David,De Gea,2428,GK,Manchester United,1867,-45.14,-7.15,11900.0,Manchester United
28,David,De Gea,2428,GK,Manchester United,1868,-45.29,-7.42,11900.0,Manchester United
29,David,De Gea,2428,GK,Manchester United,1869,-45.55,-7.6,11900.0,Manchester United
30,David,De Gea,2428,GK,Manchester United,1870,-45.77,-7.71,11900.0,Manchester United
31,David,De Gea,2428,GK,Manchester United,1871,-46.02,-7.8,11900.0,Manchester United
32,David,De Gea,2428,GK,Manchester United,1872,-46.17,-7.89,,Manchester United
33,David,De Gea,2428,GK,Manchester United,1873,-46.4,-7.97,,Manchester United
34,David,De Gea,2428,GK,Manchester United,1874,-46.66,-8.01,,Manchester United
35,David,De Gea,2428,GK,Manchester United,1875,-46.85,-8.09,,Manchester United
36,David,De Gea,2428,GK,Manchester United,1876,-47.02,-8.07,,Manchester United
37,David,De Gea,2428,GK,Manchester United,1877,-47.17,-8.01,,Manchester United
38,David,De Gea,2428,GK,Manchester United,1878,-47.23,-7.98,,Manchester United
39,David,De Gea,2428,GK,Manchester United,1879,-47.36,-7.93,,Manchester United
40,David,De Gea,2428,GK,Manchester United,1880,-47.48,-7.99,,Manchester United
41,David,De Gea,2428,GK,Manchester United,1881,-47.57,-7.94,,Manchester United
42,David,De Gea,2428,GK,Manchester United,1882,-47.73,-7.67,,Manchester United
43,David,De Gea,2428,GK,Manchester United,1883,-47.85,-7.43,,Manchester United
44,David,De Gea,2428,GK,Manchester United,1884,-48.01,-7.16,,Manchester United
45,David,De Gea,2428,GK,Manchester United,1885,-48.2,-6.94,,Manchester United
46,David,De Gea,2428,GK,Manchester United,1886,-48.27,-6.9,,Manchester United
47,David,De Gea,2428,GK,Manchester United,1887,-48.36,-6.73,,Manchester United
48,David,De Gea,2428,GK,Manchester United,1888,-48.43,-6.57,,Manchester United
49,David,De Gea,2428,GK,Manchester United,1889,-48.47,-6.53,,Manchester United
50,David,De Gea,2428,GK,Manchester United,1890,-48.53,-6.53,11430.0,Manchester United
51,David,De Gea,2428,GK,Manchester United,1891,-48.59,-6.61,11430.0,Manchester United
52,David,De Gea,2428,GK,Manchester United,1892,-48.61,-6.71,11430.0,Manchester United
53,David,De Gea,2428,GK,Manchester United,1893,-48.65,-6.78,11430.0,Manchester United
54,David,De Gea,2428,GK,Manchester United,1894,-48.69,-6.85,11430.0,Manchester United
55,David,De Gea,2428,GK,Manchester United,1895,-48.73,-6.89,,Manchester United
56,David,De Gea,2428,GK,Manchester United,1896,-48.79,-6.93,,Manchester United
57,David,De Gea,2428,GK,Manchester United,2667,-40.97,-1.44,,Manchester City
