,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Eric,Bertrand Bailly,3139,LW,Manchester United,57627,17.77,18.24,,Manchester City
1,Eric,Bertrand Bailly,3139,LW,Manchester United,57628,17.77,17.92,8039.0,Manchester City
2,Eric,Bertrand Bailly,3139,LW,Manchester United,57629,17.78,17.67,8039.0,Manchester City
3,Eric,Bertrand Bailly,3139,LW,Manchester United,57630,17.8,17.5,8039.0,Manchester City
4,Eric,Bertrand Bailly,3139,LW,Manchester United,57631,17.83,17.51,8039.0,Manchester City
5,Eric,Bertrand Bailly,3139,LW,Manchester United,57632,17.86,17.41,8039.0,Manchester City
6,Eric,Bertrand Bailly,3139,LW,Manchester United,57633,17.91,17.19,8039.0,Manchester City
7,Eric,Bertrand Bailly,3139,LW,Manchester United,57634,17.98,16.94,8039.0,Manchester City
8,Eric,Bertrand Bailly,3139,LW,Manchester United,57635,18.06,16.59,,Manchester City
9,Eric,Bertrand Bailly,3139,LW,Manchester United,57636,18.15,16.31,,Manchester City
10,Eric,Bertrand Bailly,3139,LW,Manchester United,57637,18.3,16.06,,Manchester City
11,Eric,Bertrand Bailly,3139,LW,Manchester United,57638,18.44,15.84,,Manchester City
12,Eric,Bertrand Bailly,3139,LW,Manchester United,57639,18.55,15.55,,Manchester City
13,Eric,Bertrand Bailly,3139,LW,Manchester United,57640,18.66,15.31,,Manchester City
14,Eric,Bertrand Bailly,3139,LW,Manchester United,57641,18.77,14.99,,Manchester City
15,Eric,Bertrand Bailly,3139,LW,Manchester United,57642,18.86,14.77,3397.0,Manchester City
16,Eric,Bertrand Bailly,3139,LW,Manchester United,57643,18.98,14.53,3397.0,Manchester City
17,Eric,Bertrand Bailly,3139,LW,Manchester United,57644,19.07,14.31,3397.0,Manchester City
18,Eric,Bertrand Bailly,3139,LW,Manchester United,57645,19.13,13.98,3397.0,Manchester City
19,Eric,Bertrand Bailly,3139,LW,Manchester United,57646,19.18,13.65,3397.0,Manchester City
20,Eric,Bertrand Bailly,3139,LW,Manchester United,57647,19.25,13.32,3397.0,Manchester City
21,Eric,Bertrand Bailly,3139,LW,Manchester United,57648,19.3,13.02,3397.0,Manchester City
22,Eric,Bertrand Bailly,3139,LW,Manchester United,57649,19.41,12.84,3397.0,Manchester City
23,Eric,Bertrand Bailly,3139,LW,Manchester United,57650,19.52,12.6,3397.0,Manchester City
24,Eric,Bertrand Bailly,3139,LW,Manchester United,57651,19.6,12.28,3397.0,Manchester City
25,Eric,Bertrand Bailly,3139,LW,Manchester United,57652,19.69,12.03,3397.0,Manchester City
26,Eric,Bertrand Bailly,3139,LW,Manchester United,57653,19.8,11.8,3397.0,Manchester City
27,Eric,Bertrand Bailly,3139,LW,Manchester United,57654,19.85,11.53,3397.0,Manchester City
28,Eric,Bertrand Bailly,3139,LW,Manchester United,57655,19.95,11.35,3397.0,Manchester City
29,Eric,Bertrand Bailly,3139,LW,Manchester United,57656,20.04,11.16,3397.0,Manchester City
30,Eric,Bertrand Bailly,3139,LW,Manchester United,57657,20.16,10.96,3397.0,Manchester City
31,Eric,Bertrand Bailly,3139,LW,Manchester United,57658,20.27,10.74,3397.0,Manchester City
32,Eric,Bertrand Bailly,3139,LW,Manchester United,57659,20.39,10.54,3397.0,Manchester City
33,Eric,Bertrand Bailly,3139,LW,Manchester United,57660,20.49,10.37,3397.0,Manchester City
34,Eric,Bertrand Bailly,3139,LW,Manchester United,57661,20.58,10.2,3397.0,Manchester City
35,Eric,Bertrand Bailly,3139,LW,Manchester United,57662,20.63,10.05,3397.0,Manchester City
36,Eric,Bertrand Bailly,3139,LW,Manchester United,57663,20.68,9.85,3397.0,Manchester City
37,Eric,Bertrand Bailly,3139,LW,Manchester United,57664,20.75,9.63,3397.0,Manchester City
38,Eric,Bertrand Bailly,3139,LW,Manchester United,57665,20.82,9.38,3397.0,Manchester City
39,Eric,Bertrand Bailly,3139,LW,Manchester United,57666,20.9,9.18,3397.0,Manchester City
40,Eric,Bertrand Bailly,3139,LW,Manchester United,57667,20.99,9.02,3397.0,Manchester City
41,Eric,Bertrand Bailly,3139,LW,Manchester United,57668,21.04,8.84,3397.0,Manchester City
