,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Ilkay,Gündogan,4460,LM,Manchester City,254,1.91,9.93,,Manchester City
1,Ilkay,Gündogan,4460,LM,Manchester City,255,1.91,10.04,,Manchester City
2,Ilkay,Gündogan,4460,LM,Manchester City,256,1.91,10.11,,Manchester City
3,Ilkay,Gündogan,4460,LM,Manchester City,257,1.91,10.15,,Manchester City
4,Ilkay,Gündogan,4460,LM,Manchester City,258,1.9,10.17,,Manchester City
5,Ilkay,Gündogan,4460,LM,Manchester City,259,1.89,10.06,,Manchester City
6,Ilkay,Gündogan,4460,LM,Manchester City,260,1.89,10.05,,Manchester City
7,Ilkay,Gündogan,4460,LM,Manchester City,261,1.88,10.08,,Manchester City
8,Ilkay,Gündogan,4460,LM,Manchester City,262,1.85,10.09,,Manchester City
9,Ilkay,Gündogan,4460,LM,Manchester City,263,1.81,10.17,,Manchester City
10,Ilkay,Gündogan,4460,LM,Manchester City,264,1.77,10.21,,Manchester City
11,Ilkay,Gündogan,4460,LM,Manchester City,265,1.75,10.17,,Manchester City
12,Ilkay,Gündogan,4460,LM,Manchester City,266,1.75,10.22,,Manchester City
13,Ilkay,Gündogan,4460,LM,Manchester City,267,1.76,10.28,,Manchester City
14,Ilkay,Gündogan,4460,LM,Manchester City,268,1.77,10.33,,Manchester City
15,Ilkay,Gündogan,4460,LM,Manchester City,269,1.78,10.35,,Manchester City
16,Ilkay,Gündogan,4460,LM,Manchester City,270,1.79,10.35,,Manchester City
17,Ilkay,Gündogan,4460,LM,Manchester City,271,1.79,10.22,,Manchester City
18,Ilkay,Gündogan,4460,LM,Manchester City,272,1.81,10.04,,Manchester City
19,Ilkay,Gündogan,4460,LM,Manchester City,273,1.83,9.88,,Manchester City
20,Ilkay,Gündogan,4460,LM,Manchester City,274,1.84,9.82,,Manchester City
21,Ilkay,Gündogan,4460,LM,Manchester City,275,1.87,9.83,,Manchester City
22,Ilkay,Gündogan,4460,LM,Manchester City,276,1.89,9.93,,Manchester City
23,Ilkay,Gündogan,4460,LM,Manchester City,277,1.92,10.02,,Manchester City
24,Ilkay,Gündogan,4460,LM,Manchester City,278,1.94,10.04,,Manchester City
25,Ilkay,Gündogan,4460,LM,Manchester City,279,1.94,9.99,,Manchester City
26,Ilkay,Gündogan,4460,LM,Manchester City,280,1.94,9.94,,Manchester City
27,Ilkay,Gündogan,4460,LM,Manchester City,281,1.93,9.94,,Manchester City
28,Ilkay,Gündogan,4460,LM,Manchester City,282,1.93,9.98,,Manchester City
29,Ilkay,Gündogan,4460,LM,Manchester City,283,1.94,10.08,,Manchester City
30,Ilkay,Gündogan,4460,LM,Manchester City,284,1.94,10.21,,Manchester City
31,Ilkay,Gündogan,4460,LM,Manchester City,285,1.95,10.27,,Manchester City
32,Ilkay,Gündogan,4460,LM,Manchester City,286,1.95,10.26,,Manchester City
33,Ilkay,Gündogan,4460,LM,Manchester City,287,1.95,10.17,,Manchester City
34,Ilkay,Gündogan,4460,LM,Manchester City,288,1.97,10.03,,Manchester City
35,Ilkay,Gündogan,4460,LM,Manchester City,289,2.0,10.02,,Manchester City
36,Ilkay,Gündogan,4460,LM,Manchester City,290,2.02,10.13,,Manchester City
37,Ilkay,Gündogan,4460,LM,Manchester City,291,2.04,10.21,,Manchester City
38,Ilkay,Gündogan,4460,LM,Manchester City,292,2.04,10.22,,Manchester City
39,Ilkay,Gündogan,4460,LM,Manchester City,293,2.04,10.22,,Manchester City
40,Ilkay,Gündogan,4460,LM,Manchester City,294,2.05,10.16,,Manchester City
41,Ilkay,Gündogan,4460,LM,Manchester City,295,2.06,10.3,,Manchester City
42,Ilkay,Gündogan,4460,LM,Manchester City,296,2.04,10.33,,Manchester City
43,Ilkay,Gündogan,4460,LM,Manchester City,297,2.01,10.19,,Manchester City
44,Ilkay,Gündogan,4460,LM,Manchester City,298,1.96,9.96,,Manchester City
45,Ilkay,Gündogan,4460,LM,Manchester City,299,1.91,9.8,,Manchester City
46,Ilkay,Gündogan,4460,LM,Manchester City,300,1.88,9.64,,Manchester City
47,Ilkay,Gündogan,4460,LM,Manchester City,301,1.87,9.67,11900.0,Manchester City
48,Ilkay,Gündogan,4460,LM,Manchester City,302,1.86,9.66,11900.0,Manchester City
49,Ilkay,Gündogan,4460,LM,Manchester City,303,1.85,9.67,11900.0,Manchester City
50,Ilkay,Gündogan,4460,LM,Manchester City,304,1.83,9.7,11900.0,Manchester City
51,Ilkay,Gündogan,4460,LM,Manchester City,305,1.81,9.75,11900.0,Manchester City
52,Ilkay,Gündogan,4460,LM,Manchester City,306,1.79,9.79,11900.0,Manchester City
53,Ilkay,Gündogan,4460,LM,Manchester City,307,1.79,9.8,11900.0,Manchester City
54,Ilkay,Gündogan,4460,LM,Manchester City,308,1.8,9.77,11900.0,Manchester City
55,Ilkay,Gündogan,4460,LM,Manchester City,309,1.81,9.72,11900.0,Manchester City
56,Ilkay,Gündogan,4460,LM,Manchester City,310,1.81,9.66,11900.0,Manchester City
57,Ilkay,Gündogan,4460,LM,Manchester City,311,1.82,9.6,11900.0,Manchester City
58,Ilkay,Gündogan,4460,LM,Manchester City,312,1.82,9.61,11900.0,Manchester City
59,Ilkay,Gündogan,4460,LM,Manchester City,313,1.82,9.64,11900.0,Manchester City
60,Ilkay,Gündogan,4460,LM,Manchester City,314,1.82,9.66,11900.0,Manchester City
61,Ilkay,Gündogan,4460,LM,Manchester City,315,1.82,9.7,11900.0,Manchester City
62,Ilkay,Gündogan,4460,LM,Manchester City,316,1.83,9.69,11900.0,Manchester City
63,Ilkay,Gündogan,4460,LM,Manchester City,317,1.83,9.66,11900.0,Manchester City
64,Ilkay,Gündogan,4460,LM,Manchester City,318,1.84,9.63,11900.0,Manchester City
65,Ilkay,Gündogan,4460,LM,Manchester City,319,1.85,9.61,11900.0,Manchester City
66,Ilkay,Gündogan,4460,LM,Manchester City,320,1.86,9.59,11900.0,Manchester City
67,Ilkay,Gündogan,4460,LM,Manchester City,321,1.85,9.58,11900.0,Manchester City
68,Ilkay,Gündogan,4460,LM,Manchester City,322,1.85,9.59,11900.0,Manchester City
69,Ilkay,Gündogan,4460,LM,Manchester City,323,1.85,9.61,11900.0,Manchester City
70,Ilkay,Gündogan,4460,LM,Manchester City,324,1.84,9.62,11900.0,Manchester City
71,Ilkay,Gündogan,4460,LM,Manchester City,325,1.83,9.63,11900.0,Manchester City
72,Ilkay,Gündogan,4460,LM,Manchester City,326,1.83,9.64,11900.0,Manchester City
73,Ilkay,Gündogan,4460,LM,Manchester City,327,1.84,9.62,11900.0,Manchester City
74,Ilkay,Gündogan,4460,LM,Manchester City,328,1.85,9.64,11900.0,Manchester City
75,Ilkay,Gündogan,4460,LM,Manchester City,329,1.85,9.62,11900.0,Manchester City
76,Ilkay,Gündogan,4460,LM,Manchester City,330,1.86,9.62,11900.0,Manchester City
77,Ilkay,Gündogan,4460,LM,Manchester City,331,7.91,-6.87,11900.0,Manchester City
78,Ilkay,Gündogan,4460,LM,Manchester City,332,7.91,-6.88,11900.0,Manchester City
79,Ilkay,Gündogan,4460,LM,Manchester City,333,7.92,-6.89,11900.0,Manchester City
80,Ilkay,Gündogan,4460,LM,Manchester City,334,7.92,-6.92,11900.0,Manchester City
81,Ilkay,Gündogan,4460,LM,Manchester City,335,7.93,-6.94,11900.0,Manchester City
82,Ilkay,Gündogan,4460,LM,Manchester City,336,7.93,-7.0,11900.0,Manchester City
83,Ilkay,Gündogan,4460,LM,Manchester City,337,7.93,-7.07,11900.0,Manchester City
84,Ilkay,Gündogan,4460,LM,Manchester City,338,7.92,-7.14,11900.0,Manchester City
85,Ilkay,Gündogan,4460,LM,Manchester City,339,7.9,-7.18,11900.0,Manchester City
86,Ilkay,Gündogan,4460,LM,Manchester City,340,7.89,-7.17,11900.0,Manchester City
87,Ilkay,Gündogan,4460,LM,Manchester City,341,1.88,9.64,11900.0,Manchester City
88,Ilkay,Gündogan,4460,LM,Manchester City,342,1.87,9.66,11900.0,Manchester City
89,Ilkay,Gündogan,4460,LM,Manchester City,343,1.87,9.65,11900.0,Manchester City
90,Ilkay,Gündogan,4460,LM,Manchester City,344,1.87,9.6,11900.0,Manchester City
91,Ilkay,Gündogan,4460,LM,Manchester City,345,1.88,9.54,11900.0,Manchester City
92,Ilkay,Gündogan,4460,LM,Manchester City,346,1.88,9.51,11900.0,Manchester City
93,Ilkay,Gündogan,4460,LM,Manchester City,347,1.88,9.51,11900.0,Manchester City
94,Ilkay,Gündogan,4460,LM,Manchester City,348,1.87,9.53,11900.0,Manchester City
95,Ilkay,Gündogan,4460,LM,Manchester City,349,1.87,9.56,11900.0,Manchester City
96,Ilkay,Gündogan,4460,LM,Manchester City,350,1.86,9.6,11900.0,Manchester City
97,Ilkay,Gündogan,4460,LM,Manchester City,351,1.87,9.65,11900.0,Manchester City
98,Ilkay,Gündogan,4460,LM,Manchester City,352,1.87,9.71,11900.0,Manchester City
99,Ilkay,Gündogan,4460,LM,Manchester City,353,1.88,9.74,11900.0,Manchester City
100,Ilkay,Gündogan,4460,LM,Manchester City,354,1.89,9.77,11900.0,Manchester City
101,Ilkay,Gündogan,4460,LM,Manchester City,355,1.89,9.77,11900.0,Manchester City
102,Ilkay,Gündogan,4460,LM,Manchester City,356,1.9,9.77,11900.0,Manchester City
103,Ilkay,Gündogan,4460,LM,Manchester City,357,1.92,9.76,11900.0,Manchester City
104,Ilkay,Gündogan,4460,LM,Manchester City,358,1.92,9.75,11900.0,Manchester City
105,Ilkay,Gündogan,4460,LM,Manchester City,359,1.91,9.73,11900.0,Manchester City
106,Ilkay,Gündogan,4460,LM,Manchester City,360,1.89,9.74,11900.0,Manchester City
