,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Luiz,Fernandinho,3397,LCB,Manchester City,254,15.99,6.27,,Manchester City
1,Luiz,Fernandinho,3397,LCB,Manchester City,255,15.97,6.22,,Manchester City
2,Luiz,Fernandinho,3397,LCB,Manchester City,256,15.95,6.16,,Manchester City
3,Luiz,Fernandinho,3397,LCB,Manchester City,257,15.94,6.1,,Manchester City
4,Luiz,Fernandinho,3397,LCB,Manchester City,258,15.95,6.03,,Manchester City
5,Luiz,Fernandinho,3397,LCB,Manchester City,259,15.94,5.92,,Manchester City
6,Luiz,Fernandinho,3397,LCB,Manchester City,260,15.95,5.89,,Manchester City
7,Luiz,Fernandinho,3397,LCB,Manchester City,261,15.94,5.95,,Manchester City
8,Luiz,Fernandinho,3397,LCB,Manchester City,262,15.92,6.01,,Manchester City
9,Luiz,Fernandinho,3397,LCB,Manchester City,263,15.91,6.04,,Manchester City
10,Luiz,Fernandinho,3397,LCB,Manchester City,264,15.91,6.09,,Manchester City
11,Luiz,Fernandinho,3397,LCB,Manchester City,265,15.9,6.05,,Manchester City
12,Luiz,Fernandinho,3397,LCB,Manchester City,266,15.89,6.02,,Manchester City
13,Luiz,Fernandinho,3397,LCB,Manchester City,267,15.88,6.01,,Manchester City
14,Luiz,Fernandinho,3397,LCB,Manchester City,268,15.87,5.99,,Manchester City
15,Luiz,Fernandinho,3397,LCB,Manchester City,269,15.88,6.0,,Manchester City
16,Luiz,Fernandinho,3397,LCB,Manchester City,270,15.88,6.03,,Manchester City
17,Luiz,Fernandinho,3397,LCB,Manchester City,271,15.88,6.04,,Manchester City
18,Luiz,Fernandinho,3397,LCB,Manchester City,272,15.88,6.04,,Manchester City
19,Luiz,Fernandinho,3397,LCB,Manchester City,273,15.87,6.03,,Manchester City
20,Luiz,Fernandinho,3397,LCB,Manchester City,274,15.85,6.0,,Manchester City
21,Luiz,Fernandinho,3397,LCB,Manchester City,275,15.86,6.01,,Manchester City
22,Luiz,Fernandinho,3397,LCB,Manchester City,276,15.86,6.02,,Manchester City
23,Luiz,Fernandinho,3397,LCB,Manchester City,277,15.89,6.05,,Manchester City
24,Luiz,Fernandinho,3397,LCB,Manchester City,278,15.9,6.09,,Manchester City
25,Luiz,Fernandinho,3397,LCB,Manchester City,279,15.91,6.12,,Manchester City
26,Luiz,Fernandinho,3397,LCB,Manchester City,280,15.91,6.11,,Manchester City
27,Luiz,Fernandinho,3397,LCB,Manchester City,281,15.91,6.12,,Manchester City
28,Luiz,Fernandinho,3397,LCB,Manchester City,282,15.92,6.14,,Manchester City
29,Luiz,Fernandinho,3397,LCB,Manchester City,283,15.95,6.14,,Manchester City
30,Luiz,Fernandinho,3397,LCB,Manchester City,284,15.98,6.2,,Manchester City
31,Luiz,Fernandinho,3397,LCB,Manchester City,285,16.02,6.31,,Manchester City
32,Luiz,Fernandinho,3397,LCB,Manchester City,286,16.06,6.39,,Manchester City
33,Luiz,Fernandinho,3397,LCB,Manchester City,287,16.06,6.37,,Manchester City
34,Luiz,Fernandinho,3397,LCB,Manchester City,288,16.07,6.31,,Manchester City
35,Luiz,Fernandinho,3397,LCB,Manchester City,289,16.06,6.18,,Manchester City
36,Luiz,Fernandinho,3397,LCB,Manchester City,290,16.09,6.2,,Manchester City
37,Luiz,Fernandinho,3397,LCB,Manchester City,291,16.11,6.25,,Manchester City
38,Luiz,Fernandinho,3397,LCB,Manchester City,292,16.13,6.3,,Manchester City
39,Luiz,Fernandinho,3397,LCB,Manchester City,293,16.14,6.33,,Manchester City
40,Luiz,Fernandinho,3397,LCB,Manchester City,294,16.15,6.32,,Manchester City
41,Luiz,Fernandinho,3397,LCB,Manchester City,295,16.15,6.31,,Manchester City
42,Luiz,Fernandinho,3397,LCB,Manchester City,296,16.16,6.34,,Manchester City
43,Luiz,Fernandinho,3397,LCB,Manchester City,297,16.16,6.34,,Manchester City
44,Luiz,Fernandinho,3397,LCB,Manchester City,298,16.14,6.32,,Manchester City
45,Luiz,Fernandinho,3397,LCB,Manchester City,299,16.14,6.29,,Manchester City
46,Luiz,Fernandinho,3397,LCB,Manchester City,300,16.14,6.26,,Manchester City
47,Luiz,Fernandinho,3397,LCB,Manchester City,301,16.14,6.26,11900.0,Manchester City
48,Luiz,Fernandinho,3397,LCB,Manchester City,302,16.14,6.26,11900.0,Manchester City
49,Luiz,Fernandinho,3397,LCB,Manchester City,303,16.14,6.26,11900.0,Manchester City
50,Luiz,Fernandinho,3397,LCB,Manchester City,304,16.13,6.27,11900.0,Manchester City
51,Luiz,Fernandinho,3397,LCB,Manchester City,305,16.14,6.3,11900.0,Manchester City
52,Luiz,Fernandinho,3397,LCB,Manchester City,306,16.16,6.35,11900.0,Manchester City
53,Luiz,Fernandinho,3397,LCB,Manchester City,307,16.18,6.4,11900.0,Manchester City
54,Luiz,Fernandinho,3397,LCB,Manchester City,308,16.17,6.35,11900.0,Manchester City
55,Luiz,Fernandinho,3397,LCB,Manchester City,309,16.16,6.29,11900.0,Manchester City
56,Luiz,Fernandinho,3397,LCB,Manchester City,310,16.13,6.23,11900.0,Manchester City
57,Luiz,Fernandinho,3397,LCB,Manchester City,311,16.12,6.21,11900.0,Manchester City
58,Luiz,Fernandinho,3397,LCB,Manchester City,312,16.13,6.26,11900.0,Manchester City
59,Luiz,Fernandinho,3397,LCB,Manchester City,313,16.16,6.38,11900.0,Manchester City
60,Luiz,Fernandinho,3397,LCB,Manchester City,314,16.17,6.43,11900.0,Manchester City
61,Luiz,Fernandinho,3397,LCB,Manchester City,315,16.18,6.48,11900.0,Manchester City
62,Luiz,Fernandinho,3397,LCB,Manchester City,316,16.15,6.44,11900.0,Manchester City
63,Luiz,Fernandinho,3397,LCB,Manchester City,317,16.12,6.34,11900.0,Manchester City
64,Luiz,Fernandinho,3397,LCB,Manchester City,318,16.1,6.29,11900.0,Manchester City
65,Luiz,Fernandinho,3397,LCB,Manchester City,319,16.09,6.26,11900.0,Manchester City
66,Luiz,Fernandinho,3397,LCB,Manchester City,320,16.08,6.22,11900.0,Manchester City
67,Luiz,Fernandinho,3397,LCB,Manchester City,321,16.09,6.23,11900.0,Manchester City
68,Luiz,Fernandinho,3397,LCB,Manchester City,322,16.08,6.23,11900.0,Manchester City
69,Luiz,Fernandinho,3397,LCB,Manchester City,323,16.08,6.25,11900.0,Manchester City
70,Luiz,Fernandinho,3397,LCB,Manchester City,324,16.1,6.34,11900.0,Manchester City
71,Luiz,Fernandinho,3397,LCB,Manchester City,325,16.11,6.39,11900.0,Manchester City
72,Luiz,Fernandinho,3397,LCB,Manchester City,326,16.1,6.38,11900.0,Manchester City
73,Luiz,Fernandinho,3397,LCB,Manchester City,327,16.09,6.36,11900.0,Manchester City
74,Luiz,Fernandinho,3397,LCB,Manchester City,328,16.08,6.3,11900.0,Manchester City
75,Luiz,Fernandinho,3397,LCB,Manchester City,329,16.06,6.26,11900.0,Manchester City
76,Luiz,Fernandinho,3397,LCB,Manchester City,330,16.05,6.26,11900.0,Manchester City
77,Luiz,Fernandinho,3397,LCB,Manchester City,331,16.04,6.25,11900.0,Manchester City
78,Luiz,Fernandinho,3397,LCB,Manchester City,332,16.03,6.22,11900.0,Manchester City
79,Luiz,Fernandinho,3397,LCB,Manchester City,333,16.02,6.18,11900.0,Manchester City
80,Luiz,Fernandinho,3397,LCB,Manchester City,334,16.02,6.15,11900.0,Manchester City
81,Luiz,Fernandinho,3397,LCB,Manchester City,335,16.02,6.15,11900.0,Manchester City
82,Luiz,Fernandinho,3397,LCB,Manchester City,336,16.03,6.16,11900.0,Manchester City
83,Luiz,Fernandinho,3397,LCB,Manchester City,337,16.04,6.16,11900.0,Manchester City
84,Luiz,Fernandinho,3397,LCB,Manchester City,338,16.06,6.16,11900.0,Manchester City
85,Luiz,Fernandinho,3397,LCB,Manchester City,339,16.07,6.12,11900.0,Manchester City
86,Luiz,Fernandinho,3397,LCB,Manchester City,340,16.08,6.15,11900.0,Manchester City
87,Luiz,Fernandinho,3397,LCB,Manchester City,341,16.09,6.18,11900.0,Manchester City
88,Luiz,Fernandinho,3397,LCB,Manchester City,342,16.1,6.24,11900.0,Manchester City
