,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Luke,Shaw,6514,LCB,Manchester United,254,-8.05,16.83,,Manchester City
1,Luke,Shaw,6514,LCB,Manchester United,255,-8.07,16.96,,Manchester City
2,Luke,Shaw,6514,LCB,Manchester United,256,-8.09,17.07,,Manchester City
3,Luke,Shaw,6514,LCB,Manchester United,257,-8.09,17.18,,Manchester City
4,Luke,Shaw,6514,LCB,Manchester United,258,-8.09,17.3,,Manchester City
5,Luke,Shaw,6514,LCB,Manchester United,259,-8.07,17.34,,Manchester City
6,Luke,Shaw,6514,LCB,Manchester United,260,-8.08,17.37,,Manchester City
7,Luke,Shaw,6514,LCB,Manchester United,261,-8.08,17.3,,Manchester City
8,Luke,Shaw,6514,LCB,Manchester United,262,-8.09,17.21,,Manchester City
9,Luke,Shaw,6514,LCB,Manchester United,263,-8.11,17.14,,Manchester City
10,Luke,Shaw,6514,LCB,Manchester United,264,-8.12,17.12,,Manchester City
11,Luke,Shaw,6514,LCB,Manchester United,265,-8.1,17.11,,Manchester City
12,Luke,Shaw,6514,LCB,Manchester United,266,-8.09,17.1,,Manchester City
13,Luke,Shaw,6514,LCB,Manchester United,267,-8.07,17.13,,Manchester City
14,Luke,Shaw,6514,LCB,Manchester United,268,-8.06,17.1,,Manchester City
15,Luke,Shaw,6514,LCB,Manchester United,269,-8.06,17.03,,Manchester City
16,Luke,Shaw,6514,LCB,Manchester United,270,-8.08,16.94,,Manchester City
17,Luke,Shaw,6514,LCB,Manchester United,271,-8.1,16.91,,Manchester City
18,Luke,Shaw,6514,LCB,Manchester United,272,-8.1,16.83,,Manchester City
19,Luke,Shaw,6514,LCB,Manchester United,273,-8.1,16.79,,Manchester City
20,Luke,Shaw,6514,LCB,Manchester United,274,-8.1,16.77,,Manchester City
21,Luke,Shaw,6514,LCB,Manchester United,275,-8.11,16.81,,Manchester City
22,Luke,Shaw,6514,LCB,Manchester United,276,-8.12,16.78,,Manchester City
23,Luke,Shaw,6514,LCB,Manchester United,277,-8.14,16.85,,Manchester City
24,Luke,Shaw,6514,LCB,Manchester United,278,-8.15,16.86,,Manchester City
25,Luke,Shaw,6514,LCB,Manchester United,279,-8.14,16.82,,Manchester City
26,Luke,Shaw,6514,LCB,Manchester United,280,-8.13,16.84,,Manchester City
27,Luke,Shaw,6514,LCB,Manchester United,281,-8.12,16.86,,Manchester City
28,Luke,Shaw,6514,LCB,Manchester United,282,-8.11,16.83,,Manchester City
29,Luke,Shaw,6514,LCB,Manchester United,283,-8.09,16.89,,Manchester City
30,Luke,Shaw,6514,LCB,Manchester United,284,-8.07,16.9,,Manchester City
31,Luke,Shaw,6514,LCB,Manchester United,285,-8.05,16.86,,Manchester City
32,Luke,Shaw,6514,LCB,Manchester United,286,-8.03,16.85,,Manchester City
33,Luke,Shaw,6514,LCB,Manchester United,287,-8.0,16.82,,Manchester City
34,Luke,Shaw,6514,LCB,Manchester United,288,-7.97,16.84,,Manchester City
35,Luke,Shaw,6514,LCB,Manchester United,289,-7.94,16.96,,Manchester City
36,Luke,Shaw,6514,LCB,Manchester United,290,-7.94,17.05,,Manchester City
37,Luke,Shaw,6514,LCB,Manchester United,291,-7.97,17.14,,Manchester City
38,Luke,Shaw,6514,LCB,Manchester United,292,-7.99,17.14,,Manchester City
39,Luke,Shaw,6514,LCB,Manchester United,293,-7.98,17.05,,Manchester City
40,Luke,Shaw,6514,LCB,Manchester United,294,-7.96,16.98,,Manchester City
41,Luke,Shaw,6514,LCB,Manchester United,295,-7.95,16.96,,Manchester City
42,Luke,Shaw,6514,LCB,Manchester United,296,-7.96,16.92,,Manchester City
43,Luke,Shaw,6514,LCB,Manchester United,297,-7.99,16.97,,Manchester City
44,Luke,Shaw,6514,LCB,Manchester United,298,-8.02,16.97,,Manchester City
45,Luke,Shaw,6514,LCB,Manchester United,299,-8.03,16.93,,Manchester City
46,Luke,Shaw,6514,LCB,Manchester United,300,-8.04,16.89,,Manchester City
47,Luke,Shaw,6514,LCB,Manchester United,301,-8.06,16.91,11900.0,Manchester City
48,Luke,Shaw,6514,LCB,Manchester United,302,-8.06,16.88,11900.0,Manchester City
49,Luke,Shaw,6514,LCB,Manchester United,303,-8.07,16.91,11900.0,Manchester City
50,Luke,Shaw,6514,LCB,Manchester United,304,-8.08,16.91,11900.0,Manchester City
51,Luke,Shaw,6514,LCB,Manchester United,305,-8.1,16.91,11900.0,Manchester City
52,Luke,Shaw,6514,LCB,Manchester United,306,-8.11,16.87,11900.0,Manchester City
53,Luke,Shaw,6514,LCB,Manchester United,307,-8.13,16.88,11900.0,Manchester City
54,Luke,Shaw,6514,LCB,Manchester United,308,-8.13,16.91,11900.0,Manchester City
55,Luke,Shaw,6514,LCB,Manchester United,309,-8.13,16.98,11900.0,Manchester City
56,Luke,Shaw,6514,LCB,Manchester United,310,-8.13,17.03,11900.0,Manchester City
57,Luke,Shaw,6514,LCB,Manchester United,311,-8.13,17.08,11900.0,Manchester City
58,Luke,Shaw,6514,LCB,Manchester United,312,-8.11,17.06,11900.0,Manchester City
59,Luke,Shaw,6514,LCB,Manchester United,313,-8.09,17.01,11900.0,Manchester City
60,Luke,Shaw,6514,LCB,Manchester United,314,-8.07,16.96,11900.0,Manchester City
61,Luke,Shaw,6514,LCB,Manchester United,315,-8.04,16.9,11900.0,Manchester City
62,Luke,Shaw,6514,LCB,Manchester United,316,-8.0,16.87,11900.0,Manchester City
63,Luke,Shaw,6514,LCB,Manchester United,317,-7.96,16.87,11900.0,Manchester City
64,Luke,Shaw,6514,LCB,Manchester United,318,-7.93,16.9,11900.0,Manchester City
65,Luke,Shaw,6514,LCB,Manchester United,319,-7.91,16.92,11900.0,Manchester City
66,Luke,Shaw,6514,LCB,Manchester United,320,-7.9,16.93,11900.0,Manchester City
67,Luke,Shaw,6514,LCB,Manchester United,321,-7.9,16.93,11900.0,Manchester City
68,Luke,Shaw,6514,LCB,Manchester United,322,-7.9,16.93,11900.0,Manchester City
69,Luke,Shaw,6514,LCB,Manchester United,323,-7.9,16.91,11900.0,Manchester City
70,Luke,Shaw,6514,LCB,Manchester United,324,-7.9,16.86,11900.0,Manchester City
71,Luke,Shaw,6514,LCB,Manchester United,325,-7.9,16.83,11900.0,Manchester City
72,Luke,Shaw,6514,LCB,Manchester United,326,-7.9,16.83,11900.0,Manchester City
73,Luke,Shaw,6514,LCB,Manchester United,327,-7.9,16.87,11900.0,Manchester City
74,Luke,Shaw,6514,LCB,Manchester United,328,-7.9,16.89,11900.0,Manchester City
75,Luke,Shaw,6514,LCB,Manchester United,329,-7.9,16.92,11900.0,Manchester City
76,Luke,Shaw,6514,LCB,Manchester United,330,-7.9,16.93,11900.0,Manchester City
77,Luke,Shaw,6514,LCB,Manchester United,331,-7.9,16.93,11900.0,Manchester City
78,Luke,Shaw,6514,LCB,Manchester United,332,-7.9,16.97,11900.0,Manchester City
79,Luke,Shaw,6514,LCB,Manchester United,333,-7.89,17.02,11900.0,Manchester City
80,Luke,Shaw,6514,LCB,Manchester United,334,-7.88,17.03,11900.0,Manchester City
81,Luke,Shaw,6514,LCB,Manchester United,335,-7.88,17.04,11900.0,Manchester City
82,Luke,Shaw,6514,LCB,Manchester United,336,-7.88,17.03,11900.0,Manchester City
83,Luke,Shaw,6514,LCB,Manchester United,337,-7.89,17.03,11900.0,Manchester City
84,Luke,Shaw,6514,LCB,Manchester United,338,-7.9,17.04,11900.0,Manchester City
85,Luke,Shaw,6514,LCB,Manchester United,339,-7.9,17.08,11900.0,Manchester City
86,Luke,Shaw,6514,LCB,Manchester United,340,-7.92,17.09,11900.0,Manchester City
87,Luke,Shaw,6514,LCB,Manchester United,341,-7.93,17.08,11900.0,Manchester City
88,Luke,Shaw,6514,LCB,Manchester United,342,-7.95,17.06,11900.0,Manchester City
89,Luke,Shaw,6514,LCB,Manchester United,343,-7.94,17.05,11900.0,Manchester City
90,Luke,Shaw,6514,LCB,Manchester United,344,-7.95,17.04,11900.0,Manchester City
91,Luke,Shaw,6514,LCB,Manchester United,345,-7.94,17.08,11900.0,Manchester City
92,Luke,Shaw,6514,LCB,Manchester United,346,-7.95,17.09,11900.0,Manchester City
93,Luke,Shaw,6514,LCB,Manchester United,347,-7.95,17.13,11900.0,Manchester City
94,Luke,Shaw,6514,LCB,Manchester United,348,-7.96,17.12,11900.0,Manchester City
95,Luke,Shaw,6514,LCB,Manchester United,349,-7.96,17.1,11900.0,Manchester City
96,Luke,Shaw,6514,LCB,Manchester United,350,-7.97,17.08,11900.0,Manchester City
97,Luke,Shaw,6514,LCB,Manchester United,351,-7.97,17.1,11900.0,Manchester City
98,Luke,Shaw,6514,LCB,Manchester United,352,-7.97,17.08,11900.0,Manchester City
99,Luke,Shaw,6514,LCB,Manchester United,353,-7.96,17.07,11900.0,Manchester City
100,Luke,Shaw,6514,LCB,Manchester United,354,-7.95,17.05,11900.0,Manchester City
101,Luke,Shaw,6514,LCB,Manchester United,355,-7.95,17.05,11900.0,Manchester City
102,Luke,Shaw,6514,LCB,Manchester United,356,-7.95,17.07,11900.0,Manchester City
103,Luke,Shaw,6514,LCB,Manchester United,357,-7.95,17.1,11900.0,Manchester City
104,Luke,Shaw,6514,LCB,Manchester United,358,-7.95,17.11,11900.0,Manchester City
105,Luke,Shaw,6514,LCB,Manchester United,359,-7.94,17.12,11900.0,Manchester City
106,Luke,Shaw,6514,LCB,Manchester United,360,-7.94,17.13,11900.0,Manchester City
107,Luke,Shaw,6514,LCB,Manchester United,361,-7.94,17.11,11900.0,Manchester City
108,Luke,Shaw,6514,LCB,Manchester United,362,-7.95,17.09,11900.0,Manchester City
109,Luke,Shaw,6514,LCB,Manchester United,363,-7.95,17.07,11900.0,Manchester City
110,Luke,Shaw,6514,LCB,Manchester United,364,-7.95,17.07,11900.0,Manchester City
111,Luke,Shaw,6514,LCB,Manchester United,365,-7.95,17.08,11900.0,Manchester City
112,Luke,Shaw,6514,LCB,Manchester United,366,-7.95,17.1,11900.0,Manchester City
113,Luke,Shaw,6514,LCB,Manchester United,367,-7.94,17.06,11900.0,Manchester City
114,Luke,Shaw,6514,LCB,Manchester United,368,-7.94,17.01,11900.0,Manchester City
115,Luke,Shaw,6514,LCB,Manchester United,369,-7.95,17.03,11900.0,Manchester City
116,Luke,Shaw,6514,LCB,Manchester United,370,-7.97,17.06,11900.0,Manchester City
117,Luke,Shaw,6514,LCB,Manchester United,371,-7.99,17.14,11900.0,Manchester City
118,Luke,Shaw,6514,LCB,Manchester United,372,-8.02,17.19,11900.0,Manchester City
119,Luke,Shaw,6514,LCB,Manchester United,373,-8.04,17.2,11900.0,Manchester City
120,Luke,Shaw,6514,LCB,Manchester United,374,-8.07,17.17,11900.0,Manchester City
121,Luke,Shaw,6514,LCB,Manchester United,375,-8.1,17.15,11900.0,Manchester City
122,Luke,Shaw,6514,LCB,Manchester United,376,-8.14,17.11,11900.0,Manchester City
123,Luke,Shaw,6514,LCB,Manchester United,377,-8.16,17.15,11900.0,Manchester City
124,Luke,Shaw,6514,LCB,Manchester United,378,-8.19,17.18,11900.0,Manchester City
125,Luke,Shaw,6514,LCB,Manchester United,379,-8.23,17.23,11900.0,Manchester City
126,Luke,Shaw,6514,LCB,Manchester United,380,-8.24,17.26,11900.0,Manchester City
127,Luke,Shaw,6514,LCB,Manchester United,381,-8.25,17.24,11900.0,Manchester City
128,Luke,Shaw,6514,LCB,Manchester United,382,-8.26,17.2,11900.0,Manchester City
129,Luke,Shaw,6514,LCB,Manchester United,383,-8.26,17.19,11900.0,Manchester City
130,Luke,Shaw,6514,LCB,Manchester United,384,-8.27,17.15,11900.0,Manchester City
131,Luke,Shaw,6514,LCB,Manchester United,385,-8.27,17.14,11900.0,Manchester City
132,Luke,Shaw,6514,LCB,Manchester United,386,-8.27,17.15,11900.0,Manchester City
133,Luke,Shaw,6514,LCB,Manchester United,387,-8.27,17.15,11900.0,Manchester City
134,Luke,Shaw,6514,LCB,Manchester United,388,-8.26,17.14,11900.0,Manchester City
135,Luke,Shaw,6514,LCB,Manchester United,389,-8.26,17.11,11900.0,Manchester City
136,Luke,Shaw,6514,LCB,Manchester United,390,-8.26,17.08,11900.0,Manchester City
137,Luke,Shaw,6514,LCB,Manchester United,391,-8.26,17.07,11900.0,Manchester City
138,Luke,Shaw,6514,LCB,Manchester United,392,-8.26,17.06,11900.0,Manchester City
139,Luke,Shaw,6514,LCB,Manchester United,393,-8.26,17.06,11900.0,Manchester City
140,Luke,Shaw,6514,LCB,Manchester United,394,-8.26,17.06,11900.0,Manchester City
141,Luke,Shaw,6514,LCB,Manchester United,395,-8.27,17.08,11900.0,Manchester City
142,Luke,Shaw,6514,LCB,Manchester United,396,-8.27,17.08,11900.0,Manchester City
143,Luke,Shaw,6514,LCB,Manchester United,397,-8.27,17.1,11900.0,Manchester City
144,Luke,Shaw,6514,LCB,Manchester United,398,-8.27,17.09,11900.0,Manchester City
145,Luke,Shaw,6514,LCB,Manchester United,399,-8.27,17.1,11900.0,Manchester City
146,Luke,Shaw,6514,LCB,Manchester United,400,-8.27,17.11,11900.0,Manchester City
147,Luke,Shaw,6514,LCB,Manchester United,401,-8.27,17.12,11900.0,Manchester City
148,Luke,Shaw,6514,LCB,Manchester United,402,-8.26,17.13,11900.0,Manchester City
149,Luke,Shaw,6514,LCB,Manchester United,403,-8.26,17.14,11900.0,Manchester City
