,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Oleksandr,Zinchenko,11671,LWB,Manchester City,571,15.72,-5.49,6514.0,Manchester United
1,Oleksandr,Zinchenko,11671,LWB,Manchester City,572,15.69,-5.49,6514.0,Manchester United
2,Oleksandr,Zinchenko,11671,LWB,Manchester City,573,15.67,-5.46,6514.0,Manchester United
3,Oleksandr,Zinchenko,11671,LWB,Manchester City,574,15.63,-5.41,6514.0,Manchester United
4,Oleksandr,Zinchenko,11671,LWB,Manchester City,575,15.59,-5.43,6514.0,Manchester United
5,Oleksandr,Zinchenko,11671,LWB,Manchester City,576,15.51,-5.48,6514.0,Manchester United
6,Oleksandr,Zinchenko,11671,LWB,Manchester City,577,15.42,-5.56,,Manchester United
7,Oleksandr,Zinchenko,11671,LWB,Manchester City,578,15.32,-5.62,,Manchester United
8,Oleksandr,Zinchenko,11671,LWB,Manchester City,579,15.21,-5.66,,Manchester United
9,Oleksandr,Zinchenko,11671,LWB,Manchester City,580,15.04,-5.71,,Manchester United
10,Oleksandr,Zinchenko,11671,LWB,Manchester City,581,14.82,-5.83,,Manchester United
11,Oleksandr,Zinchenko,11671,LWB,Manchester City,582,14.53,-5.96,,Manchester United
12,Oleksandr,Zinchenko,11671,LWB,Manchester City,583,14.21,-6.09,,Manchester United
13,Oleksandr,Zinchenko,11671,LWB,Manchester City,584,13.91,-6.18,,Manchester United
14,Oleksandr,Zinchenko,11671,LWB,Manchester City,585,13.63,-6.26,,Manchester United
15,Oleksandr,Zinchenko,11671,LWB,Manchester City,586,13.32,-6.32,11430.0,Manchester United
16,Oleksandr,Zinchenko,11671,LWB,Manchester City,587,13.07,-6.43,11430.0,Manchester United
17,Oleksandr,Zinchenko,11671,LWB,Manchester City,588,12.73,-6.72,11430.0,Manchester United
18,Oleksandr,Zinchenko,11671,LWB,Manchester City,589,12.35,-7.12,11430.0,Manchester United
19,Oleksandr,Zinchenko,11671,LWB,Manchester City,590,11.93,-7.63,11430.0,Manchester United
20,Oleksandr,Zinchenko,11671,LWB,Manchester City,648,8.16,-23.8,,Manchester United
21,Oleksandr,Zinchenko,11671,LWB,Manchester City,649,8.69,-23.55,,Manchester United
22,Oleksandr,Zinchenko,11671,LWB,Manchester City,650,9.24,-23.31,,Manchester United
23,Oleksandr,Zinchenko,11671,LWB,Manchester City,651,9.82,-23.07,,Manchester United
24,Oleksandr,Zinchenko,11671,LWB,Manchester City,652,10.41,-22.78,,Manchester United
25,Oleksandr,Zinchenko,11671,LWB,Manchester City,653,10.99,-22.64,,Manchester United
26,Oleksandr,Zinchenko,11671,LWB,Manchester City,654,11.63,-22.46,,Manchester United
27,Oleksandr,Zinchenko,11671,LWB,Manchester City,655,12.26,-22.19,,Manchester United
28,Oleksandr,Zinchenko,11671,LWB,Manchester City,656,12.95,-21.86,,Manchester United
29,Oleksandr,Zinchenko,11671,LWB,Manchester City,657,13.57,-21.62,,Manchester United
30,Oleksandr,Zinchenko,11671,LWB,Manchester City,658,14.28,-21.32,,Manchester United
31,Oleksandr,Zinchenko,11671,LWB,Manchester City,659,14.95,-21.12,,Manchester United
32,Oleksandr,Zinchenko,11671,LWB,Manchester City,660,15.73,-20.74,,Manchester United
33,Oleksandr,Zinchenko,11671,LWB,Manchester City,661,16.45,-20.45,,Manchester United
34,Oleksandr,Zinchenko,11671,LWB,Manchester City,662,17.26,-20.12,,Manchester United
35,Oleksandr,Zinchenko,11671,LWB,Manchester City,663,17.99,-19.93,,Manchester United
36,Oleksandr,Zinchenko,11671,LWB,Manchester City,664,18.78,-19.77,,Manchester United
37,Oleksandr,Zinchenko,11671,LWB,Manchester City,665,19.56,-19.5,,Manchester United
38,Oleksandr,Zinchenko,11671,LWB,Manchester City,666,20.37,-19.28,,Manchester United
39,Oleksandr,Zinchenko,11671,LWB,Manchester City,667,21.06,-19.16,,Manchester United
40,Oleksandr,Zinchenko,11671,LWB,Manchester City,668,21.85,-19.01,,Manchester United
41,Oleksandr,Zinchenko,11671,LWB,Manchester City,669,22.53,-19.01,,Manchester United
42,Oleksandr,Zinchenko,11671,LWB,Manchester City,670,23.31,-18.92,,Manchester United
43,Oleksandr,Zinchenko,11671,LWB,Manchester City,671,24.16,-18.6,,Manchester United
