,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Riyad,Mahrez,9077,RM,Manchester City,46601,-5.16,-22.71,,Manchester United
1,Riyad,Mahrez,9077,RM,Manchester City,46602,-4.56,-22.56,,Manchester United
2,Riyad,Mahrez,9077,RM,Manchester City,46603,-4.02,-22.47,,Manchester United
3,Riyad,Mahrez,9077,RM,Manchester City,46604,-3.36,-22.4,,Manchester United
4,Riyad,Mahrez,9077,RM,Manchester City,46605,-2.74,-22.33,,Manchester United
5,Riyad,Mahrez,9077,RM,Manchester City,46606,-2.07,-22.27,,Manchester United
6,Riyad,Mahrez,9077,RM,Manchester City,46607,-1.48,-22.13,,Manchester United
7,Riyad,Mahrez,9077,RM,Manchester City,46608,-0.81,-22.01,,Manchester United
8,Riyad,Mahrez,9077,RM,Manchester City,46609,-0.25,-21.95,,Manchester United
9,Riyad,Mahrez,9077,RM,Manchester City,46610,0.37,-21.85,,Manchester United
10,Riyad,Mahrez,9077,RM,Manchester City,46611,0.98,-21.73,,Manchester United
11,Riyad,Mahrez,9077,RM,Manchester City,46612,1.66,-21.61,9202.0,Manchester City
12,Riyad,Mahrez,9077,RM,Manchester City,46613,2.26,-21.48,9202.0,Manchester City
13,Riyad,Mahrez,9077,RM,Manchester City,46614,2.96,-21.37,9202.0,Manchester City
14,Riyad,Mahrez,9077,RM,Manchester City,46615,3.57,-21.4,9202.0,Manchester City
15,Riyad,Mahrez,9077,RM,Manchester City,46616,4.27,-21.46,9202.0,Manchester City
16,Riyad,Mahrez,9077,RM,Manchester City,46617,4.89,-21.5,9202.0,Manchester City
17,Riyad,Mahrez,9077,RM,Manchester City,46618,5.58,-21.72,9202.0,Manchester City
18,Riyad,Mahrez,9077,RM,Manchester City,46619,6.21,-21.91,9202.0,Manchester City
19,Riyad,Mahrez,9077,RM,Manchester City,46620,6.91,-22.05,9202.0,Manchester City
20,Riyad,Mahrez,9077,RM,Manchester City,46621,7.53,-22.19,9202.0,Manchester City
21,Riyad,Mahrez,9077,RM,Manchester City,46622,8.22,-22.25,9202.0,Manchester City
22,Riyad,Mahrez,9077,RM,Manchester City,46623,8.79,-22.26,9202.0,Manchester City
23,Riyad,Mahrez,9077,RM,Manchester City,46624,9.39,-22.37,9202.0,Manchester City
24,Riyad,Mahrez,9077,RM,Manchester City,46625,9.97,-22.53,9202.0,Manchester City
