,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Rodrigo,Hernandez,9202,CM,Manchester City,254,10.44,1.99,,Manchester City
1,Rodrigo,Hernandez,9202,CM,Manchester City,255,10.44,2.04,,Manchester City
2,Rodrigo,Hernandez,9202,CM,Manchester City,256,10.44,2.07,,Manchester City
3,Rodrigo,Hernandez,9202,CM,Manchester City,257,10.45,2.07,,Manchester City
4,Rodrigo,Hernandez,9202,CM,Manchester City,258,10.45,2.01,,Manchester City
5,Rodrigo,Hernandez,9202,CM,Manchester City,259,10.45,1.94,,Manchester City
6,Rodrigo,Hernandez,9202,CM,Manchester City,260,10.45,1.91,,Manchester City
7,Rodrigo,Hernandez,9202,CM,Manchester City,261,10.44,1.96,,Manchester City
8,Rodrigo,Hernandez,9202,CM,Manchester City,262,10.43,2.0,,Manchester City
9,Rodrigo,Hernandez,9202,CM,Manchester City,263,10.43,2.01,,Manchester City
10,Rodrigo,Hernandez,9202,CM,Manchester City,264,10.42,2.02,,Manchester City
11,Rodrigo,Hernandez,9202,CM,Manchester City,265,10.42,2.01,,Manchester City
12,Rodrigo,Hernandez,9202,CM,Manchester City,266,10.42,2.03,,Manchester City
13,Rodrigo,Hernandez,9202,CM,Manchester City,267,10.42,2.07,,Manchester City
14,Rodrigo,Hernandez,9202,CM,Manchester City,268,10.41,2.1,,Manchester City
15,Rodrigo,Hernandez,9202,CM,Manchester City,269,10.4,2.11,,Manchester City
16,Rodrigo,Hernandez,9202,CM,Manchester City,270,10.37,2.13,,Manchester City
17,Rodrigo,Hernandez,9202,CM,Manchester City,271,10.34,2.13,,Manchester City
18,Rodrigo,Hernandez,9202,CM,Manchester City,272,10.31,2.11,,Manchester City
19,Rodrigo,Hernandez,9202,CM,Manchester City,273,10.28,2.08,,Manchester City
20,Rodrigo,Hernandez,9202,CM,Manchester City,274,10.24,2.04,,Manchester City
21,Rodrigo,Hernandez,9202,CM,Manchester City,275,10.2,1.97,,Manchester City
22,Rodrigo,Hernandez,9202,CM,Manchester City,276,10.16,1.98,,Manchester City
23,Rodrigo,Hernandez,9202,CM,Manchester City,277,10.14,2.06,,Manchester City
24,Rodrigo,Hernandez,9202,CM,Manchester City,278,10.11,2.16,,Manchester City
25,Rodrigo,Hernandez,9202,CM,Manchester City,279,10.09,2.25,,Manchester City
26,Rodrigo,Hernandez,9202,CM,Manchester City,280,10.07,2.24,,Manchester City
27,Rodrigo,Hernandez,9202,CM,Manchester City,281,10.06,2.17,,Manchester City
28,Rodrigo,Hernandez,9202,CM,Manchester City,282,10.07,2.09,,Manchester City
29,Rodrigo,Hernandez,9202,CM,Manchester City,283,10.1,1.99,,Manchester City
30,Rodrigo,Hernandez,9202,CM,Manchester City,284,10.13,1.93,,Manchester City
31,Rodrigo,Hernandez,9202,CM,Manchester City,285,10.17,1.92,,Manchester City
32,Rodrigo,Hernandez,9202,CM,Manchester City,286,10.2,1.87,,Manchester City
33,Rodrigo,Hernandez,9202,CM,Manchester City,287,10.21,1.86,,Manchester City
34,Rodrigo,Hernandez,9202,CM,Manchester City,288,10.25,1.89,,Manchester City
35,Rodrigo,Hernandez,9202,CM,Manchester City,289,10.28,1.82,,Manchester City
36,Rodrigo,Hernandez,9202,CM,Manchester City,290,10.33,1.86,,Manchester City
37,Rodrigo,Hernandez,9202,CM,Manchester City,291,10.39,1.89,,Manchester City
38,Rodrigo,Hernandez,9202,CM,Manchester City,292,10.44,1.86,,Manchester City
39,Rodrigo,Hernandez,9202,CM,Manchester City,293,10.5,1.9,,Manchester City
40,Rodrigo,Hernandez,9202,CM,Manchester City,294,10.54,1.87,,Manchester City
41,Rodrigo,Hernandez,9202,CM,Manchester City,295,10.56,1.81,,Manchester City
42,Rodrigo,Hernandez,9202,CM,Manchester City,296,10.58,1.83,,Manchester City
43,Rodrigo,Hernandez,9202,CM,Manchester City,297,10.62,1.85,,Manchester City
44,Rodrigo,Hernandez,9202,CM,Manchester City,298,10.67,1.91,,Manchester City
45,Rodrigo,Hernandez,9202,CM,Manchester City,299,10.72,1.91,,Manchester City
46,Rodrigo,Hernandez,9202,CM,Manchester City,300,10.76,1.88,,Manchester City
47,Rodrigo,Hernandez,9202,CM,Manchester City,301,10.8,1.85,11900.0,Manchester City
48,Rodrigo,Hernandez,9202,CM,Manchester City,302,10.82,1.78,11900.0,Manchester City
49,Rodrigo,Hernandez,9202,CM,Manchester City,303,10.85,1.75,11900.0,Manchester City
50,Rodrigo,Hernandez,9202,CM,Manchester City,304,10.88,1.77,11900.0,Manchester City
51,Rodrigo,Hernandez,9202,CM,Manchester City,305,10.89,1.75,11900.0,Manchester City
52,Rodrigo,Hernandez,9202,CM,Manchester City,306,10.9,1.76,11900.0,Manchester City
53,Rodrigo,Hernandez,9202,CM,Manchester City,307,10.91,1.76,11900.0,Manchester City
54,Rodrigo,Hernandez,9202,CM,Manchester City,308,10.92,1.7,11900.0,Manchester City
55,Rodrigo,Hernandez,9202,CM,Manchester City,309,10.91,1.66,11900.0,Manchester City
56,Rodrigo,Hernandez,9202,CM,Manchester City,310,10.9,1.64,11900.0,Manchester City
57,Rodrigo,Hernandez,9202,CM,Manchester City,311,10.88,1.65,11900.0,Manchester City
58,Rodrigo,Hernandez,9202,CM,Manchester City,312,10.87,1.68,11900.0,Manchester City
59,Rodrigo,Hernandez,9202,CM,Manchester City,313,10.85,1.72,11900.0,Manchester City
60,Rodrigo,Hernandez,9202,CM,Manchester City,314,10.81,1.72,11900.0,Manchester City
61,Rodrigo,Hernandez,9202,CM,Manchester City,315,10.79,1.77,11900.0,Manchester City
62,Rodrigo,Hernandez,9202,CM,Manchester City,316,10.75,1.8,11900.0,Manchester City
63,Rodrigo,Hernandez,9202,CM,Manchester City,317,10.72,1.87,11900.0,Manchester City
64,Rodrigo,Hernandez,9202,CM,Manchester City,318,10.68,1.95,11900.0,Manchester City
65,Rodrigo,Hernandez,9202,CM,Manchester City,319,10.63,2.0,11900.0,Manchester City
66,Rodrigo,Hernandez,9202,CM,Manchester City,320,10.54,1.97,11900.0,Manchester City
67,Rodrigo,Hernandez,9202,CM,Manchester City,321,10.46,1.91,11900.0,Manchester City
68,Rodrigo,Hernandez,9202,CM,Manchester City,322,10.39,1.83,11900.0,Manchester City
69,Rodrigo,Hernandez,9202,CM,Manchester City,323,10.35,1.79,11900.0,Manchester City
70,Rodrigo,Hernandez,9202,CM,Manchester City,324,10.33,1.83,11900.0,Manchester City
71,Rodrigo,Hernandez,9202,CM,Manchester City,325,10.32,1.93,11900.0,Manchester City
72,Rodrigo,Hernandez,9202,CM,Manchester City,326,10.29,2.03,11900.0,Manchester City
73,Rodrigo,Hernandez,9202,CM,Manchester City,327,10.25,2.12,11900.0,Manchester City
74,Rodrigo,Hernandez,9202,CM,Manchester City,328,10.2,2.18,11900.0,Manchester City
75,Rodrigo,Hernandez,9202,CM,Manchester City,329,10.17,2.17,11900.0,Manchester City
76,Rodrigo,Hernandez,9202,CM,Manchester City,330,10.18,2.21,11900.0,Manchester City
77,Rodrigo,Hernandez,9202,CM,Manchester City,331,10.21,2.22,11900.0,Manchester City
78,Rodrigo,Hernandez,9202,CM,Manchester City,332,10.25,2.2,11900.0,Manchester City
79,Rodrigo,Hernandez,9202,CM,Manchester City,333,10.3,2.16,11900.0,Manchester City
80,Rodrigo,Hernandez,9202,CM,Manchester City,334,10.33,2.1,11900.0,Manchester City
81,Rodrigo,Hernandez,9202,CM,Manchester City,335,10.33,2.05,11900.0,Manchester City
82,Rodrigo,Hernandez,9202,CM,Manchester City,336,10.36,2.04,11900.0,Manchester City
83,Rodrigo,Hernandez,9202,CM,Manchester City,337,10.39,2.03,11900.0,Manchester City
84,Rodrigo,Hernandez,9202,CM,Manchester City,338,10.44,2.01,11900.0,Manchester City
85,Rodrigo,Hernandez,9202,CM,Manchester City,339,10.48,1.95,11900.0,Manchester City
86,Rodrigo,Hernandez,9202,CM,Manchester City,340,10.52,1.89,11900.0,Manchester City
87,Rodrigo,Hernandez,9202,CM,Manchester City,341,10.54,1.81,11900.0,Manchester City
88,Rodrigo,Hernandez,9202,CM,Manchester City,342,10.58,1.73,11900.0,Manchester City
89,Rodrigo,Hernandez,9202,CM,Manchester City,343,10.61,1.69,11900.0,Manchester City
90,Rodrigo,Hernandez,9202,CM,Manchester City,344,10.64,1.68,11900.0,Manchester City
91,Rodrigo,Hernandez,9202,CM,Manchester City,345,10.67,1.67,11900.0,Manchester City
92,Rodrigo,Hernandez,9202,CM,Manchester City,346,10.71,1.67,11900.0,Manchester City
93,Rodrigo,Hernandez,9202,CM,Manchester City,347,10.73,1.65,11900.0,Manchester City
94,Rodrigo,Hernandez,9202,CM,Manchester City,348,10.74,1.65,11900.0,Manchester City
95,Rodrigo,Hernandez,9202,CM,Manchester City,349,10.74,1.68,11900.0,Manchester City
96,Rodrigo,Hernandez,9202,CM,Manchester City,350,10.71,1.73,11900.0,Manchester City
97,Rodrigo,Hernandez,9202,CM,Manchester City,351,10.69,1.77,11900.0,Manchester City
98,Rodrigo,Hernandez,9202,CM,Manchester City,352,10.65,1.8,11900.0,Manchester City
99,Rodrigo,Hernandez,9202,CM,Manchester City,353,10.62,1.8,11900.0,Manchester City
100,Rodrigo,Hernandez,9202,CM,Manchester City,354,10.59,1.77,11900.0,Manchester City
101,Rodrigo,Hernandez,9202,CM,Manchester City,355,10.56,1.74,11900.0,Manchester City
102,Rodrigo,Hernandez,9202,CM,Manchester City,356,10.53,1.8,11900.0,Manchester City
103,Rodrigo,Hernandez,9202,CM,Manchester City,357,10.49,1.93,11900.0,Manchester City
104,Rodrigo,Hernandez,9202,CM,Manchester City,358,10.44,2.07,11900.0,Manchester City
105,Rodrigo,Hernandez,9202,CM,Manchester City,359,10.39,2.17,11900.0,Manchester City
106,Rodrigo,Hernandez,9202,CM,Manchester City,360,10.32,2.19,11900.0,Manchester City
107,Rodrigo,Hernandez,9202,CM,Manchester City,361,10.26,2.13,11900.0,Manchester City
108,Rodrigo,Hernandez,9202,CM,Manchester City,362,10.23,2.12,11900.0,Manchester City
109,Rodrigo,Hernandez,9202,CM,Manchester City,363,10.2,2.12,11900.0,Manchester City
110,Rodrigo,Hernandez,9202,CM,Manchester City,364,10.18,2.17,11900.0,Manchester City
111,Rodrigo,Hernandez,9202,CM,Manchester City,365,10.15,2.23,11900.0,Manchester City
112,Rodrigo,Hernandez,9202,CM,Manchester City,366,10.11,2.3,11900.0,Manchester City
113,Rodrigo,Hernandez,9202,CM,Manchester City,367,10.07,2.33,11900.0,Manchester City
114,Rodrigo,Hernandez,9202,CM,Manchester City,368,10.04,2.38,11900.0,Manchester City
115,Rodrigo,Hernandez,9202,CM,Manchester City,369,10.04,2.39,11900.0,Manchester City
116,Rodrigo,Hernandez,9202,CM,Manchester City,370,10.05,2.4,11900.0,Manchester City
117,Rodrigo,Hernandez,9202,CM,Manchester City,371,10.07,2.37,11900.0,Manchester City
118,Rodrigo,Hernandez,9202,CM,Manchester City,372,10.1,2.31,11900.0,Manchester City
119,Rodrigo,Hernandez,9202,CM,Manchester City,373,10.13,2.25,11900.0,Manchester City
120,Rodrigo,Hernandez,9202,CM,Manchester City,374,10.16,2.24,11900.0,Manchester City
121,Rodrigo,Hernandez,9202,CM,Manchester City,375,10.19,2.24,11900.0,Manchester City
122,Rodrigo,Hernandez,9202,CM,Manchester City,376,10.22,2.23,11900.0,Manchester City
123,Rodrigo,Hernandez,9202,CM,Manchester City,377,10.25,2.18,11900.0,Manchester City
124,Rodrigo,Hernandez,9202,CM,Manchester City,378,10.29,2.14,11900.0,Manchester City
125,Rodrigo,Hernandez,9202,CM,Manchester City,379,10.33,2.12,11900.0,Manchester City
126,Rodrigo,Hernandez,9202,CM,Manchester City,380,10.37,2.1,11900.0,Manchester City
127,Rodrigo,Hernandez,9202,CM,Manchester City,381,10.41,2.08,11900.0,Manchester City
128,Rodrigo,Hernandez,9202,CM,Manchester City,382,10.42,2.04,11900.0,Manchester City
129,Rodrigo,Hernandez,9202,CM,Manchester City,383,10.43,2.0,11900.0,Manchester City
130,Rodrigo,Hernandez,9202,CM,Manchester City,384,10.42,1.97,11900.0,Manchester City
131,Rodrigo,Hernandez,9202,CM,Manchester City,385,10.42,1.93,11900.0,Manchester City
132,Rodrigo,Hernandez,9202,CM,Manchester City,386,10.43,1.87,11900.0,Manchester City
133,Rodrigo,Hernandez,9202,CM,Manchester City,387,10.44,1.82,11900.0,Manchester City
134,Rodrigo,Hernandez,9202,CM,Manchester City,388,10.46,1.78,11900.0,Manchester City
135,Rodrigo,Hernandez,9202,CM,Manchester City,389,10.48,1.77,11900.0,Manchester City
136,Rodrigo,Hernandez,9202,CM,Manchester City,390,10.52,1.81,11900.0,Manchester City
137,Rodrigo,Hernandez,9202,CM,Manchester City,391,10.56,1.85,11900.0,Manchester City
138,Rodrigo,Hernandez,9202,CM,Manchester City,392,10.59,1.87,11900.0,Manchester City
139,Rodrigo,Hernandez,9202,CM,Manchester City,393,10.61,1.86,11900.0,Manchester City
140,Rodrigo,Hernandez,9202,CM,Manchester City,394,10.64,1.9,11900.0,Manchester City
141,Rodrigo,Hernandez,9202,CM,Manchester City,395,10.67,2.03,11900.0,Manchester City
142,Rodrigo,Hernandez,9202,CM,Manchester City,396,10.71,2.24,11900.0,Manchester City
143,Rodrigo,Hernandez,9202,CM,Manchester City,397,10.73,2.39,11900.0,Manchester City
