,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Scott,McTominay,11730,LF,Manchester United,57627,5.02,17.55,,Manchester City
1,Scott,McTominay,11730,LF,Manchester United,57628,5.14,17.3,8039.0,Manchester City
2,Scott,McTominay,11730,LF,Manchester United,57629,5.26,17.02,8039.0,Manchester City
3,Scott,McTominay,11730,LF,Manchester United,57630,5.39,16.7,8039.0,Manchester City
4,Scott,McTominay,11730,LF,Manchester United,57631,5.52,16.37,8039.0,Manchester City
5,Scott,McTominay,11730,LF,Manchester United,57632,5.65,16.03,8039.0,Manchester City
6,Scott,McTominay,11730,LF,Manchester United,57633,5.79,15.6,8039.0,Manchester City
7,Scott,McTominay,11730,LF,Manchester United,57634,5.93,15.31,8039.0,Manchester City
8,Scott,McTominay,11730,LF,Manchester United,57635,6.11,15.05,,Manchester City
9,Scott,McTominay,11730,LF,Manchester United,57636,6.28,14.78,,Manchester City
10,Scott,McTominay,11730,LF,Manchester United,57637,6.48,14.4,,Manchester City
11,Scott,McTominay,11730,LF,Manchester United,57638,6.66,14.09,,Manchester City
12,Scott,McTominay,11730,LF,Manchester United,57639,6.83,13.74,,Manchester City
13,Scott,McTominay,11730,LF,Manchester United,57640,6.95,13.34,,Manchester City
14,Scott,McTominay,11730,LF,Manchester United,57641,7.11,12.97,,Manchester City
15,Scott,McTominay,11730,LF,Manchester United,57642,7.27,12.76,3397.0,Manchester City
16,Scott,McTominay,11730,LF,Manchester United,57643,7.45,12.5,3397.0,Manchester City
17,Scott,McTominay,11730,LF,Manchester United,57644,7.6,12.15,3397.0,Manchester City
18,Scott,McTominay,11730,LF,Manchester United,57645,7.75,11.83,3397.0,Manchester City
19,Scott,McTominay,11730,LF,Manchester United,57646,7.86,11.53,3397.0,Manchester City
20,Scott,McTominay,11730,LF,Manchester United,57647,7.99,11.19,3397.0,Manchester City
21,Scott,McTominay,11730,LF,Manchester United,57648,8.1,10.92,3397.0,Manchester City
22,Scott,McTominay,11730,LF,Manchester United,57649,8.22,10.78,3397.0,Manchester City
23,Scott,McTominay,11730,LF,Manchester United,57650,8.32,10.53,3397.0,Manchester City
24,Scott,McTominay,11730,LF,Manchester United,57651,8.43,10.2,3397.0,Manchester City
25,Scott,McTominay,11730,LF,Manchester United,57652,8.53,9.87,3397.0,Manchester City
26,Scott,McTominay,11730,LF,Manchester United,57653,8.66,9.55,3397.0,Manchester City
27,Scott,McTominay,11730,LF,Manchester United,57654,8.76,9.23,3397.0,Manchester City
28,Scott,McTominay,11730,LF,Manchester United,57655,8.89,8.99,3397.0,Manchester City
29,Scott,McTominay,11730,LF,Manchester United,57656,9.02,8.79,3397.0,Manchester City
30,Scott,McTominay,11730,LF,Manchester United,57657,9.19,8.56,3397.0,Manchester City
31,Scott,McTominay,11730,LF,Manchester United,57658,9.34,8.31,3397.0,Manchester City
32,Scott,McTominay,11730,LF,Manchester United,57659,9.51,8.0,3397.0,Manchester City
33,Scott,McTominay,11730,LF,Manchester United,57660,9.65,7.76,3397.0,Manchester City
34,Scott,McTominay,11730,LF,Manchester United,57661,9.79,7.48,3397.0,Manchester City
35,Scott,McTominay,11730,LF,Manchester United,57662,9.91,7.25,3397.0,Manchester City
36,Scott,McTominay,11730,LF,Manchester United,57663,10.08,7.08,3397.0,Manchester City
37,Scott,McTominay,11730,LF,Manchester United,57664,10.25,6.95,3397.0,Manchester City
38,Scott,McTominay,11730,LF,Manchester United,57665,10.41,6.62,3397.0,Manchester City
39,Scott,McTominay,11730,LF,Manchester United,57666,10.56,6.28,3397.0,Manchester City
40,Scott,McTominay,11730,LF,Manchester United,57667,10.72,5.97,3397.0,Manchester City
41,Scott,McTominay,11730,LF,Manchester United,57668,10.86,5.7,3397.0,Manchester City
42,Scott,McTominay,11730,LF,Manchester United,57669,11.04,5.59,3397.0,Manchester City
43,Scott,McTominay,11730,LF,Manchester United,57670,11.21,5.54,3397.0,Manchester City
44,Scott,McTominay,11730,LF,Manchester United,57671,11.35,5.37,3397.0,Manchester City
45,Scott,McTominay,11730,LF,Manchester United,57672,11.44,5.16,3397.0,Manchester City
46,Scott,McTominay,11730,LF,Manchester United,57673,11.51,5.05,3397.0,Manchester City
47,Scott,McTominay,11730,LF,Manchester United,57674,11.56,5.03,3397.0,Manchester City
48,Scott,McTominay,11730,LF,Manchester United,57675,11.6,5.07,3397.0,Manchester City
