,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Alex,McCarthy,512,GK,Southampton,1291,46.27,-2.13,,Manchester City
1,Alex,McCarthy,512,GK,Southampton,1292,46.45,-1.99,,Manchester City
2,Alex,McCarthy,512,GK,Southampton,1293,46.63,-1.8,,Manchester City
3,Alex,McCarthy,512,GK,Southampton,1294,46.82,-1.6,,Manchester City
4,Alex,McCarthy,512,GK,Southampton,1295,46.96,-1.46,,Manchester City
5,Alex,McCarthy,512,GK,Southampton,1296,47.12,-1.33,,Manchester City
6,Alex,McCarthy,512,GK,Southampton,1297,47.2,-1.32,,Manchester City
7,Alex,McCarthy,512,GK,Southampton,1298,47.22,-1.4,,Manchester City
8,Alex,McCarthy,512,GK,Southampton,1299,47.33,-1.31,5066.0,Manchester City
9,Alex,McCarthy,512,GK,Southampton,1300,47.47,-1.15,5066.0,Manchester City
10,Alex,McCarthy,512,GK,Southampton,1301,47.58,-1.05,5066.0,Manchester City
11,Alex,McCarthy,512,GK,Southampton,1302,47.76,-0.87,5066.0,Manchester City
12,Alex,McCarthy,512,GK,Southampton,1303,47.9,-0.78,5066.0,Manchester City
13,Alex,McCarthy,512,GK,Southampton,1304,48.0,-0.78,5066.0,Manchester City
14,Alex,McCarthy,512,GK,Southampton,1305,48.2,-0.62,5066.0,Manchester City
15,Alex,McCarthy,512,GK,Southampton,1306,48.34,-0.51,5066.0,Manchester City
16,Alex,McCarthy,512,GK,Southampton,1307,48.49,-0.43,5066.0,Manchester City
17,Alex,McCarthy,512,GK,Southampton,1308,48.64,-0.34,5066.0,Manchester City
18,Alex,McCarthy,512,GK,Southampton,1309,48.77,-0.29,5066.0,Manchester City
19,Alex,McCarthy,512,GK,Southampton,1310,48.82,-0.33,5066.0,Manchester City
20,Alex,McCarthy,512,GK,Southampton,1311,48.9,-0.27,9077.0,Manchester City
21,Alex,McCarthy,512,GK,Southampton,1312,48.92,-0.28,9077.0,Manchester City
22,Alex,McCarthy,512,GK,Southampton,1313,48.98,-0.28,9077.0,Manchester City
23,Alex,McCarthy,512,GK,Southampton,1314,49.1,-0.24,9077.0,Manchester City
24,Alex,McCarthy,512,GK,Southampton,1315,49.23,-0.21,9077.0,Manchester City
25,Alex,McCarthy,512,GK,Southampton,1316,49.3,-0.23,9077.0,Manchester City
26,Alex,McCarthy,512,GK,Southampton,1317,49.3,-0.32,9077.0,Manchester City
27,Alex,McCarthy,512,GK,Southampton,1318,49.25,-0.46,9077.0,Manchester City
28,Alex,McCarthy,512,GK,Southampton,1319,49.27,-0.53,9077.0,Manchester City
29,Alex,McCarthy,512,GK,Southampton,1320,49.36,-0.51,,Manchester City
30,Alex,McCarthy,512,GK,Southampton,1321,49.44,-0.51,,Manchester City
31,Alex,McCarthy,512,GK,Southampton,1322,49.49,-0.51,,Manchester City
32,Alex,McCarthy,512,GK,Southampton,1323,49.51,-0.55,,Manchester City
33,Alex,McCarthy,512,GK,Southampton,1324,49.48,-0.69,,Manchester City
34,Alex,McCarthy,512,GK,Southampton,1325,49.54,-0.71,,Manchester City
35,Alex,McCarthy,512,GK,Southampton,1326,49.56,-0.81,,Manchester City
36,Alex,McCarthy,512,GK,Southampton,1327,49.61,-0.94,,Manchester City
37,Alex,McCarthy,512,GK,Southampton,1328,49.74,-1.03,,Manchester City
38,Alex,McCarthy,512,GK,Southampton,1329,49.86,-1.19,,Manchester City
39,Alex,McCarthy,512,GK,Southampton,1330,49.95,-1.44,,Manchester City
40,Alex,McCarthy,512,GK,Southampton,1331,50.13,-1.56,,Manchester City
41,Alex,McCarthy,512,GK,Southampton,1332,50.22,-1.75,,Manchester City
42,Alex,McCarthy,512,GK,Southampton,1333,50.33,-1.91,,Manchester City
43,Alex,McCarthy,512,GK,Southampton,1334,50.47,-1.99,,Manchester City
44,Alex,McCarthy,512,GK,Southampton,1335,50.55,-2.18,1336.0,Manchester City
45,Alex,McCarthy,512,GK,Southampton,1336,50.63,-2.43,1336.0,Manchester City
46,Alex,McCarthy,512,GK,Southampton,1337,50.77,-2.63,1336.0,Manchester City
47,Alex,McCarthy,512,GK,Southampton,1338,50.86,-2.83,1336.0,Manchester City
48,Alex,McCarthy,512,GK,Southampton,1339,50.94,-2.98,1336.0,Manchester City
49,Alex,McCarthy,512,GK,Southampton,1340,51.01,-3.04,1336.0,Manchester City
50,Alex,McCarthy,512,GK,Southampton,1341,51.05,-3.07,,Manchester City
51,Alex,McCarthy,512,GK,Southampton,1342,51.06,-3.12,,Manchester City
52,Alex,McCarthy,512,GK,Southampton,1343,51.0,-3.32,,Manchester City
53,Alex,McCarthy,512,GK,Southampton,1344,50.93,-3.5,,Manchester City
54,Alex,McCarthy,512,GK,Southampton,1345,50.88,-3.54,,Manchester City
55,Alex,McCarthy,512,GK,Southampton,1346,50.88,-3.39,,Manchester City
56,Alex,McCarthy,512,GK,Southampton,1347,50.86,-3.16,,Manchester City
57,Alex,McCarthy,512,GK,Southampton,1348,50.96,-2.76,,Manchester City
58,Alex,McCarthy,512,GK,Southampton,1349,50.81,-2.8,,Manchester City
59,Alex,McCarthy,512,GK,Southampton,1350,50.59,-2.99,,Manchester City
60,Alex,McCarthy,512,GK,Southampton,1351,50.46,-3.14,,Manchester City
61,Alex,McCarthy,512,GK,Southampton,1352,50.35,-3.22,,Manchester City
62,Alex,McCarthy,512,GK,Southampton,1353,50.33,-3.05,,Manchester City
63,Alex,McCarthy,512,GK,Southampton,1354,50.69,-2.33,,Manchester City
64,Alex,McCarthy,512,GK,Southampton,1355,51.02,-1.61,,Manchester City
65,Alex,McCarthy,512,GK,Southampton,1356,51.36,-0.88,2501.0,Manchester City
66,Alex,McCarthy,512,GK,Southampton,1357,51.48,-0.53,,Manchester City
67,Alex,McCarthy,512,GK,Southampton,1358,51.23,-0.7,,Manchester City
68,Alex,McCarthy,512,GK,Southampton,1359,50.88,-1.0,,Manchester City
69,Alex,McCarthy,512,GK,Southampton,1360,50.71,-1.05,,Manchester City
70,Alex,McCarthy,512,GK,Southampton,1361,50.69,-0.9,,Manchester City
71,Alex,McCarthy,512,GK,Southampton,1362,50.8,-0.54,,Manchester City
72,Alex,McCarthy,512,GK,Southampton,1363,50.79,-0.35,,Manchester City
73,Alex,McCarthy,512,GK,Southampton,1364,50.65,-0.35,,Manchester City
74,Alex,McCarthy,512,GK,Southampton,1365,50.51,-0.42,,Manchester City
75,Alex,McCarthy,512,GK,Southampton,1366,50.44,-0.4,,Manchester City
76,Alex,McCarthy,512,GK,Southampton,1367,50.37,-0.35,,Manchester City
77,Alex,McCarthy,512,GK,Southampton,1368,50.29,-0.25,,Manchester City
78,Alex,McCarthy,512,GK,Southampton,1369,50.2,-0.09,,Manchester City
79,Alex,McCarthy,512,GK,Southampton,1370,50.08,0.01,,Manchester City
80,Alex,McCarthy,512,GK,Southampton,1371,49.93,-0.01,,Manchester City
81,Alex,McCarthy,512,GK,Southampton,1372,49.84,0.0,,Manchester City
82,Alex,McCarthy,512,GK,Southampton,1373,49.74,-0.0,,Manchester City
83,Alex,McCarthy,512,GK,Southampton,1374,49.57,-0.07,,Manchester City
84,Alex,McCarthy,512,GK,Southampton,1375,49.45,-0.05,,Manchester City
85,Alex,McCarthy,512,GK,Southampton,1376,49.34,-0.09,,Manchester City
86,Alex,McCarthy,512,GK,Southampton,1377,49.3,-0.15,,Manchester City
87,Alex,McCarthy,512,GK,Southampton,1378,49.34,-0.19,,Manchester City
88,Alex,McCarthy,512,GK,Southampton,1379,49.41,-0.22,,Manchester City
89,Alex,McCarthy,512,GK,Southampton,1380,49.47,-0.28,,Manchester City
90,Alex,McCarthy,512,GK,Southampton,1381,49.52,-0.29,,Manchester City
91,Alex,McCarthy,512,GK,Southampton,1382,49.57,-0.25,5066.0,Manchester City
92,Alex,McCarthy,512,GK,Southampton,1383,49.58,-0.2,5066.0,Manchester City
93,Alex,McCarthy,512,GK,Southampton,1384,49.52,-0.24,5066.0,Manchester City
94,Alex,McCarthy,512,GK,Southampton,1385,49.42,-0.32,5066.0,Manchester City
95,Alex,McCarthy,512,GK,Southampton,1386,49.33,-0.39,5066.0,Manchester City
96,Alex,McCarthy,512,GK,Southampton,1387,49.26,-0.42,5066.0,Manchester City
97,Alex,McCarthy,512,GK,Southampton,1388,49.19,-0.38,5066.0,Manchester City
98,Alex,McCarthy,512,GK,Southampton,1389,49.13,-0.3,5066.0,Manchester City
99,Alex,McCarthy,512,GK,Southampton,1390,49.06,-0.25,5066.0,Manchester City
100,Alex,McCarthy,512,GK,Southampton,1391,48.97,-0.22,5066.0,Manchester City
101,Alex,McCarthy,512,GK,Southampton,1392,48.86,-0.26,5066.0,Manchester City
102,Alex,McCarthy,512,GK,Southampton,1393,48.76,-0.29,5066.0,Manchester City
103,Alex,McCarthy,512,GK,Southampton,1394,48.61,-0.35,5066.0,Manchester City
104,Alex,McCarthy,512,GK,Southampton,1395,48.46,-0.39,5066.0,Manchester City
105,Alex,McCarthy,512,GK,Southampton,1396,48.34,-0.42,5066.0,Manchester City
106,Alex,McCarthy,512,GK,Southampton,1397,48.2,-0.42,5066.0,Manchester City
107,Alex,McCarthy,512,GK,Southampton,1398,48.04,-0.43,5066.0,Manchester City
108,Alex,McCarthy,512,GK,Southampton,1399,47.9,-0.47,5066.0,Manchester City
109,Alex,McCarthy,512,GK,Southampton,1400,47.76,-0.5,5066.0,Manchester City
110,Alex,McCarthy,512,GK,Southampton,1401,47.63,-0.58,5066.0,Manchester City
111,Alex,McCarthy,512,GK,Southampton,1402,47.53,-0.62,5066.0,Manchester City
112,Alex,McCarthy,512,GK,Southampton,1403,47.45,-0.59,5066.0,Manchester City
113,Alex,McCarthy,512,GK,Southampton,1404,47.33,-0.56,5066.0,Manchester City
