,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Danny,Ings,2321,RF,Southampton,42,1.65,-9.95,,Manchester City
1,Danny,Ings,2321,RF,Southampton,43,1.65,-9.93,,Manchester City
2,Danny,Ings,2321,RF,Southampton,44,1.65,-9.91,,Manchester City
3,Danny,Ings,2321,RF,Southampton,45,1.64,-9.89,,Manchester City
4,Danny,Ings,2321,RF,Southampton,46,1.64,-9.87,,Manchester City
5,Danny,Ings,2321,RF,Southampton,47,1.64,-9.85,,Manchester City
6,Danny,Ings,2321,RF,Southampton,48,1.64,-9.85,,Manchester City
7,Danny,Ings,2321,RF,Southampton,49,1.63,-9.85,,Manchester City
8,Danny,Ings,2321,RF,Southampton,50,1.63,-9.86,,Manchester City
9,Danny,Ings,2321,RF,Southampton,51,1.63,-9.86,,Manchester City
10,Danny,Ings,2321,RF,Southampton,52,1.63,-9.87,,Manchester City
11,Danny,Ings,2321,RF,Southampton,53,1.63,-9.87,,Manchester City
12,Danny,Ings,2321,RF,Southampton,54,1.63,-9.88,,Manchester City
13,Danny,Ings,2321,RF,Southampton,55,1.63,-9.89,,Manchester City
14,Danny,Ings,2321,RF,Southampton,56,1.63,-9.89,,Manchester City
15,Danny,Ings,2321,RF,Southampton,57,1.63,-9.89,,Manchester City
16,Danny,Ings,2321,RF,Southampton,58,1.63,-9.9,,Manchester City
17,Danny,Ings,2321,RF,Southampton,59,1.62,-9.9,,Manchester City
18,Danny,Ings,2321,RF,Southampton,60,1.61,-9.9,,Manchester City
19,Danny,Ings,2321,RF,Southampton,61,1.6,-9.9,,Manchester City
20,Danny,Ings,2321,RF,Southampton,62,1.58,-9.89,,Manchester City
21,Danny,Ings,2321,RF,Southampton,132,2.04,-10.39,,Manchester City
22,Danny,Ings,2321,RF,Southampton,133,1.97,-10.49,,Manchester City
23,Danny,Ings,2321,RF,Southampton,134,1.91,-10.56,,Manchester City
24,Danny,Ings,2321,RF,Southampton,135,1.87,-10.6,,Manchester City
25,Danny,Ings,2321,RF,Southampton,136,1.87,-10.6,,Manchester City
26,Danny,Ings,2321,RF,Southampton,137,1.86,-10.6,,Manchester City
27,Danny,Ings,2321,RF,Southampton,138,1.84,-10.6,,Manchester City
28,Danny,Ings,2321,RF,Southampton,139,1.82,-10.58,,Manchester City
29,Danny,Ings,2321,RF,Southampton,140,1.8,-10.57,,Manchester City
30,Danny,Ings,2321,RF,Southampton,141,1.78,-10.58,3397.0,Manchester City
31,Danny,Ings,2321,RF,Southampton,142,1.76,-10.59,3397.0,Manchester City
32,Danny,Ings,2321,RF,Southampton,143,1.74,-10.59,3397.0,Manchester City
33,Danny,Ings,2321,RF,Southampton,144,1.72,-10.63,3397.0,Manchester City
34,Danny,Ings,2321,RF,Southampton,145,1.69,-10.74,3397.0,Manchester City
35,Danny,Ings,2321,RF,Southampton,146,1.67,-10.78,3397.0,Manchester City
36,Danny,Ings,2321,RF,Southampton,147,1.65,-10.73,3397.0,Manchester City
37,Danny,Ings,2321,RF,Southampton,148,1.62,-10.59,3397.0,Manchester City
38,Danny,Ings,2321,RF,Southampton,149,1.59,-10.4,3397.0,Manchester City
39,Danny,Ings,2321,RF,Southampton,150,1.55,-10.23,3397.0,Manchester City
40,Danny,Ings,2321,RF,Southampton,151,1.5,-10.23,3397.0,Manchester City
41,Danny,Ings,2321,RF,Southampton,152,1.45,-10.28,3397.0,Manchester City
42,Danny,Ings,2321,RF,Southampton,153,1.43,-10.33,3397.0,Manchester City
43,Danny,Ings,2321,RF,Southampton,154,1.4,-10.37,3397.0,Manchester City
44,Danny,Ings,2321,RF,Southampton,155,1.38,-10.39,3397.0,Manchester City
45,Danny,Ings,2321,RF,Southampton,156,1.36,-10.37,3397.0,Manchester City
46,Danny,Ings,2321,RF,Southampton,157,1.34,-10.3,3397.0,Manchester City
47,Danny,Ings,2321,RF,Southampton,158,1.3,-10.35,3397.0,Manchester City
48,Danny,Ings,2321,RF,Southampton,159,1.26,-10.44,3397.0,Manchester City
49,Danny,Ings,2321,RF,Southampton,160,1.22,-10.56,3397.0,Manchester City
50,Danny,Ings,2321,RF,Southampton,161,1.2,-10.66,3397.0,Manchester City
51,Danny,Ings,2321,RF,Southampton,162,1.19,-10.72,,Manchester City
52,Danny,Ings,2321,RF,Southampton,163,1.2,-10.7,,Manchester City
53,Danny,Ings,2321,RF,Southampton,164,1.22,-10.63,,Manchester City
54,Danny,Ings,2321,RF,Southampton,165,1.25,-10.5,,Manchester City
55,Danny,Ings,2321,RF,Southampton,166,1.3,-10.35,,Manchester City
56,Danny,Ings,2321,RF,Southampton,167,1.34,-10.2,,Manchester City
57,Danny,Ings,2321,RF,Southampton,168,1.37,-10.12,,Manchester City
58,Danny,Ings,2321,RF,Southampton,169,1.4,-10.15,,Manchester City
59,Danny,Ings,2321,RF,Southampton,170,1.41,-10.16,,Manchester City
60,Danny,Ings,2321,RF,Southampton,171,1.43,-10.16,,Manchester City
61,Danny,Ings,2321,RF,Southampton,172,1.44,-10.17,,Manchester City
62,Danny,Ings,2321,RF,Southampton,173,1.44,-10.16,,Manchester City
63,Danny,Ings,2321,RF,Southampton,174,1.44,-10.14,,Manchester City
64,Danny,Ings,2321,RF,Southampton,175,1.43,-10.13,,Manchester City
65,Danny,Ings,2321,RF,Southampton,176,1.42,-10.11,,Manchester City
66,Danny,Ings,2321,RF,Southampton,177,1.41,-10.1,,Manchester City
67,Danny,Ings,2321,RF,Southampton,178,1.4,-10.09,,Manchester City
68,Danny,Ings,2321,RF,Southampton,179,1.38,-10.05,,Manchester City
69,Danny,Ings,2321,RF,Southampton,180,1.38,-9.95,,Manchester City
70,Danny,Ings,2321,RF,Southampton,181,1.38,-9.8,,Manchester City
71,Danny,Ings,2321,RF,Southampton,182,1.38,-9.72,,Manchester City
72,Danny,Ings,2321,RF,Southampton,183,1.38,-9.69,,Manchester City
73,Danny,Ings,2321,RF,Southampton,184,1.4,-9.65,,Manchester City
74,Danny,Ings,2321,RF,Southampton,185,1.42,-9.56,,Manchester City
75,Danny,Ings,2321,RF,Southampton,186,1.45,-9.42,,Manchester City
76,Danny,Ings,2321,RF,Southampton,187,1.46,-9.34,,Manchester City
77,Danny,Ings,2321,RF,Southampton,188,1.46,-9.36,,Manchester City
78,Danny,Ings,2321,RF,Southampton,189,1.45,-9.41,,Manchester City
79,Danny,Ings,2321,RF,Southampton,190,1.47,-9.49,,Manchester City
80,Danny,Ings,2321,RF,Southampton,191,1.51,-9.52,,Manchester City
