,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,James,Ward-Prowse,4691,RM,Southampton,42,8.15,-5.41,,Manchester City
1,James,Ward-Prowse,4691,RM,Southampton,43,8.15,-5.39,,Manchester City
2,James,Ward-Prowse,4691,RM,Southampton,44,8.17,-5.33,,Manchester City
3,James,Ward-Prowse,4691,RM,Southampton,45,8.2,-5.23,,Manchester City
4,James,Ward-Prowse,4691,RM,Southampton,46,8.25,-5.11,,Manchester City
5,James,Ward-Prowse,4691,RM,Southampton,47,8.3,-4.91,,Manchester City
6,James,Ward-Prowse,4691,RM,Southampton,48,8.36,-4.69,,Manchester City
7,James,Ward-Prowse,4691,RM,Southampton,49,8.41,-4.57,,Manchester City
8,James,Ward-Prowse,4691,RM,Southampton,50,8.46,-4.48,,Manchester City
9,James,Ward-Prowse,4691,RM,Southampton,51,8.49,-4.44,,Manchester City
10,James,Ward-Prowse,4691,RM,Southampton,52,8.53,-4.42,,Manchester City
11,James,Ward-Prowse,4691,RM,Southampton,53,8.55,-4.44,,Manchester City
12,James,Ward-Prowse,4691,RM,Southampton,54,8.58,-4.44,,Manchester City
13,James,Ward-Prowse,4691,RM,Southampton,55,8.61,-4.55,,Manchester City
14,James,Ward-Prowse,4691,RM,Southampton,56,8.66,-4.57,,Manchester City
15,James,Ward-Prowse,4691,RM,Southampton,57,8.72,-4.48,,Manchester City
16,James,Ward-Prowse,4691,RM,Southampton,58,8.77,-4.5,,Manchester City
17,James,Ward-Prowse,4691,RM,Southampton,59,8.79,-4.55,,Manchester City
18,James,Ward-Prowse,4691,RM,Southampton,60,8.82,-4.6,,Manchester City
19,James,Ward-Prowse,4691,RM,Southampton,61,8.83,-4.68,,Manchester City
20,James,Ward-Prowse,4691,RM,Southampton,62,8.84,-4.77,,Manchester City
21,James,Ward-Prowse,4691,RM,Southampton,132,9.71,0.74,,Manchester City
22,James,Ward-Prowse,4691,RM,Southampton,133,9.48,0.22,,Manchester City
23,James,Ward-Prowse,4691,RM,Southampton,134,9.32,-0.14,,Manchester City
24,James,Ward-Prowse,4691,RM,Southampton,135,9.26,-0.34,,Manchester City
25,James,Ward-Prowse,4691,RM,Southampton,136,9.34,-0.35,,Manchester City
26,James,Ward-Prowse,4691,RM,Southampton,137,9.42,-0.17,,Manchester City
27,James,Ward-Prowse,4691,RM,Southampton,138,9.51,-0.11,,Manchester City
28,James,Ward-Prowse,4691,RM,Southampton,139,9.56,-0.13,,Manchester City
29,James,Ward-Prowse,4691,RM,Southampton,140,9.6,-0.12,,Manchester City
30,James,Ward-Prowse,4691,RM,Southampton,141,9.6,-0.29,3397.0,Manchester City
31,James,Ward-Prowse,4691,RM,Southampton,142,9.62,-0.33,3397.0,Manchester City
32,James,Ward-Prowse,4691,RM,Southampton,143,9.65,-0.24,3397.0,Manchester City
33,James,Ward-Prowse,4691,RM,Southampton,144,9.7,-0.23,3397.0,Manchester City
34,James,Ward-Prowse,4691,RM,Southampton,145,9.75,-0.19,3397.0,Manchester City
35,James,Ward-Prowse,4691,RM,Southampton,146,9.79,-0.14,3397.0,Manchester City
36,James,Ward-Prowse,4691,RM,Southampton,147,9.84,-0.07,3397.0,Manchester City
37,James,Ward-Prowse,4691,RM,Southampton,156,9.82,-0.22,3397.0,Manchester City
38,James,Ward-Prowse,4691,RM,Southampton,157,9.82,-0.24,3397.0,Manchester City
39,James,Ward-Prowse,4691,RM,Southampton,158,9.82,-0.25,3397.0,Manchester City
40,James,Ward-Prowse,4691,RM,Southampton,159,9.82,-0.25,3397.0,Manchester City
41,James,Ward-Prowse,4691,RM,Southampton,160,9.83,-0.21,3397.0,Manchester City
42,James,Ward-Prowse,4691,RM,Southampton,161,9.83,-0.21,3397.0,Manchester City
43,James,Ward-Prowse,4691,RM,Southampton,162,9.83,-0.23,,Manchester City
44,James,Ward-Prowse,4691,RM,Southampton,163,9.83,-0.21,,Manchester City
45,James,Ward-Prowse,4691,RM,Southampton,164,9.81,-0.37,,Manchester City
46,James,Ward-Prowse,4691,RM,Southampton,165,9.78,-0.56,,Manchester City
47,James,Ward-Prowse,4691,RM,Southampton,166,9.74,-0.73,,Manchester City
48,James,Ward-Prowse,4691,RM,Southampton,167,9.72,-0.86,,Manchester City
49,James,Ward-Prowse,4691,RM,Southampton,168,9.71,-0.9,,Manchester City
50,James,Ward-Prowse,4691,RM,Southampton,169,9.72,-0.87,,Manchester City
51,James,Ward-Prowse,4691,RM,Southampton,170,9.71,-0.92,,Manchester City
52,James,Ward-Prowse,4691,RM,Southampton,171,9.72,-0.97,,Manchester City
53,James,Ward-Prowse,4691,RM,Southampton,172,9.72,-1.02,,Manchester City
54,James,Ward-Prowse,4691,RM,Southampton,173,9.71,-1.14,,Manchester City
55,James,Ward-Prowse,4691,RM,Southampton,174,9.69,-1.3,,Manchester City
56,James,Ward-Prowse,4691,RM,Southampton,175,9.68,-1.38,,Manchester City
57,James,Ward-Prowse,4691,RM,Southampton,176,9.7,-1.29,,Manchester City
58,James,Ward-Prowse,4691,RM,Southampton,177,9.73,-1.07,,Manchester City
59,James,Ward-Prowse,4691,RM,Southampton,178,9.77,-0.77,,Manchester City
60,James,Ward-Prowse,4691,RM,Southampton,179,9.79,-0.59,,Manchester City
61,James,Ward-Prowse,4691,RM,Southampton,180,9.79,-0.53,,Manchester City
62,James,Ward-Prowse,4691,RM,Southampton,181,9.79,-0.47,,Manchester City
63,James,Ward-Prowse,4691,RM,Southampton,182,9.79,-0.43,,Manchester City
64,James,Ward-Prowse,4691,RM,Southampton,183,9.79,-0.41,,Manchester City
65,James,Ward-Prowse,4691,RM,Southampton,184,9.79,-0.42,,Manchester City
66,James,Ward-Prowse,4691,RM,Southampton,185,9.79,-0.45,,Manchester City
67,James,Ward-Prowse,4691,RM,Southampton,186,9.8,-0.51,,Manchester City
68,James,Ward-Prowse,4691,RM,Southampton,308,10.11,0.2,,Manchester City
69,James,Ward-Prowse,4691,RM,Southampton,309,10.03,0.0,,Manchester City
70,James,Ward-Prowse,4691,RM,Southampton,310,9.97,-0.14,,Manchester City
71,James,Ward-Prowse,4691,RM,Southampton,311,9.94,-0.22,,Manchester City
72,James,Ward-Prowse,4691,RM,Southampton,312,9.94,-0.18,,Manchester City
73,James,Ward-Prowse,4691,RM,Southampton,313,9.96,-0.12,,Manchester City
74,James,Ward-Prowse,4691,RM,Southampton,314,9.95,-0.24,,Manchester City
75,James,Ward-Prowse,4691,RM,Southampton,315,9.93,-0.33,,Manchester City
76,James,Ward-Prowse,4691,RM,Southampton,316,9.93,-0.33,,Manchester City
77,James,Ward-Prowse,4691,RM,Southampton,317,9.94,-0.15,,Manchester City
78,James,Ward-Prowse,4691,RM,Southampton,318,9.96,-0.08,,Manchester City
79,James,Ward-Prowse,4691,RM,Southampton,319,9.96,-0.05,,Manchester City
80,James,Ward-Prowse,4691,RM,Southampton,320,9.94,-0.19,,Manchester City
81,James,Ward-Prowse,4691,RM,Southampton,321,9.11,-6.94,,Manchester City
82,James,Ward-Prowse,4691,RM,Southampton,322,9.11,-7.06,,Manchester City
83,James,Ward-Prowse,4691,RM,Southampton,323,9.13,-7.1,,Manchester City
84,James,Ward-Prowse,4691,RM,Southampton,324,9.19,-7.03,,Manchester City
