,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Nathan,Redmond,55,LW,Southampton,51,0.06,0.55,,Manchester City
1,Nathan,Redmond,55,LW,Southampton,52,0.05,0.53,,Manchester City
2,Nathan,Redmond,55,LW,Southampton,53,0.05,0.45,,Manchester City
3,Nathan,Redmond,55,LW,Southampton,54,0.06,0.36,,Manchester City
4,Nathan,Redmond,55,LW,Southampton,55,0.04,0.27,,Manchester City
5,Nathan,Redmond,55,LW,Southampton,56,0.03,0.19,,Manchester City
6,Nathan,Redmond,55,LW,Southampton,57,0.02,0.2,,Manchester City
7,Nathan,Redmond,55,LW,Southampton,58,0.02,0.24,,Manchester City
8,Nathan,Redmond,55,LW,Southampton,59,0.02,0.31,,Manchester City
9,Nathan,Redmond,55,LW,Southampton,60,0.02,0.44,,Manchester City
10,Nathan,Redmond,55,LW,Southampton,61,0.01,0.4,,Manchester City
11,Nathan,Redmond,55,LW,Southampton,62,0.0,0.42,,Manchester City
12,Nathan,Redmond,55,LW,Southampton,141,-13.33,-0.02,3397.0,Manchester City
13,Nathan,Redmond,55,LW,Southampton,142,-13.33,0.03,3397.0,Manchester City
14,Nathan,Redmond,55,LW,Southampton,143,-13.36,0.14,3397.0,Manchester City
15,Nathan,Redmond,55,LW,Southampton,144,-13.36,0.17,3397.0,Manchester City
16,Nathan,Redmond,55,LW,Southampton,145,-13.32,0.01,3397.0,Manchester City
17,Nathan,Redmond,55,LW,Southampton,146,-13.28,-0.12,3397.0,Manchester City
18,Nathan,Redmond,55,LW,Southampton,147,-13.28,-0.12,3397.0,Manchester City
19,Nathan,Redmond,55,LW,Southampton,148,-13.27,-0.07,3397.0,Manchester City
20,Nathan,Redmond,55,LW,Southampton,149,-13.27,0.07,3397.0,Manchester City
21,Nathan,Redmond,55,LW,Southampton,150,-13.28,0.28,3397.0,Manchester City
22,Nathan,Redmond,55,LW,Southampton,311,-0.03,0.41,,Manchester City
23,Nathan,Redmond,55,LW,Southampton,312,-0.03,0.35,,Manchester City
24,Nathan,Redmond,55,LW,Southampton,313,-0.03,0.35,,Manchester City
25,Nathan,Redmond,55,LW,Southampton,314,-0.03,0.36,,Manchester City
26,Nathan,Redmond,55,LW,Southampton,315,-0.03,0.37,,Manchester City
27,Nathan,Redmond,55,LW,Southampton,316,-0.03,0.36,,Manchester City
28,Nathan,Redmond,55,LW,Southampton,317,-0.03,0.36,,Manchester City
29,Nathan,Redmond,55,LW,Southampton,318,-0.03,0.37,,Manchester City
30,Nathan,Redmond,55,LW,Southampton,319,-0.03,0.37,,Manchester City
31,Nathan,Redmond,55,LW,Southampton,320,-0.03,0.37,,Manchester City
32,Nathan,Redmond,55,LW,Southampton,321,-0.03,0.38,,Manchester City
33,Nathan,Redmond,55,LW,Southampton,322,-0.03,0.4,,Manchester City
34,Nathan,Redmond,55,LW,Southampton,323,-0.04,0.41,,Manchester City
35,Nathan,Redmond,55,LW,Southampton,324,-0.04,0.41,,Manchester City
36,Nathan,Redmond,55,LW,Southampton,325,-0.05,0.39,,Manchester City
37,Nathan,Redmond,55,LW,Southampton,326,-0.05,0.37,,Manchester City
38,Nathan,Redmond,55,LW,Southampton,327,-0.04,0.35,,Manchester City
39,Nathan,Redmond,55,LW,Southampton,328,-0.04,0.35,,Manchester City
40,Nathan,Redmond,55,LW,Southampton,329,-0.03,0.36,,Manchester City
41,Nathan,Redmond,55,LW,Southampton,330,-0.02,0.37,,Manchester City
42,Nathan,Redmond,55,LW,Southampton,331,-0.03,0.38,,Manchester City
43,Nathan,Redmond,55,LW,Southampton,332,-0.06,0.43,,Manchester City
44,Nathan,Redmond,55,LW,Southampton,333,-0.04,0.18,,Manchester City
45,Nathan,Redmond,55,LW,Southampton,334,0.0,0.01,,Manchester City
46,Nathan,Redmond,55,LW,Southampton,335,0.04,-0.06,,Manchester City
47,Nathan,Redmond,55,LW,Southampton,336,0.05,-0.0,,Manchester City
48,Nathan,Redmond,55,LW,Southampton,337,0.04,0.15,,Manchester City
49,Nathan,Redmond,55,LW,Southampton,338,0.04,0.22,,Manchester City
50,Nathan,Redmond,55,LW,Southampton,339,0.04,0.28,,Manchester City
51,Nathan,Redmond,55,LW,Southampton,340,0.03,0.33,,Manchester City
52,Nathan,Redmond,55,LW,Southampton,341,0.07,0.14,,Manchester City
53,Nathan,Redmond,55,LW,Southampton,351,-0.05,-0.57,,Manchester City
54,Nathan,Redmond,55,LW,Southampton,352,0.01,-0.6,,Manchester City
55,Nathan,Redmond,55,LW,Southampton,353,0.08,-0.46,,Manchester City
56,Nathan,Redmond,55,LW,Southampton,354,0.13,-0.13,,Manchester City
57,Nathan,Redmond,55,LW,Southampton,355,0.12,0.08,,Manchester City
58,Nathan,Redmond,55,LW,Southampton,356,0.12,0.08,,Manchester City
59,Nathan,Redmond,55,LW,Southampton,357,0.1,-0.14,,Manchester City
60,Nathan,Redmond,55,LW,Southampton,358,0.09,-0.28,,Manchester City
61,Nathan,Redmond,55,LW,Southampton,359,0.06,-0.48,,Manchester City
62,Nathan,Redmond,55,LW,Southampton,360,0.04,-0.74,,Manchester City
63,Nathan,Redmond,55,LW,Southampton,361,0.04,-0.74,,Manchester City
64,Nathan,Redmond,55,LW,Southampton,362,0.02,-0.64,,Manchester City
65,Nathan,Redmond,55,LW,Southampton,591,-0.21,0.87,9077.0,Manchester City
66,Nathan,Redmond,55,LW,Southampton,592,-0.16,0.93,9077.0,Manchester City
67,Nathan,Redmond,55,LW,Southampton,593,-0.04,0.98,9077.0,Manchester City
68,Nathan,Redmond,55,LW,Southampton,594,-0.08,1.28,9077.0,Manchester City
69,Nathan,Redmond,55,LW,Southampton,595,-0.05,1.07,9077.0,Manchester City
70,Nathan,Redmond,55,LW,Southampton,596,-0.01,1.02,9077.0,Manchester City
71,Nathan,Redmond,55,LW,Southampton,597,0.05,0.98,9077.0,Manchester City
72,Nathan,Redmond,55,LW,Southampton,598,0.06,0.89,9077.0,Manchester City
73,Nathan,Redmond,55,LW,Southampton,599,0.04,0.78,11566.0,Manchester City
74,Nathan,Redmond,55,LW,Southampton,600,0.01,0.64,11566.0,Manchester City
75,Nathan,Redmond,55,LW,Southampton,601,-0.07,0.6,11566.0,Manchester City
76,Nathan,Redmond,55,LW,Southampton,602,-0.1,0.54,11566.0,Manchester City
77,Nathan,Redmond,55,LW,Southampton,603,-0.07,0.57,11566.0,Manchester City
78,Nathan,Redmond,55,LW,Southampton,604,-0.06,0.57,11566.0,Manchester City
79,Nathan,Redmond,55,LW,Southampton,605,-0.06,0.58,11566.0,Manchester City
80,Nathan,Redmond,55,LW,Southampton,606,-0.07,0.64,11566.0,Manchester City
81,Nathan,Redmond,55,LW,Southampton,607,-0.06,0.67,11566.0,Manchester City
82,Nathan,Redmond,55,LW,Southampton,608,-0.06,0.69,11566.0,Manchester City
83,Nathan,Redmond,55,LW,Southampton,609,-0.06,0.68,11566.0,Manchester City
84,Nathan,Redmond,55,LW,Southampton,610,-0.06,0.65,11566.0,Manchester City
85,Nathan,Redmond,55,LW,Southampton,611,0.01,0.49,11566.0,Manchester City
86,Nathan,Redmond,55,LW,Southampton,612,0.04,0.38,,Manchester City
87,Nathan,Redmond,55,LW,Southampton,631,-13.79,-1.2,,Manchester City
88,Nathan,Redmond,55,LW,Southampton,632,-13.8,-1.54,,Manchester City
89,Nathan,Redmond,55,LW,Southampton,633,-13.81,-2.05,,Manchester City
90,Nathan,Redmond,55,LW,Southampton,634,-13.97,-2.93,,Manchester City
91,Nathan,Redmond,55,LW,Southampton,635,-14.26,-4.17,,Manchester City
92,Nathan,Redmond,55,LW,Southampton,636,-14.68,-5.47,,Manchester City
93,Nathan,Redmond,55,LW,Southampton,637,-15.14,-6.85,,Manchester City
94,Nathan,Redmond,55,LW,Southampton,638,-15.47,-8.32,,Manchester City
95,Nathan,Redmond,55,LW,Southampton,639,-15.76,-9.87,,Manchester City
96,Nathan,Redmond,55,LW,Southampton,640,-15.99,-11.49,,Manchester City
97,Nathan,Redmond,55,LW,Southampton,641,-16.2,-13.02,,Manchester City
98,Nathan,Redmond,55,LW,Southampton,642,-16.37,-14.39,,Manchester City
99,Nathan,Redmond,55,LW,Southampton,643,-16.53,-15.62,,Manchester City
100,Nathan,Redmond,55,LW,Southampton,644,-16.65,-16.81,,Manchester City
101,Nathan,Redmond,55,LW,Southampton,645,-16.75,-17.92,,Manchester City
102,Nathan,Redmond,55,LW,Southampton,646,-16.86,-18.91,,Manchester City
103,Nathan,Redmond,55,LW,Southampton,647,-16.95,-19.86,,Manchester City
104,Nathan,Redmond,55,LW,Southampton,648,-17.1,-20.63,5066.0,Manchester City
105,Nathan,Redmond,55,LW,Southampton,649,-17.26,-21.27,5066.0,Manchester City
106,Nathan,Redmond,55,LW,Southampton,650,-17.44,-21.77,5066.0,Manchester City
