,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Oleksandr,Zinchenko,11671,LWB,Manchester City,132,-15.49,14.9,,Manchester City
1,Oleksandr,Zinchenko,11671,LWB,Manchester City,133,-15.16,14.24,,Manchester City
2,Oleksandr,Zinchenko,11671,LWB,Manchester City,134,-14.93,13.8,,Manchester City
3,Oleksandr,Zinchenko,11671,LWB,Manchester City,135,-14.81,13.58,,Manchester City
4,Oleksandr,Zinchenko,11671,LWB,Manchester City,136,-14.9,13.74,,Manchester City
5,Oleksandr,Zinchenko,11671,LWB,Manchester City,137,-14.97,13.92,,Manchester City
6,Oleksandr,Zinchenko,11671,LWB,Manchester City,138,-15.03,14.11,,Manchester City
7,Oleksandr,Zinchenko,11671,LWB,Manchester City,139,-15.08,14.29,,Manchester City
8,Oleksandr,Zinchenko,11671,LWB,Manchester City,140,-15.11,14.36,,Manchester City
9,Oleksandr,Zinchenko,11671,LWB,Manchester City,141,-15.13,14.28,3397.0,Manchester City
10,Oleksandr,Zinchenko,11671,LWB,Manchester City,142,-15.12,14.07,3397.0,Manchester City
11,Oleksandr,Zinchenko,11671,LWB,Manchester City,143,-15.14,13.85,3397.0,Manchester City
12,Oleksandr,Zinchenko,11671,LWB,Manchester City,144,-15.17,13.75,3397.0,Manchester City
13,Oleksandr,Zinchenko,11671,LWB,Manchester City,145,-15.21,13.76,3397.0,Manchester City
14,Oleksandr,Zinchenko,11671,LWB,Manchester City,146,-15.25,13.84,3397.0,Manchester City
15,Oleksandr,Zinchenko,11671,LWB,Manchester City,147,-15.3,13.94,3397.0,Manchester City
16,Oleksandr,Zinchenko,11671,LWB,Manchester City,148,-15.33,14.0,3397.0,Manchester City
17,Oleksandr,Zinchenko,11671,LWB,Manchester City,149,-15.38,14.03,3397.0,Manchester City
18,Oleksandr,Zinchenko,11671,LWB,Manchester City,150,-15.42,14.07,3397.0,Manchester City
19,Oleksandr,Zinchenko,11671,LWB,Manchester City,151,-15.44,14.04,3397.0,Manchester City
20,Oleksandr,Zinchenko,11671,LWB,Manchester City,152,-15.46,13.96,3397.0,Manchester City
21,Oleksandr,Zinchenko,11671,LWB,Manchester City,153,-15.44,13.86,3397.0,Manchester City
22,Oleksandr,Zinchenko,11671,LWB,Manchester City,154,-15.41,13.77,3397.0,Manchester City
23,Oleksandr,Zinchenko,11671,LWB,Manchester City,155,-15.38,13.84,3397.0,Manchester City
24,Oleksandr,Zinchenko,11671,LWB,Manchester City,156,-15.35,13.91,3397.0,Manchester City
25,Oleksandr,Zinchenko,11671,LWB,Manchester City,157,-15.33,13.93,3397.0,Manchester City
26,Oleksandr,Zinchenko,11671,LWB,Manchester City,158,-15.32,13.92,3397.0,Manchester City
27,Oleksandr,Zinchenko,11671,LWB,Manchester City,159,-15.3,13.87,3397.0,Manchester City
28,Oleksandr,Zinchenko,11671,LWB,Manchester City,160,-15.27,13.79,3397.0,Manchester City
29,Oleksandr,Zinchenko,11671,LWB,Manchester City,161,-15.24,13.85,3397.0,Manchester City
30,Oleksandr,Zinchenko,11671,LWB,Manchester City,162,-15.21,13.91,,Manchester City
31,Oleksandr,Zinchenko,11671,LWB,Manchester City,163,-15.19,13.99,,Manchester City
32,Oleksandr,Zinchenko,11671,LWB,Manchester City,164,-15.14,13.97,,Manchester City
