,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Oriol,Romeu,8259,LM,Southampton,132,9.69,-7.69,,Manchester City
1,Oriol,Romeu,8259,LM,Southampton,133,9.48,-7.82,,Manchester City
2,Oriol,Romeu,8259,LM,Southampton,134,9.34,-7.91,,Manchester City
3,Oriol,Romeu,8259,LM,Southampton,135,9.26,-7.95,,Manchester City
4,Oriol,Romeu,8259,LM,Southampton,136,9.3,-7.88,,Manchester City
5,Oriol,Romeu,8259,LM,Southampton,137,9.32,-7.87,,Manchester City
6,Oriol,Romeu,8259,LM,Southampton,138,9.34,-7.88,,Manchester City
7,Oriol,Romeu,8259,LM,Southampton,139,9.35,-7.87,,Manchester City
8,Oriol,Romeu,8259,LM,Southampton,140,9.33,-7.86,,Manchester City
9,Oriol,Romeu,8259,LM,Southampton,141,9.32,-7.85,3397.0,Manchester City
10,Oriol,Romeu,8259,LM,Southampton,142,9.32,-7.79,3397.0,Manchester City
11,Oriol,Romeu,8259,LM,Southampton,143,9.33,-7.76,3397.0,Manchester City
12,Oriol,Romeu,8259,LM,Southampton,144,9.33,-7.78,3397.0,Manchester City
13,Oriol,Romeu,8259,LM,Southampton,145,9.33,-7.8,3397.0,Manchester City
14,Oriol,Romeu,8259,LM,Southampton,146,9.33,-7.81,3397.0,Manchester City
15,Oriol,Romeu,8259,LM,Southampton,147,9.33,-7.82,3397.0,Manchester City
16,Oriol,Romeu,8259,LM,Southampton,148,9.33,-7.8,3397.0,Manchester City
17,Oriol,Romeu,8259,LM,Southampton,149,9.33,-7.8,3397.0,Manchester City
18,Oriol,Romeu,8259,LM,Southampton,150,9.33,-7.78,3397.0,Manchester City
19,Oriol,Romeu,8259,LM,Southampton,151,9.32,-7.76,3397.0,Manchester City
20,Oriol,Romeu,8259,LM,Southampton,152,9.32,-7.75,3397.0,Manchester City
21,Oriol,Romeu,8259,LM,Southampton,153,9.33,-7.73,3397.0,Manchester City
22,Oriol,Romeu,8259,LM,Southampton,154,9.33,-7.74,3397.0,Manchester City
23,Oriol,Romeu,8259,LM,Southampton,155,9.31,-7.75,3397.0,Manchester City
24,Oriol,Romeu,8259,LM,Southampton,156,9.3,-7.75,3397.0,Manchester City
25,Oriol,Romeu,8259,LM,Southampton,157,9.29,-7.76,3397.0,Manchester City
26,Oriol,Romeu,8259,LM,Southampton,158,9.28,-7.76,3397.0,Manchester City
27,Oriol,Romeu,8259,LM,Southampton,159,9.28,-7.76,3397.0,Manchester City
28,Oriol,Romeu,8259,LM,Southampton,160,9.27,-7.74,3397.0,Manchester City
29,Oriol,Romeu,8259,LM,Southampton,161,9.27,-7.71,3397.0,Manchester City
30,Oriol,Romeu,8259,LM,Southampton,162,9.25,-7.7,,Manchester City
31,Oriol,Romeu,8259,LM,Southampton,163,9.24,-7.67,,Manchester City
32,Oriol,Romeu,8259,LM,Southampton,164,9.22,-7.63,,Manchester City
33,Oriol,Romeu,8259,LM,Southampton,165,9.21,-7.62,,Manchester City
34,Oriol,Romeu,8259,LM,Southampton,166,9.21,-7.6,,Manchester City
35,Oriol,Romeu,8259,LM,Southampton,167,9.21,-7.57,,Manchester City
36,Oriol,Romeu,8259,LM,Southampton,168,9.2,-7.55,,Manchester City
37,Oriol,Romeu,8259,LM,Southampton,169,9.2,-7.52,,Manchester City
38,Oriol,Romeu,8259,LM,Southampton,170,9.19,-7.54,,Manchester City
39,Oriol,Romeu,8259,LM,Southampton,171,9.17,-7.62,,Manchester City
40,Oriol,Romeu,8259,LM,Southampton,172,9.15,-7.7,,Manchester City
