,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Phil,Foden,11672,RW,Manchester City,46731,-15.75,-22.25,,Manchester City
1,Phil,Foden,11672,RW,Manchester City,46732,-15.51,-22.38,,Manchester City
2,Phil,Foden,11672,RW,Manchester City,46733,-15.29,-22.49,,Manchester City
3,Phil,Foden,11672,RW,Manchester City,46819,-6.13,-23.79,,Manchester City
4,Phil,Foden,11672,RW,Manchester City,46820,-5.91,-23.72,,Manchester City
5,Phil,Foden,11672,RW,Manchester City,46821,-5.74,-23.52,,Manchester City
6,Phil,Foden,11672,RW,Manchester City,46822,-5.61,-23.21,,Manchester City
7,Phil,Foden,11672,RW,Manchester City,46823,-5.6,-22.69,3397.0,Manchester City
8,Phil,Foden,11672,RW,Manchester City,46824,-5.53,-22.23,3397.0,Manchester City
9,Phil,Foden,11672,RW,Manchester City,46825,-5.47,-21.68,3397.0,Manchester City
10,Phil,Foden,11672,RW,Manchester City,46826,-5.45,-21.06,3397.0,Manchester City
11,Phil,Foden,11672,RW,Manchester City,46827,-5.44,-20.65,3397.0,Manchester City
12,Phil,Foden,11672,RW,Manchester City,46828,-5.54,-20.06,3397.0,Manchester City
13,Phil,Foden,11672,RW,Manchester City,46829,-5.66,-19.5,3397.0,Manchester City
14,Phil,Foden,11672,RW,Manchester City,46830,-5.75,-19.07,3397.0,Manchester City
15,Phil,Foden,11672,RW,Manchester City,46831,-5.91,-18.34,,Manchester City
16,Phil,Foden,11672,RW,Manchester City,46832,-6.08,-17.67,3397.0,Manchester City
17,Phil,Foden,11672,RW,Manchester City,46833,-6.22,-17.29,,Manchester City
18,Phil,Foden,11672,RW,Manchester City,46834,-6.42,-16.55,,Manchester City
19,Phil,Foden,11672,RW,Manchester City,46835,-6.61,-15.93,,Manchester City
20,Phil,Foden,11672,RW,Manchester City,46836,-6.78,-15.48,,Manchester City
21,Phil,Foden,11672,RW,Manchester City,46837,-7.02,-14.8,,Manchester City
22,Phil,Foden,11672,RW,Manchester City,46838,-7.31,-14.22,,Manchester City
23,Phil,Foden,11672,RW,Manchester City,46839,-7.59,-13.91,,Manchester City
24,Phil,Foden,11672,RW,Manchester City,46840,-7.9,-13.42,,Manchester City
25,Phil,Foden,11672,RW,Manchester City,46841,-8.22,-12.93,,Manchester City
26,Phil,Foden,11672,RW,Manchester City,46842,-8.56,-12.68,5821.0,Manchester City
27,Phil,Foden,11672,RW,Manchester City,46843,-8.94,-12.38,5821.0,Manchester City
28,Phil,Foden,11672,RW,Manchester City,46844,-9.36,-12.0,5821.0,Manchester City
29,Phil,Foden,11672,RW,Manchester City,46845,-9.77,-11.71,5821.0,Manchester City
30,Phil,Foden,11672,RW,Manchester City,46846,-10.16,-11.52,5821.0,Manchester City
31,Phil,Foden,11672,RW,Manchester City,46847,-10.54,-11.25,5821.0,Manchester City
32,Phil,Foden,11672,RW,Manchester City,46848,-10.94,-11.04,5821.0,Manchester City
33,Phil,Foden,11672,RW,Manchester City,46849,-11.35,-10.94,,Manchester City
34,Phil,Foden,11672,RW,Manchester City,46850,-11.77,-10.66,,Manchester City
35,Phil,Foden,11672,RW,Manchester City,46851,-12.21,-10.3,,Manchester City
36,Phil,Foden,11672,RW,Manchester City,46852,-12.65,-10.05,,Manchester City
37,Phil,Foden,11672,RW,Manchester City,46853,-13.06,-9.89,,Manchester City
38,Phil,Foden,11672,RW,Manchester City,46854,-13.49,-9.59,9414.0,Southampton
39,Phil,Foden,11672,RW,Manchester City,46855,-13.96,-9.38,9414.0,Southampton
40,Phil,Foden,11672,RW,Manchester City,46856,-14.4,-9.15,9414.0,Southampton
41,Phil,Foden,11672,RW,Manchester City,46857,-14.79,-8.97,9414.0,Southampton
42,Phil,Foden,11672,RW,Manchester City,46858,-15.14,-8.77,9414.0,Southampton
43,Phil,Foden,11672,RW,Manchester City,46859,-15.42,-8.66,9414.0,Southampton
44,Phil,Foden,11672,RW,Manchester City,46860,-15.74,-8.41,9414.0,Southampton
45,Phil,Foden,11672,RW,Manchester City,46861,-16.07,-8.18,9414.0,Southampton
46,Phil,Foden,11672,RW,Manchester City,46862,-16.34,-8.06,9414.0,Southampton
47,Phil,Foden,11672,RW,Manchester City,46863,-16.47,-8.03,9414.0,Southampton
48,Phil,Foden,11672,RW,Manchester City,46864,-16.45,-7.89,9414.0,Southampton
49,Phil,Foden,11672,RW,Manchester City,46865,-16.33,-7.6,9414.0,Southampton
50,Phil,Foden,11672,RW,Manchester City,46866,-16.19,-7.3,9414.0,Southampton
51,Phil,Foden,11672,RW,Manchester City,46867,-16.04,-7.12,9414.0,Southampton
