,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Shane,Long,9805,LF,Southampton,53741,9.63,1.95,2501.0,Manchester City
1,Shane,Long,9805,LF,Southampton,53742,9.86,1.97,2501.0,Manchester City
2,Shane,Long,9805,LF,Southampton,53743,10.13,1.82,,Manchester City
3,Shane,Long,9805,LF,Southampton,53744,10.4,1.6,,Manchester City
4,Shane,Long,9805,LF,Southampton,53745,10.68,1.4,,Manchester City
5,Shane,Long,9805,LF,Southampton,53746,11.04,1.27,,Manchester City
6,Shane,Long,9805,LF,Southampton,53747,11.4,1.11,,Manchester City
7,Shane,Long,9805,LF,Southampton,53748,11.78,1.11,,Manchester City
8,Shane,Long,9805,LF,Southampton,53749,12.17,1.23,,Manchester City
9,Shane,Long,9805,LF,Southampton,53750,12.54,1.2,,Manchester City
10,Shane,Long,9805,LF,Southampton,53751,12.92,1.37,,Manchester City
11,Shane,Long,9805,LF,Southampton,53752,13.28,1.5,,Manchester City
12,Shane,Long,9805,LF,Southampton,53753,13.68,1.56,,Manchester City
13,Shane,Long,9805,LF,Southampton,53754,14.07,1.62,,Manchester City
14,Shane,Long,9805,LF,Southampton,53755,14.39,1.59,,Manchester City
15,Shane,Long,9805,LF,Southampton,53756,14.77,1.6,,Manchester City
16,Shane,Long,9805,LF,Southampton,53757,15.18,1.81,,Manchester City
17,Shane,Long,9805,LF,Southampton,53758,15.54,1.94,,Manchester City
18,Shane,Long,9805,LF,Southampton,53759,16.01,2.15,,Manchester City
19,Shane,Long,9805,LF,Southampton,53760,16.4,2.17,,Manchester City
20,Shane,Long,9805,LF,Southampton,53761,16.77,2.25,,Manchester City
21,Shane,Long,9805,LF,Southampton,53762,17.16,2.32,,Manchester City
22,Shane,Long,9805,LF,Southampton,53763,17.52,2.39,,Manchester City
23,Shane,Long,9805,LF,Southampton,53764,17.94,2.7,,Manchester City
24,Shane,Long,9805,LF,Southampton,53765,18.37,3.03,,Manchester City
25,Shane,Long,9805,LF,Southampton,53766,18.72,3.21,,Manchester City
26,Shane,Long,9805,LF,Southampton,53767,19.1,3.54,,Manchester City
27,Shane,Long,9805,LF,Southampton,53768,19.42,3.74,,Manchester City
28,Shane,Long,9805,LF,Southampton,53769,19.7,3.8,,Manchester City
29,Shane,Long,9805,LF,Southampton,53770,20.04,4.13,,Manchester City
30,Shane,Long,9805,LF,Southampton,53771,20.32,4.39,,Manchester City
31,Shane,Long,9805,LF,Southampton,53772,20.6,4.55,,Manchester City
32,Shane,Long,9805,LF,Southampton,53773,20.87,4.76,,Manchester City
33,Shane,Long,9805,LF,Southampton,53774,21.16,5.03,,Manchester City
34,Shane,Long,9805,LF,Southampton,53775,21.41,5.27,,Manchester City
35,Shane,Long,9805,LF,Southampton,53776,21.69,5.53,,Manchester City
36,Shane,Long,9805,LF,Southampton,53777,21.91,5.61,,Manchester City
37,Shane,Long,9805,LF,Southampton,53778,22.16,5.76,,Manchester City
38,Shane,Long,9805,LF,Southampton,53779,22.39,5.91,,Manchester City
39,Shane,Long,9805,LF,Southampton,53780,22.65,6.09,,Manchester City
40,Shane,Long,9805,LF,Southampton,53781,22.95,6.42,,Manchester City
41,Shane,Long,9805,LF,Southampton,53782,23.23,6.69,,Manchester City
42,Shane,Long,9805,LF,Southampton,53783,23.46,6.74,,Manchester City
43,Shane,Long,9805,LF,Southampton,53784,23.72,6.96,,Manchester City
44,Shane,Long,9805,LF,Southampton,53785,23.95,7.11,2934.0,Manchester City
45,Shane,Long,9805,LF,Southampton,53786,24.17,7.16,2934.0,Manchester City
46,Shane,Long,9805,LF,Southampton,53787,24.46,7.33,2934.0,Manchester City
47,Shane,Long,9805,LF,Southampton,53788,24.73,7.49,2934.0,Manchester City
48,Shane,Long,9805,LF,Southampton,53789,24.98,7.53,2934.0,Manchester City
49,Shane,Long,9805,LF,Southampton,53790,25.23,7.54,2934.0,Manchester City
50,Shane,Long,9805,LF,Southampton,53791,25.43,7.46,2934.0,Manchester City
51,Shane,Long,9805,LF,Southampton,53792,25.62,7.3,2934.0,Manchester City
52,Shane,Long,9805,LF,Southampton,53793,25.83,7.21,2934.0,Manchester City
53,Shane,Long,9805,LF,Southampton,53794,26.03,7.14,2934.0,Manchester City
54,Shane,Long,9805,LF,Southampton,53795,26.23,7.07,2934.0,Manchester City
55,Shane,Long,9805,LF,Southampton,53796,26.44,6.97,2934.0,Manchester City
56,Shane,Long,9805,LF,Southampton,53797,26.63,6.82,2934.0,Manchester City
57,Shane,Long,9805,LF,Southampton,53798,26.82,6.67,2934.0,Manchester City
58,Shane,Long,9805,LF,Southampton,53799,26.99,6.53,2934.0,Manchester City
59,Shane,Long,9805,LF,Southampton,53800,27.11,6.36,2934.0,Manchester City
60,Shane,Long,9805,LF,Southampton,53801,27.2,6.16,2934.0,Manchester City
61,Shane,Long,9805,LF,Southampton,53802,27.27,5.96,2934.0,Manchester City
62,Shane,Long,9805,LF,Southampton,53803,27.37,5.8,2934.0,Manchester City
63,Shane,Long,9805,LF,Southampton,53804,27.5,5.73,2934.0,Manchester City
64,Shane,Long,9805,LF,Southampton,53805,27.59,5.59,2934.0,Manchester City
65,Shane,Long,9805,LF,Southampton,53806,27.62,5.45,2934.0,Manchester City
66,Shane,Long,9805,LF,Southampton,53807,27.63,5.28,2934.0,Manchester City
67,Shane,Long,9805,LF,Southampton,53808,27.64,5.09,2934.0,Manchester City
68,Shane,Long,9805,LF,Southampton,53809,27.67,4.96,2934.0,Manchester City
69,Shane,Long,9805,LF,Southampton,53810,27.73,4.92,2934.0,Manchester City
70,Shane,Long,9805,LF,Southampton,53811,27.75,4.84,2934.0,Manchester City
71,Shane,Long,9805,LF,Southampton,53812,27.73,4.84,2934.0,Manchester City
72,Shane,Long,9805,LF,Southampton,53813,27.72,4.94,2934.0,Manchester City
73,Shane,Long,9805,LF,Southampton,53814,27.68,5.2,2934.0,Manchester City
74,Shane,Long,9805,LF,Southampton,53815,27.61,5.45,2934.0,Manchester City
75,Shane,Long,9805,LF,Southampton,53816,27.53,5.7,,Manchester City
76,Shane,Long,9805,LF,Southampton,53817,27.45,5.86,,Manchester City
77,Shane,Long,9805,LF,Southampton,53818,27.34,5.98,,Manchester City
